單字	聲紐	呼	等	韻部	聲調	組	攝	江拼	聲母_定	韻母_定	聲調_定	IPA(寬)	聲母_定	韻母_定	聲調_定	IPA(嚴)	聲母_定	韻母_定	聲調_定
眶	溪	合	三	陽	平	見	宕		ku	aeng	1		kʰw	ɐŋ	23		kʰʊ	ɐŋ	23
喇	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		l	a	1		l	a	23		l	ᴀ	23
啦	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		l	a	1		l	a	23		l	ᴀ	23
喇									l	a	2		l	a	21		l	ᴀ	21
癩	來	開	一	泰	去	來	蟹		l	ai	1		l	ai	23		l	ᴀj	23
拉	來	開	一	覃	入	來	咸		l	ai	1		l	ai	23		l	ᴀj	23
賴	來	開	一	泰	去	來	蟹		l	ai	4		l	ai	32		l	ᴀj	32
籟	來	開	一	泰	去	來	蟹		l	ai	4		l	ai	32		l	ᴀj	32
落									l	ai	4		l	ai	32		l	ᴀj	32
攬	來	開	一	談	上	來	咸		l	am	3		l	am	45		l	ᴀm	45
欖	來	開	一	談	上	來	咸		l	am	3		l	am	45		l	ᴀm	45
婪	來	開	一	覃	平	來	咸		l	am	2		l	am	21		l	ᴀm	21
嵐	來	開	一	覃	平	來	咸		l	am	2		l	am	21		l	ᴀm	21
藍	來	開	一	談	平	來	咸		l	am	2		l	am	21		l	ᴀm	21
籃	來	開	一	談	平	來	咸		l	am	2		l	am	21		l	ᴀm	21
覽	來	開	一	談	上	來	咸		l	am	2		l	am	21		l	ᴀm	21
攬	來	開	一	談	上	來	咸		l	am	2		l	am	21		l	ᴀm	21
欖	來	開	一	談	上	來	咸		l	am	2		l	am	21		l	ᴀm	21
艦	匣	開	二	銜	上	影	咸		l	am	4		l	am	32		l	ᴀm	32
檻	匣	開	二	銜	上	影	咸		l	am	4		l	am	32		l	ᴀm	32
濫	匣	開	二	銜	上	影	咸		l	am	4		l	am	32		l	ᴀm	32
纜	來	開	一	覃	上	來	咸		l	am	4		l	am	32		l	ᴀm	32
斕	來	開	二	山	平	來	山		l	an	2		l	an	21		l	ᴀn	21
闌	來	開	一	寒	平	來	山		l	an	2		l	an	21		l	ᴀn	21
攔	來	開	一	寒	平	來	山		l	an	2		l	an	21		l	ᴀn	21
蘭	來	開	一	寒	平	來	山		l	an	2		l	an	21		l	ᴀn	21
瀾	來	開	一	寒	平	來	山		l	an	2		l	an	21		l	ᴀn	21
欄	來	開	一	寒	平	來	山		l	an	2		l	an	21		l	ᴀn	21
懶	來	開	一	寒	上	來	山		l	an	2		l	an	21		l	ᴀn	21
爛	來	開	一	寒	去	來	山		l	an	4		l	an	32		l	ᴀn	32
臘	來	開	一	談	入	來	咸		l	ap	7		l	ap	32		l	ᴀp	32
蠟	來	開	一	談	入	來	咸		l	ap	7		l	ap	32		l	ᴀp	32
垃	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		l	ap	7		l	ap	32		l	ᴀp	32
辣	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		l	at	7		l	at	32		l	ᴀt	32
撈	來	開	一	豪	平	來	效		l	au	2		l	au	21		l	ᴀw	21
豊	來	開	四	齊	上	來	蟹		l	aei	1		l	ɐi	23		l	ɐi	23
禮	來	開	四	齊	上	來	蟹		l	aei	1		l	ɐi	23		l	ɐi	23
犁	來	開	四	齊	平	來	蟹		l	aei	2		l	ɐi	21		l	ɐi	21
黎	來	開	四	齊	平	來	蟹		l	aei	2		l	ɐi	21		l	ɐi	21
驪	來	開	三	支A	平	來	止		l	aei	2		l	ɐi	21		l	ɐi	21
鸝	來	開	三	支A	平	來	止		l	aei	2		l	ɐi	21		l	ɐi	21
嚟	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		l	aei	2		l	ɐi	21		l	ɐi	21
嚟	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		l	aei	2		l	ɐi	21		l	ɐi	21
捩	來	開	四	齊	去	來	蟹		l	aei	4		l	ɐi	32		l	ɐi	32
例	來	開	三	祭A	去	來	蟹		l	aei	4		l	ɐi	32		l	ɐi	32
厲	來	開	三	祭A	去	來	蟹		l	aei	4		l	ɐi	32		l	ɐi	32
勵	來	開	三	祭A	去	來	蟹		l	aei	4		l	ɐi	32		l	ɐi	32
蠣	來	開	三	祭A	去	來	蟹		l	aei	4		l	ɐi	32		l	ɐi	32
吏	來	開	三	之	去	來	止		l	aei	4		l	ɐi	32		l	ɐi	32
麗	來	開	三	支A	平	來	止		l	aei	4		l	ɐi	32		l	ɐi	32
邐	來	開	三	支A	上	來	止		l	aei	4		l	ɐi	32		l	ɐi	32
利	來	開	三	脂A	去	來	止		l	aei	4		l	ɐi	32		l	ɐi	32
痢	來	開	三	脂A	去	來	止		l	aei	4		l	ɐi	32		l	ɐi	32
莉	澄	開	三	脂B	平	知	止		l	aei	4		l	ɐi	32		l	ɐi	32
俐	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		l	aei	4		l	ɐi	32		l	ɐi	32
勒	來	開	一	登	入	來	曾		l	aek	7		l	ɐk	32		l	ɐk	32
肋	來	開	一	登	入	來	曾		l	aek	7		l	ɐk	32		l	ɐk	32
凜	群	開	三	侵B	平	見	深		l	aem	1		l	ɐm	23		l	ɐm	23
林	來	開	三	侵A	平	來	深		l	aem	2		l	ɐm	21		l	ɐm	21
淋	來	開	三	侵A	平	來	深		l	aem	2		l	ɐm	21		l	ɐm	21
琳	來	開	三	侵A	平	來	深		l	aem	2		l	ɐm	21		l	ɐm	21
霖	來	開	三	侵A	平	來	深		l	aem	2		l	ɐm	21		l	ɐm	21
臨	來	開	三	侵A	平	來	深		l	aem	2		l	ɐm	21		l	ɐm	21
懍									l	aem	2		l	ɐm	21		l	ɐm	21
廩									l	aem	2		l	ɐm	21		l	ɐm	21
卵	來	合	一	寒	上	來	山		l	aen	3		l	ɐn	45		l	ɐn	45
掄	來	合	三	真A	平	來	臻		l	aen	2		l	ɐn	21		l	ɐn	21
倫	來	合	三	真A	平	來	臻		l	aen	2		l	ɐn	21		l	ɐn	21
淪	來	合	三	真A	平	來	臻		l	aen	2		l	ɐn	21		l	ɐn	21
綸	來	合	三	真A	平	來	臻		l	aen	2		l	ɐn	21		l	ɐn	21
輪	來	合	三	真A	平	來	臻		l	aen	2		l	ɐn	21		l	ɐn	21
鄰	來	開	三	真A	平	來	臻		l	aen	2		l	ɐn	21		l	ɐn	21
磷	來	開	三	真A	平	來	臻		l	aen	2		l	ɐn	21		l	ɐn	21
鱗	來	開	三	真A	平	來	臻		l	aen	2		l	ɐn	21		l	ɐn	21
麟	來	開	三	真A	平	來	臻		l	aen	2		l	ɐn	21		l	ɐn	21
遴	來	開	三	真A	去	來	臻		l	aen	2		l	ɐn	21		l	ɐn	21
論	來	合	一	魂	平	來	臻		l	aen	2		l	ɐn	21		l	ɐn	21
崙	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		l	aen	2		l	ɐn	21		l	ɐn	21
圇	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		l	aen	2		l	ɐn	21		l	ɐn	21
吝	來	開	三	真A	去	來	臻		l	aen	4		l	ɐn	32		l	ɐn	32
藺	來	開	三	真A	去	來	臻		l	aen	4		l	ɐn	32		l	ɐn	32
論	來	合	一	魂	去	來	臻		l	aen	4		l	ɐn	32		l	ɐn	32
唥	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		l	aeng	1		l	ɐŋ	23		l	ɐŋ	23
冷	來	開	四	青	平	來	梗		l	aeng	2		l	ɐŋ	21		l	ɐŋ	21
唥	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		l	aeng	4		l	ɐŋ	32		l	ɐŋ	32
立	來	開	三	侵A	入	來	深		l	aep	7		l	ɐp	32		l	ɐp	32
笠	來	開	三	侵A	入	來	深		l	aep	5		l	ɐp	45		l	ɐp	45
苙	群	開	三	侵B	入	見	深		l	aep	5		l	ɐp	45		l	ɐp	45
律	來	合	三	真A	入	來	臻		l	aet	7		l	ɐt	32		l	ɐt	32
栗	來	開	三	真A	入	來	臻		l	aet	7		l	ɐt	32		l	ɐt	32
慄	來	開	三	真A	入	來	臻		l	aet	7		l	ɐt	32		l	ɐt	32
壘									l	aet	7		l	ɐt	32		l	ɐt	32
率									l	aet	7		l	ɐt	32		l	ɐt	32
甩	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		l	aet	5		l	ɐt	45		l	ɐt	45
摟									l	aeu	3		l	ɐu	45		l	ɐu	45
留	來	開	三	尤	平	來	流		l	aeu	2		l	ɐu	21		l	ɐu	21
流	來	開	三	尤	平	來	流		l	aeu	2		l	ɐu	21		l	ɐu	21
硫	來	開	三	尤	平	來	流		l	aeu	2		l	ɐu	21		l	ɐu	21
榴	來	開	三	尤	平	來	流		l	aeu	2		l	ɐu	21		l	ɐu	21
劉	來	開	三	尤	平	來	流		l	aeu	2		l	ɐu	21		l	ɐu	21
瘤	來	開	三	尤	平	來	流		l	aeu	2		l	ɐu	21		l	ɐu	21
瀏	來	開	三	尤	平	來	流		l	aeu	2		l	ɐu	21		l	ɐu	21
柳	來	開	三	尤	上	來	流		l	aeu	2		l	ɐu	21		l	ɐu	21
摟	來	合	三	虞	平	來	遇		l	aeu	2		l	ɐu	21		l	ɐu	21
嘍	來	開	一	侯	平	來	流		l	aeu	2		l	ɐu	21		l	ɐu	21
樓	來	開	一	侯	平	來	流		l	aeu	2		l	ɐu	21		l	ɐu	21
髏	來	開	一	侯	平	來	流		l	aeu	2		l	ɐu	21		l	ɐu	21
簍	來	開	一	侯	平	來	流		l	aeu	2		l	ɐu	21		l	ɐu	21
琉	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		l	aeu	2		l	ɐu	21		l	ɐu	21
溜	來	開	三	尤	去	來	流		l	aeu	4		l	ɐu	32		l	ɐu	32
鏤	來	合	三	虞	平	來	遇		l	aeu	4		l	ɐu	32		l	ɐu	32
陋	來	開	一	侯	去	來	流		l	aeu	4		l	ɐu	32		l	ɐu	32
漏	來	開	一	侯	去	來	流		l	aeu	4		l	ɐu	32		l	ɐu	32
璃	來	開	三	支A	平	來	止		l	ei	1		l	ei	23		l	ej	23
哩									l	ei	1		l	ei	23		l	ej	23
李	來	開	三	之	上	來	止		l	ei	3		l	ei	45		l	ej	45
裏	來	開	二	之	上	來	止		l	ei	3		l	ei	45		l	ej	45
裡	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		l	ei	3		l	ei	45		l	ej	45
狸	來	開	三	之	平	來	止		l	ei	2		l	ei	21		l	ej	21
釐	來	開	三	之	平	來	止		l	ei	2		l	ei	21		l	ej	21
里	來	開	三	之	上	來	止		l	ei	2		l	ei	21		l	ej	21
理	來	開	三	之	上	來	止		l	ei	2		l	ei	21		l	ej	21
裏	來	開	三	之	上	來	止		l	ei	2		l	ei	21		l	ej	21
鯉	來	開	三	之	上	來	止		l	ei	2		l	ei	21		l	ej	21
漓	來	開	三	支A	平	來	止		l	ei	2		l	ei	21		l	ej	21
璃	來	開	三	支A	平	來	止		l	ei	2		l	ei	21		l	ej	21
罹	來	開	三	支A	平	來	止		l	ei	2		l	ei	21		l	ej	21
離	來	開	三	支A	平	來	止		l	ei	2		l	ei	21		l	ej	21
籬	來	開	三	支A	平	來	止		l	ei	2		l	ei	21		l	ej	21
驪	來	開	三	支A	平	來	止		l	ei	2		l	ei	21		l	ej	21
鸝	來	開	三	支A	平	來	止		l	ei	2		l	ei	21		l	ej	21
梨	來	開	三	脂A	平	來	止		l	ei	2		l	ei	21		l	ej	21
哩	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		l	ei	2		l	ei	21		l	ej	21
厘	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		l	ei	2		l	ei	21		l	ej	21
嚟	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		l	ei	2		l	ei	21		l	ej	21
裡									l	ei	2		l	ei	21		l	ej	21
吏	來	開	三	之	去	來	止		l	ei	4		l	ei	32		l	ej	32
利	來	開	三	脂A	去	來	止		l	ei	4		l	ei	32		l	ej	32
痢	來	開	三	脂A	去	來	止		l	ei	4		l	ei	32		l	ej	32
莉	澄	開	三	脂B	平	知	止		l	ei	4		l	ei	32		l	ej	32
俐	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		l	ei	4		l	ei	32		l	ej	32
瀝									l	iak	7		l	iɐk	32		l	ɪɐk	32
叻									l	iak	5		l	iɐk	45		l	ɪɐk	45
瀝	來	開	三	青	入	來	梗		l	iak	6		l	iɐk	23		l	ɪɐk	23
凌	來	開	三	蒸	平	來	曾		l	iang	2		l	iɐŋ	21		l	ɪɐŋ	21
零	來	開	四	先	平	來	山		l	iang	2		l	iɐŋ	21		l	ɪɐŋ	21
靈	來	開	四	青	平	來	梗		l	iang	2		l	iɐŋ	21		l	ɪɐŋ	21
領	來	開	三	清A	上	來	梗		l	iang	2		l	iɐŋ	21		l	ɪɐŋ	21
嶺	來	開	三	清A	上	來	梗		l	iang	2		l	iɐŋ	21		l	ɪɐŋ	21
令	來	開	四	青	去	來	梗		l	iang	4		l	iɐŋ	32		l	ɪɐŋ	32
歷	來	開	四	青	入	來	梗		l	ik	7		l	ɪk	32		l	ɛek	32
曆	來	開	四	青	入	來	梗		l	ik	7		l	ɪk	32		l	ɛek	32
瀝	來	開	四	青	入	來	梗		l	ik	7		l	ɪk	32		l	ɛek	32
力	來	開	三	蒸	入	來	曾		l	ik	7		l	ɪk	32		l	ɛek	32
礫	來	開	四	青	入	來	梗		l	ik	5		l	ɪk	45		l	ɛek	45
靂	來	開	四	青	入	來	梗		l	ik	5		l	ɪk	45		l	ɛek	45
斂	來	開	三	鹽A	上	來	咸		l	im	1		l	im	23		l	im	23
臉	清	開	三	鹽A	平	精	咸		l	im	1		l	im	23		l	im	23
廉	來	開	三	鹽A	平	來	咸		l	im	2		l	im	21		l	im	21
簾	來	開	三	鹽A	平	來	咸		l	im	2		l	im	21		l	im	21
鐮	來	開	三	鹽A	平	來	咸		l	im	2		l	im	21		l	im	21
殮	來	開	三	鹽A	去	來	咸		l	im	4		l	im	32		l	im	32
卵	來	合	一	寒	上	來	山		l	in	3		l	in	45		l	in	45
戀	來	合	三	仙A	去	來	山		l	in	3		l	in	45		l	in	45
巒	來	合	一	寒	平	來	山		l	in	2		l	in	21		l	in	21
蓮	來	開	四	先	平	來	山		l	in	2		l	in	21		l	in	21
憐	來	開	四	先	平	來	山		l	in	2		l	in	21		l	in	21
連	來	開	三	仙A	平	來	山		l	in	2		l	in	21		l	in	21
漣	來	開	三	仙A	平	來	山		l	in	2		l	in	21		l	in	21
聯	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		l	in	2		l	in	21		l	in	21
亂	來	合	一	寒	去	來	山		l	in	4		l	in	32		l	in	32
練	來	開	四	先	去	來	山		l	in	4		l	in	32		l	in	32
鍊	來	開	四	先	去	來	山		l	in	4		l	in	32		l	in	32
鏈	徹	開	三	仙B	平	知	山		l	in	4		l	in	32		l	in	32
煉	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		l	in	4		l	in	32		l	in	32
拎	來	開	四	青	平	來	梗		l	ing	1		l	ɪŋ	23		l	ɛeŋ	23
領	來	開	三	清A	上	來	梗		l	ing	1		l	ɪŋ	23		l	ɛeŋ	23
嶺	來	開	三	清A	上	來	梗		l	ing	1		l	ɪŋ	23		l	ɛeŋ	23
令									l	ing	1		l	ɪŋ	23		l	ɛeŋ	23
伶	來	開	四	青	平	來	梗		l	ing	2		l	ɪŋ	21		l	ɛeŋ	21
玲	來	開	四	青	平	來	梗		l	ing	2		l	ɪŋ	21		l	ɛeŋ	21
聆	來	開	四	青	平	來	梗		l	ing	2		l	ɪŋ	21		l	ɛeŋ	21
蛉	來	開	四	青	平	來	梗		l	ing	2		l	ɪŋ	21		l	ɛeŋ	21
羚	來	開	四	青	平	來	梗		l	ing	2		l	ɪŋ	21		l	ɛeŋ	21
鈴	來	開	四	青	平	來	梗		l	ing	2		l	ɪŋ	21		l	ɛeŋ	21
齡	來	開	四	青	平	來	梗		l	ing	2		l	ɪŋ	21		l	ɛeŋ	21
靈	來	開	四	青	平	來	梗		l	ing	2		l	ɪŋ	21		l	ɛeŋ	21
令	來	開	四	青	平	來	梗		l	ing	2		l	ɪŋ	21		l	ɛeŋ	21
零	來	開	四	先	平	來	山		l	ing	2		l	ɪŋ	21		l	ɛeŋ	21
領	來	開	三	清A	上	來	梗		l	ing	2		l	ɪŋ	21		l	ɛeŋ	21
嶺	來	開	三	清A	上	來	梗		l	ing	2		l	ɪŋ	21		l	ɛeŋ	21
凌	來	開	三	蒸	平	來	曾		l	ing	2		l	ɪŋ	21		l	ɛeŋ	21
陵	來	開	三	蒸	平	來	曾		l	ing	2		l	ɪŋ	21		l	ɛeŋ	21
菱	來	開	三	蒸	平	來	曾		l	ing	2		l	ɪŋ	21		l	ɛeŋ	21
楞	來	開	一	登	平	來	曾		l	ing	2		l	ɪŋ	21		l	ɛeŋ	21
稜	來	開	一	登	平	來	曾		l	ing	2		l	ɪŋ	21		l	ɛeŋ	21
令	來	開	三	仙A	平	來	山		l	ing	4		l	ɪŋ	32		l	ɛeŋ	32
愣	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		l	ing	4		l	ɪŋ	32		l	ɛeŋ	32
另	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		l	ing	4		l	ɪŋ	32		l	ɛeŋ	32
楞									l	ing	4		l	ɪŋ	32		l	ɛeŋ	32
掠	來	開	三	陽	去	來	宕		l	iok	7		l	iɔk	32		l	ɪɔk	32
略	來	開	三	陽	入	來	宕		l	iok	7		l	iɔk	32		l	ɪɔk	32
兩	來	開	三	陽	上	來	宕		l	iong	3		l	iɔŋ	45		l	ɪɔŋ	45
倆	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		l	iong	3		l	iɔŋ	45		l	ɪɔŋ	45
良	來	開	三	陽	平	來	宕		l	iong	2		l	iɔŋ	21		l	ɪɔŋ	21
涼	來	開	三	陽	平	來	宕		l	iong	2		l	iɔŋ	21		l	ɪɔŋ	21
梁	來	開	三	陽	平	來	宕		l	iong	2		l	iɔŋ	21		l	ɪɔŋ	21
粱	來	開	三	陽	平	來	宕		l	iong	2		l	iɔŋ	21		l	ɪɔŋ	21
糧	來	開	三	陽	平	來	宕		l	iong	2		l	iɔŋ	21		l	ɪɔŋ	21
量	來	開	三	陽	平	來	宕		l	iong	2		l	iɔŋ	21		l	ɪɔŋ	21
亮	來	開	三	陽	去	來	宕		l	iong	4		l	iɔŋ	32		l	ɪɔŋ	32
量	來	開	三	陽	去	來	宕		l	iong	4		l	iɔŋ	32		l	ɪɔŋ	32
諒	來	開	三	陽	去	來	宕		l	iong	4		l	iɔŋ	32		l	ɪɔŋ	32
輛	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		l	iong	4		l	iɔŋ	32		l	ɪɔŋ	32
獵	來	開	三	鹽A	入	來	咸		l	ip	7		l	ip	32		l	ip	32
捩	來	開	四	先	入	來	山		l	it	7		l	it	32		l	it	32
劣	來	合	三	仙A	入	來	山		l	it	7		l	it	32		l	it	32
冽	來	開	三	仙A	入	來	山		l	it	7		l	it	32		l	it	32
烈	來	開	三	仙A	入	來	山		l	it	7		l	it	32		l	it	32
裂	來	開	三	仙A	入	來	山		l	it	7		l	it	32		l	it	32
列	知	合	三	虞	平	知	遇		l	it	7		l	it	32		l	it	32
了	來	開	四	蕭	上	來	效		l	iu	1		l	iu	23		l	iw	23
撩									l	iu	3		l	iu	45		l	iw	45
撩	來	開	四	蕭	平	來	效		l	iu	2		l	iu	21		l	iw	21
聊	來	開	四	蕭	平	來	效		l	iu	2		l	iu	21		l	iw	21
僚	來	開	四	蕭	平	來	效		l	iu	2		l	iu	21		l	iw	21
寥	來	開	四	蕭	平	來	效		l	iu	2		l	iu	21		l	iw	21
遼	來	開	四	蕭	平	來	效		l	iu	2		l	iu	21		l	iw	21
嘹	來	開	四	蕭	平	來	效		l	iu	2		l	iu	21		l	iw	21
寮	來	開	四	蕭	平	來	效		l	iu	2		l	iu	21		l	iw	21
繚	來	開	四	蕭	平	來	效		l	iu	2		l	iu	21		l	iw	21
了	來	開	四	蕭	上	來	效		l	iu	2		l	iu	21		l	iw	21
瞭	來	開	四	蕭	上	來	效		l	iu	2		l	iu	21		l	iw	21
燎	來	開	三	宵A	平	來	效		l	iu	2		l	iu	21		l	iw	21
療	來	開	三	宵A	去	來	效		l	iu	2		l	iu	21		l	iw	21
潦	來	開	一	豪	上	來	效		l	iu	2		l	iu	21		l	iw	21
料	來	開	四	蕭	平	來	效		l	iu	4		l	iu	32		l	iw	32
廖	來	開	四	蕭	平	來	效		l	iu	4		l	iu	32		l	iw	32
瞭	來	開	四	蕭	平	來	效		l	iu	4		l	iu	32		l	iw	32
瞭	來	開	四	蕭	上	來	效		l	iu	4		l	iu	32		l	iw	32
囉	來	開	一	歌	平	來	果		l	o	1		l	ɔ	23		l	ɔ	23
咯	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		l	o	1		l	ɔ	23		l	ɔ	23
裸	來	合	一	歌	上	來	果		l	o	3		l	ɔ	45		l	ɔ	45
螺	來	合	一	歌	平	來	果		l	o	2		l	ɔ	21		l	ɔ	21
騾	來	合	一	歌	平	來	果		l	o	2		l	ɔ	21		l	ɔ	21
羅	來	開	一	歌	平	來	果		l	o	2		l	ɔ	21		l	ɔ	21
儸	來	開	一	歌	平	來	果		l	o	2		l	ɔ	21		l	ɔ	21
蘿	來	開	一	歌	平	來	果		l	o	2		l	ɔ	21		l	ɔ	21
籮	來	開	一	歌	平	來	果		l	o	2		l	ɔ	21		l	ɔ	21
鑼	來	開	一	歌	平	來	果		l	o	2		l	ɔ	21		l	ɔ	21
邏	來	開	一	歌	去	來	果		l	o	2		l	ɔ	21		l	ɔ	21
囉									l	o	2		l	ɔ	21		l	ɔ	21
來	來	開	一	咍	平	來	蟹		l	oi	2		l	ɔi	21		l	ɔj	21
萊	來	開	一	咍	平	來	蟹		l	oi	2		l	ɔi	21		l	ɔj	21
睞	來	開	一	咍	去	來	蟹		l	oi	4		l	ɔi	32		l	ɔj	32
骼	見	開	三	辛	入	見	梗		l	ok	7		l	ɔk	32		l	ɔk	32
酪	來	開	一	唐	入	來	宕		l	ok	7		l	ɔk	32		l	ɔk	32
落	來	開	一	唐	入	來	宕		l	ok	7		l	ɔk	32		l	ɔk	32
樂	來	開	一	唐	入	來	宕		l	ok	7		l	ɔk	32		l	ɔk	32
絡	來	開	一	唐	入	來	宕		l	ok	7		l	ɔk	32		l	ɔk	32
落	來	開	二	唐	入	來	宕		l	ok	5		l	ɔk	45		l	ɔk	45
駱	來	開	一	唐	入	來	宕		l	ok	6		l	ɔk	23		l	ɔk	23
烙	來	開	一	唐	入	來	宕		l	ok	6		l	ɔk	23		l	ɔk	23
洛	來	開	一	唐	入	來	宕		l	ok	6		l	ɔk	23		l	ɔk	23
蜋	來	開	三	陽	平	來	宕		l	ong	2		l	ɔŋ	21		l	ɔŋ	21
郎	來	開	一	唐	平	來	宕		l	ong	2		l	ɔŋ	21		l	ɔŋ	21
狼	來	開	一	唐	平	來	宕		l	ong	2		l	ɔŋ	21		l	ɔŋ	21
琅	來	開	一	唐	平	來	宕		l	ong	2		l	ɔŋ	21		l	ɔŋ	21
廊	來	開	一	唐	平	來	宕		l	ong	2		l	ɔŋ	21		l	ɔŋ	21
瑯	來	開	一	唐	平	來	宕		l	ong	2		l	ɔŋ	21		l	ɔŋ	21
榔	來	開	一	唐	平	來	宕		l	ong	2		l	ɔŋ	21		l	ɔŋ	21
浪	來	開	一	唐	平	來	宕		l	ong	2		l	ɔŋ	21		l	ɔŋ	21
朗	來	開	一	唐	上	來	宕		l	ong	2		l	ɔŋ	21		l	ɔŋ	21
螂	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		l	ong	2		l	ɔŋ	21		l	ɔŋ	21
晾	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		l	ong	4		l	ɔŋ	32		l	ɔŋ	32
浪	來	開	一	唐	去	來	宕		l	ong	4		l	ɔŋ	32		l	ɔŋ	32
虜	來	開	一	模	上	來	遇		l	ou	1		l	ou	23		l	ow	23
滷	來	開	一	模	上	來	遇		l	ou	1		l	ou	23		l	ow	23
魯	來	開	一	模	上	來	遇		l	ou	1		l	ou	23		l	ow	23
擄	來	開	一	模	上	來	遇		l	ou	1		l	ou	23		l	ow	23
櫓	來	開	一	模	上	來	遇		l	ou	1		l	ou	23		l	ow	23
嚕	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		l	ou	1		l	ou	23		l	ow	23
老	來	開	一	豪	上	來	效		l	ou	3		l	ou	45		l	ow	45
硓	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		l	ou	3		l	ou	45		l	ow	45
蘆	來	開	三	魚	平	來	遇		l	ou	2		l	ou	21		l	ow	21
廬	來	開	三	魚	平	來	遇		l	ou	2		l	ou	21		l	ow	21
驢	來	開	三	魚	平	來	遇		l	ou	2		l	ou	21		l	ow	21
盧	來	開	一	模	平	來	遇		l	ou	2		l	ou	21		l	ow	21
爐	來	開	一	模	平	來	遇		l	ou	2		l	ou	21		l	ow	21
顱	來	開	一	模	平	來	遇		l	ou	2		l	ou	21		l	ow	21
嘮	徹	開	二	肴	平	知	效		l	ou	2		l	ou	21		l	ow	21
牢	來	開	一	豪	平	來	效		l	ou	2		l	ou	21		l	ow	21
勞	來	開	一	豪	平	來	效		l	ou	2		l	ou	21		l	ow	21
賂	來	開	一	模	去	來	遇		l	ou	4		l	ou	32		l	ow	32
路	來	開	一	模	去	來	遇		l	ou	4		l	ou	32		l	ow	32
露	來	開	一	模	去	來	遇		l	ou	4		l	ou	32		l	ow	32
鷺	來	開	一	模	去	來	遇		l	ou	4		l	ou	32		l	ow	32
酪									l	ou	4		l	ou	32		l	ow	32
屢	來	合	三	虞	去	來	遇		l	ui	1		l	ui	23		l	uj	23
縷	來	合	三	虞	上	來	遇		l	ui	1		l	ui	23		l	uj	23
儡	來	合	一	灰	平	來	蟹		l	ui	1		l	ui	23		l	uj	23
𧒽	來	開	三	魚	上	來	遇		l	ui	3		l	ui	45		l	uj	45
呂	來	開	三	魚	上	來	遇		l	ui	3		l	ui	45		l	uj	45
䉪	來	合	三	脂A	上	來	止		l	ui	3		l	ui	45		l	uj	45
壘	來	合	三	脂A	上	來	止		l	ui	3		l	ui	45		l	uj	45
裏	來	開	三	之	上	來	止		l	ui	2		l	ui	21		l	uj	21
累	來	合	三	脂A	平	來	止		l	ui	2		l	ui	21		l	uj	21
耒	來	合	三	脂A	上	來	止		l	ui	2		l	ui	21		l	uj	21
壘	來	合	三	脂A	上	來	止		l	ui	2		l	ui	21		l	uj	21
履	來	開	三	脂A	上	來	止		l	ui	2		l	ui	21		l	uj	21
櫚	來	開	三	魚	平	來	遇		l	ui	2		l	ui	21		l	uj	21
呂	來	開	三	魚	上	來	遇		l	ui	2		l	ui	21		l	uj	21
侶	來	開	三	魚	上	來	遇		l	ui	2		l	ui	21		l	uj	21
旅	來	開	三	魚	上	來	遇		l	ui	2		l	ui	21		l	uj	21
雷	來	合	一	灰	平	來	蟹		l	ui	2		l	ui	21		l	uj	21
鐳	來	合	一	灰	平	來	蟹		l	ui	2		l	ui	21		l	uj	21
蕾	來	合	一	灰	上	來	蟹		l	ui	2		l	ui	21		l	uj	21
