繁体	简体	声母	韵母	聲調	拼音无调	拼音	IPA	备注		
雷	雷	l	ui	2	lui	lui2	lui²¹			
儡	儡	l	ui	6	lui	lui6	lui³²			
壘	垒	l	ui	3	lui	lui3	lui¹¹			
累	累	l	ui	3	lui	lui3	lui¹¹	极困。		
肋	肋	l	aeq	8	laeq	laeq8	læʔ²¹¹			
累	累	l	ui	6	lui	lui6	lui³²	~积，连~。		
淚	泪	l	ui	6	lui	lui6	lui³²			
類	类	l	ui	6	lui	lui6	lui³²			
棱	棱	l	ang	2	lang	lang2	lɐŋ²¹			
楞	楞	l	ang	2	lang	lang2	lɐŋ²¹			
稜	棱	l	ang	2	lang	lang2	lɐŋ²¹			
冷	冷	l	aeng	3	laeng	laeng3	læŋ¹¹			
梨	梨	l	ei	2	lei	lei2	lei²¹			
棃	棃	l	ei	2	lei	lei2	lei²¹			
犂	犂	l	ai	2	lai	lai2	lɐi²¹			
璃	璃	l	ai	2	lai	lai2	lɐi²¹			
貍	狸	l	ai	2	lai	lai2	lɐi²¹			
黎	黎	l	ai	2	lai	lai2	lɐi²¹			
釐	厘	l	ai	2	lai	lai2	lɐi²¹			
離	离	l	aai	2	laai	laai2	lai²¹	~别。		
離	离	l	ai	2	lai	lai2	lɐi²¹	~开半寸。		
籬	篱	l	ai	2	lai	lai2	lɐi²¹			
礼	礼	l	ai	3	lai	lai3	lɐi¹¹			
李	李	l	ai	3	lai	lai3	lɐi¹¹			
里	里	l	ai	3	lai	lai3	lɐi¹¹			
理	理	l	ai	3	lai	lai3	lɐi¹¹			
裏	里	l	ai	3	lai	lai3	lɐi¹¹			
禮	礼	l	ai	3	lai	lai3	lɐi¹¹			
鯉	鲤	l	ai	3	lai	lai3	lɐi¹¹			
力	力	l	eq	8	leq	leq8	leʔ²¹¹			
立	立	l	aq	8	laq	laq8	lɐʔ²¹¹			
吏	吏	l	ai	6	lai	lai6	lɐi³²			
利	利	l	ei	6	lei	lei6	lei³²			
例	例	l	ai	6	lai	lai6	lɐi³²			
荔	荔	l	ai	6	lai	lai6	lɐi³²			
栗	栗	l	aq	8	laq	laq8	lɐʔ²¹¹			
笠	笠	l	aq	7	laq	laq7	lɐʔ⁵⁵			
粒	粒	l	aq	7	laq	laq7	lɐʔ⁵⁵			
痢	痢	l	ei	6	lei	lei6	lei³²			
厲	厉	l	ai	6	lai	lai6	lɐi³²			
隷	隶	l	ai	6	lai	lai6	lɐi³²			
勵	励	l	ai	6	lai	lai6	lɐi³²			
歷	历	l	eq	8	leq	leq8	leʔ²¹¹			
曆	历	l	eq	8	leq	leq8	leʔ²¹¹			
隸	隶	l	ai	6	lai	lai6	lɐi³²			
麗	丽	l	ai	6	lai	lai6	lɐi³²			
怜	怜	l	ing	2	ling	ling2	liŋ²¹			
連	连	l	ing	2	ling	ling2	liŋ²¹			
蓮	莲	l	ing	2	ling	ling2	liŋ²¹			
廉	廉	l	ing	2	ling	ling2	liŋ²¹			
憐	怜	l	ing	2	ling	ling2	liŋ²¹			
聮	聮	l	iong	2	liong	liong2	liɔŋ²¹			
鎌	鎌	l	ing	2	ling	ling2	liŋ²¹			
簾	帘	l	ing	2	ling	ling2	liŋ²¹			
鐮	镰	l	ing	2	ling	ling2	liŋ²¹			
斂	敛	l	ing	3	ling	ling3	liŋ¹¹			
臉	脸	l	ing	3	ling	ling3	liŋ¹¹			
楝	楝	l	ing	6	ling	ling6	liŋ³²			
練	练	l	ing	6	ling	ling6	liŋ³²			
殮	殓	l	ing	3	ling	ling3	liŋ¹¹			
鍊	炼	l	ing	6	ling	ling6	liŋ³²			
戀	恋	l	iong	5	liong	liong5	liɔŋ²⁴			
良	良	l	iong	2	liong	liong2	liɔŋ²¹			
凉	凉	l	iong	2	liong	liong2	liɔŋ²¹			
涼	凉	l	iong	2	liong	liong2	liɔŋ²¹			
梁	梁	l	iong	2	liong	liong2	liɔŋ²¹			
蜋	蜋	l	ong	2	long	long2	lɔŋ²¹			
粮	粮	l	iong	2	liong	liong2	liɔŋ²¹			
粱	粱	l	iong	2	liong	liong2	liɔŋ²¹			
糧	粮	l	iong	2	liong	liong2	liɔŋ²¹			
兩	两	l	iong	3	liong	liong3	liɔŋ¹¹	几~几钱。		
兩	两	l	iong	2	liong	liong2	liɔŋ²¹	~个。		
亮	亮	l	iong	6	liong	liong6	liɔŋ³²			
量	量	l	iong	2	liong	liong2	liɔŋ²¹	~长短。		
量	量	l	iong	6	liong	liong6	liɔŋ³²	数~。		
諒	谅	l	iong	6	liong	liong6	liɔŋ³²			
聊	聊	l	iu	2	liu	liu2	liu²¹			
寥	寥	l	iu	2	liu	liu2	liu²¹			
撩	撩	l	iu	2	liu	liu2	liu²¹			
遼	辽	l	iu	2	liu	liu2	liu²¹			
燎	燎	l	iu	2	liu	liu2	liu²¹			
療	疗	l	iu	2	liu	liu2	liu²¹			
料	料	l	iu	6	liu	liu6	liu³²			
廖	廖	l	iu	6	liu	liu6	liu³²			
瞭	瞭	l	iu	2	liu	liu2	liu²¹			
列	列	l	ieq	8	lieq	lieq8	lieʔ²¹¹			
劣	劣	l	ioq	8	lioq	lioq8	liɔʔ²¹¹			
烈	烈	l	ieq	8	lieq	lieq8	lieʔ²¹¹			
裂	裂	l	ieq	8	lieq	lieq8	lieʔ²¹¹			
獵	猎	l	ieq	8	lieq	lieq8	lieʔ²¹¹			
拎	拎	l	eng	2	leng	leng2	leŋ²¹			
林	林	l	ang	2	lang	lang2	lɐŋ²¹			
淋	淋	l	ang	2	lang	lang2	lɐŋ²¹			
鄰	邻	l	ang	2	lang	lang2	lɐŋ²¹			
燐	磷	l	ang	2	lang	lang2	lɐŋ²¹			
臨	临	l	ang	2	lang	lang2	lɐŋ²¹			
鱗	鳞	l	ang	2	lang	lang2	lɐŋ²¹			
檁	檁	l	ang	3	lang	lang3	lɐŋ¹¹			
吝	吝	l	ang	6	lang	lang6	lɐŋ³²			
賃	赁	j	ang	6	jang	jang6	jɐŋ³²			
伶	伶	l	eng	2	leng	leng2	leŋ²¹			
阾	阾	l	eng	3	leng	leng3	leŋ¹¹	文读。		
阾	阾	l	iaang	3	liaang	liaang3	liaŋ¹¹	白读。		
凌	凌	l	ang	2	lang	lang2	lɐŋ²¹			
陵	陵	l	ang	2	lang	lang2	lɐŋ²¹			
菱	菱	l	ang	2	lang	lang2	lɐŋ²¹			
翎	翎	l	eng	2	leng	leng2	leŋ²¹			
零	零	l	eng	2	leng	leng2	leŋ²¹			
鈴	铃	l	eng	2	leng	leng2	leŋ²¹			
蔆	菱	l	ang	2	lang	lang2	lɐŋ²¹			
霛	灵	l	eng	2	leng	leng2	leŋ²¹			
靈	灵	l	eng	2	leng	leng2	leŋ²¹			
領	领	l	eng	2	leng	leng2	leŋ²¹			
嶺	岭	l	eng	3	leng	leng3	leŋ¹¹	文读。		
嶺	岭	l	iaang	3	liaang	liaang3	liaŋ¹¹	白读。		
另	另	l	eng	6	leng	leng6	leŋ³²			
令	令	l	eng	6	leng	leng6	leŋ³²			
溜	溜	l	au	3	lau	lau3	lɐu¹¹			
留	留	l	au	2	lau	lau2	lɐu²¹			
流	流	l	au	2	lau	lau2	lɐu²¹			
硫	硫	l	au	2	lau	lau2	lɐu²¹			
琉	琉	l	au	2	lau	lau2	lɐu²¹			
榴	榴	l	au	1h	lau	lau1h	lɐu⁵⁵			
劉	刘	l	au	2	lau	lau2	lɐu²¹			
餾	馏	l	au	3	lau	lau3	lɐu¹¹			
柳	柳	l	au	3	lau	lau3	lɐu¹¹			
六	六	l	uq	8	luq	luq8	lʊʔ²¹¹			
隆	隆	l	ung	2	lung	lung2	lʊŋ²¹			
龍	龙	l	ung	2	lung	lung2	lʊŋ²¹			
籠	笼	l	ung	2	lung	lung2	lʊŋ²¹			
聾	聋	l	ung	2	lung	lung2	lʊŋ²¹			
隴	陇	l	ung	3	lung	lung3	lʊŋ¹¹			
壠	垄	l	ung	3	lung	lung3	lʊŋ¹¹			
攏	拢	l	ung	3	lung	lung3	lʊŋ¹¹			
衖	衖	h	ong	6	hong	hong6	hɔŋ³²			
樓	楼	l	au	2	lau	lau2	lɐu²¹			
耬	耧	l	au	2	lau	lau2	lɐu²¹			
摟	搂	l	au	2	lau	lau2	lɐu²¹	~取。		
摟	搂	l	au	3	lau	lau3	lɐu¹¹	~抱。		
簍	篓	l	ui	3	lui	lui3	lui¹¹			
漏	漏	l	au	6	lau	lau6	lɐu³²			
盧	卢	l	ou	2	lou	lou2	lou²¹			
蘆	芦	l	ou	2	lou	lou2	lou²¹			
廬	庐	l	ou	2	lou	lou2	lou²¹			
爐	炉	l	ou	2	lou	lou2	lou²¹			
鸕	鸬	l	ou	2	lou	lou2	lou²¹			
卤	卤	s	ai	1h	sai	sai1h	sɐi⁵⁵			
虜	虏	l	ou	3	lou	lou3	lou¹¹			
滷	卤	l	ou	3	lou	lou3	lou¹¹			
魯	鲁	l	ou	3	lou	lou3	lou¹¹			
櫓	橹	l	ou	3	lou	lou3	lou¹¹			
陸	陆	l	uq	8	luq	luq8	lʊʔ²¹¹			
鹿	鹿	l	uq	7	luq	luq7	lʊʔ⁵⁵			
祿	禄	l	uq	8	luq	luq8	lʊʔ²¹¹			
賂	赂	l	ou	6	lou	lou6	lou³²			
路	路	l	ou	6	lou	lou6	lou³²			
錄	录	l	uq	8	luq	luq8	lʊʔ²¹¹			
露	露	l	ou	6	lou	lou6	lou³²			
鷺	鹭	l	ou	6	lou	lou6	lou³²			
鸞	鸾	l	iong	2	liong	liong2	liɔŋ²¹			
卵	卵	l	iong	3	liong	liong3	liɔŋ¹¹			
亂	乱	l	iong	5	liong	liong5	liɔŋ²⁴			
掠	掠	l	ioq	8	lioq	lioq8	liɔʔ²¹¹			
倫	伦	l	ang	2	lang	lang2	lɐŋ²¹			
崘	崘	l	ang	2	lang	lang2	lɐŋ²¹			
淪	沦	l	ang	2	lang	lang2	lɐŋ²¹			
輪	轮	l	ang	2	lang	lang2	lɐŋ²¹			
論	论	l	ang	2	lang	lang2	lɐŋ²¹	~语。		
論	论	l	ang	6	lang	lang6	lɐŋ³²	议~。		
腡	脶	l	o	2	lo	lo2	lɔ²¹			
螺	螺	l	o	2	lo	lo2	lɔ²¹			
羅	罗	l	o	2	lo	lo2	lɔ²¹			
騾	骡	l	ui	1h	lui	lui1h	lui⁵⁵			
驘	骡	l	ui	1h	lui	lui1h	lui⁵⁵			
籮	箩	l	o	2	lo	lo2	lɔ²¹			
鑼	锣	l	o	2	lo	lo2	lɔ²¹			
裸	裸	l	o	3	lo	lo3	lɔ¹¹			
洛	洛	l	oq	8	loq	loq8	lɔʔ²¹¹			
落	落	l	oq	8	loq	loq8	lɔʔ²¹¹			
絡	络	l	oq	8	loq	loq8	lɔʔ²¹¹			
驢	驴	l	ou	2	lou	lou2	lou²¹			
呂	吕	l	ui	3	lui	lui3	lui¹¹			
捋	捋	l	ioq	8	lioq	lioq8	liɔʔ²¹¹			
旅	旅	l	ui	3	lui	lui3	lui¹¹			
稆	稆	l	ui	3	lui	lui3	lui¹¹			
膂	膂	l	ui	3	lui	lui3	lui¹¹			
屢	屡	l	ui	5	lui	lui5	lui²⁴			
履	履	l	ei	3	lei	lei3	lei¹¹			
縷	缕	l	au	3	lau	lau3	lɐu¹¹			
穭	稆	l	ui	3	lui	lui3	lui¹¹			
律	律	l	aq	8	laq	laq8	lɐʔ²¹¹			
率	率	l	aq	8	laq	laq8	lɐʔ²¹¹	速~。		
率	率	s	aq	7	saq	saq7	sɐʔ⁵⁵	~领。		
綠	绿	l	uq	8	luq	luq8	lʊʔ²¹¹			
慮	虑	l	ui	6	lui	lui6	lui³²			
濾	滤	l	ui	6	lui	lui6	lui³²			
略	略	l	ioq	8	lioq	lioq8	liɔʔ²¹¹			
媽	妈	m	aa	1h	maa	maa1h	ma⁵⁵			
麻	麻	m	aa	2	maa	maa2	ma²¹			
痲	痲	m	aa	2	maa	maa2	ma²¹			
蟆	蟆	m	aa	1h	maa	maa1h	ma⁵⁵			
馬	马	m	aa	3	maa	maa3	ma¹¹			
碼	码	m	aa	3	maa	maa3	ma¹¹			
罵	骂	m	aa	6	maa	maa6	ma³²			
埋	埋	m	aai	2	maai	maai2	mai²¹			
買	买	m	aai	3	maai	maai3	mai¹¹			
脉	脉	m	aeq	8	maeq	maeq8	mæʔ²¹¹			
麥	麦	m	aeq	8	maeq	maeq8	mæʔ²¹¹			
衇	衇	m	aeq	8	maeq	maeq8	mæʔ²¹¹			
賣	卖	m	aai	5	maai	maai5	mai²⁴			
邁	迈	m	aai	5	maai	maai5	mai²⁴			
瞞	瞒	m	un	2	mun	mun2	mun²¹			
饅	馒	m	aeng	2	maeng	maeng2	mæŋ²¹			
蠻	蛮	m	aeng	2	maeng	maeng2	mæŋ²¹			
滿	满	m	un	3	mun	mun3	mun¹¹			
蔓	蔓	m	aeng	6	maeng	maeng6	mæŋ³²			
幔	幔	m	aeng	5	maeng	maeng5	mæŋ²⁴			
漫	漫	m	aeng	5	maeng	maeng5	mæŋ²⁴			
慢	慢	m	aeng	6	maeng	maeng6	mæŋ³²			
芒	芒	m	ong	2	mong	mong2	mɔŋ²¹			
忙	忙	m	ong	2	mong	mong2	mɔŋ²¹			
盲	盲	m	aeng	2	maeng	maeng2	mæŋ²¹			
茫	茫	m	ong	2	mong	mong2	mɔŋ²¹			
朚	朚	m	ong	2	mong	mong2	mɔŋ²¹			
莽	莽	m	ong	3	mong	mong3	mɔŋ¹¹			
蟒	蟒	m	ong	3	mong	mong3	mɔŋ¹¹			
貓	猫	m	aau	1h	maau	maau1h	mau⁵⁵	文读。		
貓	猫	m	iu	2	miu	miu2	miu²¹	白读。		
貓	猫	m	iu	1h	miu	miu1h	miu⁵⁵	白读。		
毛	毛	m	ou	2	mou	mou2	mou²¹			
矛	矛	m	aau	2	maau	maau2	mau²¹			
茅	茅	m	aau	2	maau	maau2	mau²¹			
錨	锚	n	aau	2	naau	naau2	nau²¹			
卯	卯	m	aau	3	maau	maau3	mau¹¹			
戼	戼	m	aau	3	maau	maau3	mau¹¹			
皃	皃	m	aau	6	maau	maau6	mau³²			
茂	茂	m	au	6	mau	mau6	mɐu³²			
冒	冒	m	ou	6	mou	mou6	mou³²			
帽	帽	m	ou	6	mou	mou6	mou³²			
貿	贸	m	au	6	mau	mau6	mɐu³²			
貌	貌	m	aau	6	maau	maau6	mau³²			
沒	没	m	uq	8	muq	muq8	mʊʔ²¹¹	沉~、~有。		
枚	枚	m	ui	2	mui	mui2	mui²¹			
眉	眉	m	ai	2	mai	mai2	mɐi²¹			
梅	梅	m	ui	2	mui	mui2	mui²¹			
睂	睂	m	ai	2	mai	mai2	mɐi²¹			
媒	媒	m	ui	2	mui	mui2	mui²¹			
楣	楣	m	ai	2	mai	mai2	mɐi²¹			
煤	煤	m	ui	2	mui	mui2	mui²¹			
黴	霉	m	ai	2	mai	mai2	mɐi²¹			
每	每	m	ui	3	mui	mui3	mui¹¹			
美	美	m	ai	3	mai	mai3	mɐi¹¹			
妹	妹	m	ui	6	mui	mui6	mui³²			
昧	昧	m	ui	6	mui	mui6	mui³²			
寐	寐	m	ai	5	mai	mai5	mɐi²⁴			
媚	媚	m	ai	6	mai	mai6	mɐi³²			
門	门	m	un	2	mun	mun2	mun²¹			
悶	闷	m	ung	5	mung	mung5	mʊŋ²⁴			
虻	虻	m	ong	3	mong	mong3	mɔŋ¹¹			
萌	萌	m	ang	2	mang	mang2	mɐŋ²¹			
蒙	蒙	m	ung	2	mung	mung2	mʊŋ²¹			
盟	盟	m	ang	2	mang	mang2	mɐŋ²¹			
蝱	蝱	m	ong	3	mong	mong3	mɔŋ¹¹			
猛	猛	m	aeng	3	maeng	maeng3	mæŋ¹¹			
懵	懵	m	ung	3	mung	mung3	mʊŋ¹¹			
蠓	蠓	m	ung	3	mung	mung3	mʊŋ¹¹			
孟	孟	m	aeng	3	maeng	maeng3	mæŋ¹¹			
夢	梦	m	ung	6	mung	mung6	mʊŋ³²			
迷	迷	m	ai	2	mai	mai2	mɐi²¹			
謎	谜	m	ai	6	mai	mai6	mɐi³²			
糜	糜	m	ai	2	mai	mai2	mɐi²¹	粥。		
彌	弥	n	ai	2	nai	nai2	nɐi²¹			
靡	靡	m	ai	3	mai	mai3	mɐi¹¹			
米	米	m	ai	3	mai	mai3	mɐi¹¹			
泌	泌	b	ai	6	bai	bai6	pɐi³²			
祕	秘	b	ai	6	bai	bai6	pɐi³²			
覓	觅	m	eq	8	meq	meq8	meʔ²¹¹			
密	密	m	aq	8	maq	maq8	mɐʔ²¹¹			
覛	覛	m	eq	8	meq	meq8	meʔ²¹¹			
蜜	蜜	m	aq	8	maq	maq8	mɐʔ²¹¹			
眠	眠	m	ing	2	ming	ming2	miŋ²¹			
棉	棉	m	ing	2	ming	ming2	miŋ²¹			
綿	绵	m	ing	2	ming	ming2	miŋ²¹			
免	免	m	ing	3	ming	ming3	miŋ¹¹			
勉	勉	m	ing	3	ming	ming3	miŋ¹¹			
娩	娩	m	ing	3	ming	ming3	miŋ¹¹			
緬	缅	m	ing	3	ming	ming3	miŋ¹¹			
面	面	m	ing	6	ming	ming6	miŋ³²			
麪	面	m	ing	6	ming	ming6	miŋ³²			
麵	面	m	ing	6	ming	ming6	miŋ³²			
苗	苗	m	iu	2	miu	miu2	miu²¹			
描	描	m	iu	2	miu	miu2	miu²¹			
秒	秒	m	iu	3	miu	miu3	miu¹¹			
渺	渺	m	iu	3	miu	miu3	miu¹¹			
藐	藐	m	iu	3	miu	miu3	miu¹¹			
妙	妙	m	iu	6	miu	miu6	miu³²			
玅	玅	m	iu	6	miu	miu6	miu³²			
庿	庿	m	iu	6	miu	miu6	miu³²			
廟	庙	m	iu	6	miu	miu6	miu³²			
滅	灭	m	ieq	8	mieq	mieq8	mieʔ²¹¹			
篾	篾	m	ieq	8	mieq	mieq8	mieʔ²¹¹			
民	民	m	ang	2	mang	mang2	mɐŋ²¹			
皿	皿	m	eng	3	meng	meng3	meŋ¹¹			
敏	敏	m	ang	3	mang	mang3	mɐŋ¹¹			
閩	闽	m	ang	2	mang	mang2	mɐŋ²¹			
憫	悯	m	ang	3	mang	mang3	mɐŋ¹¹			
名	名	m	eng	2	meng	meng2	meŋ²¹	文读。		
名	名	m	iaaq	8	miaaq	miaaq8	miaʔ²¹¹	白读。		
明	明	m	eng	2	meng	meng2	meŋ²¹			
鳴	鸣	m	eng	2	meng	meng2	meŋ²¹			
銘	铭	m	eng	2	meng	meng2	meŋ²¹			
命	命	m	eng	6	meng	meng6	meŋ³²	文读。		
命	命	m	iaang	6	miaang	miaang6	miaŋ³²	白读。		
謬	谬	m	au	6	mau	mau6	mɐu³²			
摸	摸	m	o	1	mo	mo1	mɔ³⁵			
摸	摸	m	ou	2	mou	mou2	mou²¹	摹仿。		
模	模	m	ou	2	mou	mou2	mou²¹			
膜	膜	m	oq	8	moq	moq8	mɔʔ²¹¹			
摩	摩	m	o	1h	mo	mo1h	mɔ⁵⁵			
橅	橅	m	ou	2	mou	mou2	mou²¹			
磨	磨	m	o	2	mo	mo2	mɔ²¹	~刀。		
磨	磨	m	o	1	mo	mo1	mɔ³⁵	石~。		
磨	磨	m	o	1h	mo	mo1h	mɔ⁵⁵	石~。		
魔	魔	m	o	1h	mo	mo1h	mɔ⁵⁵			
抹	抹	m	ae	1	mae	mae1	mæ³⁵			
抹	抹	m	uq	8	muq	muq8	mʊʔ²¹¹			
末	末	m	uq	8	muq	muq8	mʊʔ²¹¹			
沫	沫	m	uq	8	muq	muq8	mʊʔ²¹¹			
陌	陌	m	aq	8	maq	maq8	mɐʔ²¹¹			
莫	莫	m	oq	8	moq	moq8	mɔʔ²¹¹			
寞	寞	m	oq	8	moq	moq8	mɔʔ²¹¹			
墨	墨	m	aq	8	maq	maq8	mɐʔ²¹¹			
默	默	m	aq	8	maq	maq8	mɐʔ²¹¹			
謀	谋	m	au	2	mau	mau2	mɐu²¹			
某	某	m	aau	3	maau	maau3	mau¹¹			
母	母	m	ou	3	mou	mou3	mou¹¹			
牡	牡	m	aau	1h	maau	maau1h	mau⁵⁵			
拇	拇	m	ou	3	mou	mou3	mou¹¹			
畞	畞	m	aau	3	maau	maau3	mau¹¹			
畮	畮	m	aau	3	maau	maau3	mau¹¹			
畝	亩	m	aau	3	maau	maau3	mau¹¹			
木	木	m	uq	8	muq	muq8	mʊʔ²¹¹			
目	目	m	uq	8	muq	muq8	mʊʔ²¹¹			
牧	牧	m	uq	8	muq	muq8	mʊʔ²¹¹			
募	募	m	ou	6	mou	mou6	mou³²			
墓	墓	m	ou	6	mou	mou6	mou³²			
幕	幕	m	o	1	mo	mo1	mɔ³⁵			
慕	慕	m	ou	6	mou	mou6	mou³²			
暮	暮	m	ou	6	mou	mou6	mou³²			
穆	穆	m	uq	8	muq	muq8	mʊʔ²¹¹			
拏	拏	n	aa	2	naa	naa2	na²¹			
哪	哪	n	aa	3	naa	naa3	na¹¹			
那	那	n	aa	3	naa	naa3	na¹¹			
納	纳	n	aaq	8	naaq	naaq8	naʔ²¹¹			
捺	捺	n	aeq	8	naeq	naeq8	næʔ²¹¹			
乃	乃	n	aai	3	naai	naai3	nai¹¹			
嬭	奶	n	aai	3	naai	naai3	nai¹¹			
奈	奈	n	aai	5	naai	naai5	nai²⁴			
耐	耐	l	ui	5	lui	lui5	lui²⁴			
男	男	n	aang	2	naang	naang2	naŋ²¹			
南	南	n	aang	2	naang	naang2	naŋ²¹			
難	难	n	aeng	6	naeng	naeng6	næŋ³²	患~。		
難	难	n	aeng	2	naeng	naeng2	næŋ²¹	~易。		
囊	囊	n	ong	2	nong	nong2	nɔŋ²¹			
曩	曩	n	ong	3	nong	nong3	nɔŋ¹¹			
撓	挠	n	aau	2	naau	naau2	nau²¹			
鐃	铙	n	aau	2	naau	naau2	nau²¹			
堖	垴	n	ou	3	nou	nou3	nou¹¹			
惱	恼	n	ou	3	nou	nou3	nou¹¹			
腦	脑	n	ou	3	nou	nou3	nou¹¹			
鬧	闹	n	aau	6	naau	naau6	nau³²			
內	内	n	ui	6	nui	nui6	nui³²			
嫩	嫩	n	iong	5	niong	niong5	niɔŋ²⁴			
能	能	n	ang	2	nang	nang2	nɐŋ²¹			
尼	尼	n	ai	2	nai	nai2	nɐi²¹			
泥	泥	n	ai	2	nai	nai2	nɐi²¹			
倪	倪	ng	ai	2	ngai	ngai2	ŋɐi²¹			
埿	埿	n	ai	2	nai	nai2	nɐi²¹			
伱	伱	n	ai	3	nai	nai3	nɐi¹¹			
擬	拟	j	i	3	ji	ji3	ji¹¹			
逆	逆	j	eq	8	jeq	jeq8	jeʔ²¹¹	文读。		
逆	逆	n	aaq	8	naaq	naaq8	naʔ²¹¹	白读。		
匿	匿	n	eq	7	neq	neq7	neʔ⁵⁵			
溺	溺	n	eq	7	neq	neq7	neʔ⁵⁵			
膩	腻	n	ei	6	nei	nei6	nei³²			
拈	拈	n	ing	1h	ning	ning1h	niŋ⁵⁵			
蔫	蔫	j	ing	1h	jing	jing1h	jiŋ⁵⁵			
年	年	n	ing	2	ning	ning2	niŋ²¹			
秊	秊	n	ing	2	ning	ning2	niŋ²¹			
鮎	鲇	n	ing	1h	ning	ning1h	niŋ⁵⁵			
黏	黏	z	ing	1h	zing	zing1h	tsiŋ⁵⁵	~米。		
輦	辇	l	ing	3	ling	ling3	liŋ¹¹			
撚	撚	j	ing	3	jing	jing3	jiŋ¹¹			
碾	碾	z	ing	3	zing	zing3	tsiŋ¹¹			
念	念	n	ing	6	ning	ning6	niŋ³²			
娘	娘	n	iong	2	niong	niong2	niɔŋ²¹			
釀	酿	j	ong	6	jong	jong6	jɔŋ³²			
鳥	鸟	n	iu	3	niu	niu3	niu¹¹			
尿	尿	n	iu	6	niu	niu6	niu³²			
捏	捏	n	iq	8	niq	niq8	niʔ²¹¹			
聶	聂	n	ieq	8	nieq	nieq8	nieʔ²¹¹			
孽	孽	j	oq	8	joq	joq8	jɔʔ²¹¹			
躡	蹑	n	ieq	8	nieq	nieq8	nieʔ²¹¹			
鑷	镊	n	ieq	8	nieq	nieq8	nieʔ²¹¹			
甯	宁	n	eng	2	neng	neng2	neŋ²¹			
寧	宁	n	eng	2	neng	neng2	neŋ²¹			
凝	凝	j	eng	2	jeng	jeng2	jeŋ²¹			
佞	佞	n	eng	2	neng	neng2	neŋ²¹			
牛	牛	ng	au	2	ngau	ngau2	ŋɐu²¹			
扭	扭	n	au	3	nau	nau3	nɐu¹¹			
紐	纽	n	au	1h	nau	nau1h	nɐu⁵⁵			
農	农	n	ung	2	nung	nung2	nʊŋ²¹			
辳	农	n	ung	2	nung	nung2	nʊŋ²¹			
儂	侬	n	ung	2	nung	nung2	nʊŋ²¹			
濃	浓	n	ung	2	nung	nung2	nʊŋ²¹			
膿	脓	n	ung	2	nung	nung2	nʊŋ²¹			
弄	弄	l	ung	6	lung	lung6	lʊŋ³²			
齈	齈	n	ung	6	nung	nung6	nʊŋ³²	多涕鼻疾。		
奴	奴	n	ou	2	nou	nou2	nou²¹			
努	努	n	ou	3	nou	nou3	nou¹¹			
怒	怒	n	ou	6	nou	nou6	nou³²			
暖	暖	n	iong	3	niong	niong3	niɔŋ¹¹			
煗	煗	n	iong	3	niong	niong3	niɔŋ¹¹			
虐	虐	j	oq	8	joq	joq8	jɔʔ²¹¹			
瘧	疟	j	oq	8	joq	joq8	jɔʔ²¹¹			
挪	挪	n	o	2	no	no2	nɔ²¹			
糯	糯	n	o	6	no	no6	nɔ³²	~米。		
諾	诺	n	oq	8	noq	noq8	nɔʔ²¹¹			
女	女	n	ui	3	nui	nui3	nui¹¹			
漚	沤	ng	au	5	ngau	ngau5	ŋɐu²⁴	久浸水中。		
甌	瓯	ng	aau	1h	ngaau	ngaau1h	ŋau⁵⁵			
歐	欧	ng	aau	1h	ngaau	ngaau1h	ŋau⁵⁵			
毆	殴	x	au	1h	au	au1h	ɐu⁵⁵			
偶	偶	ng	au	3	ngau	ngau3	ŋɐu¹¹			
嘔	呕	x	au	3	au	au3	ɐu¹¹			
蕅	蕅	ng	au	3	ngau	ngau3	ŋɐu¹¹			
藕	藕	ng	au	3	ngau	ngau3	ŋɐu¹¹			
慪	怄	ng	au	5	ngau	ngau5	ŋɐu²⁴			
帊	帊	p	aa	6	paa	paa6	pʰa³²			
杷	杷	p	aa	2	paa	paa2	pʰa²¹			
耙	耙	p	aa	2	paa	paa2	pʰa²¹			
爬	爬	p	aa	2	paa	paa2	pʰa²¹			
琶	琶	p	aa	2	paa	paa2	pʰa²¹			
鈀	钯	p	aa	2	paa	paa2	pʰa²¹			
帕	帕	p	aa	6	paa	paa6	pʰa³²			
怕	怕	p	aa	5	paa	paa5	pʰa²⁴			
拍	拍	p	ae	1	pae	pae1	pʰæ³⁵			
排	排	p	aai	2	paai	paai2	pʰai²¹			
牌	牌	p	aai	1	paai	paai1	pʰai³⁵			
𥱼	𥱼	p	aai	1	paai	paai1	pʰai³⁵	筏。		
派	派	p	aai	5	paai	paai5	pʰai²⁴			
潘	潘	p	un	1	pun	pun1	pʰun³⁵			
潘	潘	p	un	1h	pun	pun1h	pʰun⁵⁵			
攀	攀	p	aeng	1h	paeng	paeng1h	pʰæŋ⁵⁵			
槃	盘	p	un	2	pun	pun2	pʰun²¹			
盤	盘	p	un	2	pun	pun2	pʰun²¹			
鎜	鎜	p	un	2	pun	pun2	pʰun²¹			
判	判	p	un	5	pun	pun5	pʰun²⁴			
柈	柈	p	un	2	pun	pun2	pʰun²¹			
盼	盼	p	aeng	5	paeng	paeng5	pʰæŋ²⁴			
叛	叛	b	un	6	bun	bun6	pun³²			
滂	滂	p	ong	2	pong	pong2	pʰɔŋ²¹			
彷	彷	f	ong	3	fong	fong3	fɔŋ¹¹	~佛。		
