ID	汉字	注释	拼音	声母	韵母	声调
1640	遺		dzui5	dz	ui	5
1641	遺		dzui6	dz	ui	6
1642	唯		dzui5	dz	ui	5
1643	飛	白读	pfue1	pf	ue	1
1644	飛	文读	hui1	h	ui	1
1645	非		hui1	h	ui	1
1646	匪		huinn2	h	uinn	2
1647	沸		huk4	h	uk	4
1648	痱		bvui3	bv	ui	3
1649	妃		hui1	h	ui	1
1650	菲		hui1	h	ui	1
1651	費	文读	hui3	h	ui	3
1652	費	姓，白读	pi3	p	i	3
1653	費	白读	pfui3	pf	ui	3
1654	肥		pfui5	pf	ui	5
1655	薇		bvui5	bv	ui	5
1656	微		bvui5	bv	ui	5
1657	微		bi5	b	i	5
1658	微	沙微	bvui1	bv	ui	1
1659	尾		bvue2	bv	ue	2
1660	尾		mai2	m	ai	2
1661	未		bvue7	bv	ue	7
1662	未	未时	bi7	b	i	7
1663	味		bi7	b	i	7
1664	歸		kui1	k	ui	1
1665	鬼		kui2	k	ui	2
1666	鬼	扑克牌里的大小王	kuai2	k	uai	2
1667	貴		kui3	k	ui	3
1668	巍		ngui5	ng	ui	5
1669	魏		gui7	g	ui	7
1670	揮		hui1	h	ui	1
1671	輝		hui1	h	ui	1
1672	徽		hui1	h	ui	1
1673	諱		hui3	h	ui	3
1674	卉		hui2	h	ui	2
1675	威		ui1		ui	1
1676	畏		ui3		ui	3
1677	畏	厌烦	uinn3		uinn	3
1678	慰		ue3		ue	3
1679	違		ui2		ui	2
1680	圍		ui5		ui	5
1681	葦		ui2		ui	2
1682	偉		ui2		ui	2
1683	緯		ui2		ui	2
1684	胃		ui7		ui	7
1685	謂		ui6		ui	6
1686	猬		ui2		ui	2
1688	褒		phau1	ph	au	1
1689	保	白读	po2	p	o	2
1690	保	老派文读	pau2	p	au	2
1691	堡	汉堡	po2	p	o	2
1692	堡	堡垒、城堡	pau2	p	au	2
1693	寶	白读	po2	p	o	2
1694	寶	宝藏，老派文读	pau2	p	au	2
1695	報		po3	p	o	3
1696	袍		phau5	ph	au	5
1697	抱	白读	pho6	ph	o	6
1698	抱	抱负，文读	phau6	ph	au	6
1699	抱	抱歉，文读	pau6	p	au	6
1700	暴		pau6	p	au	6
1701	毛	白读	mo5	m	o	5
1702	毛	毛病、毛重，老派文读	mau5	m	au	5
1703	冒		mau6	m	au	6
1704	帽		bo7	b	o	7
1705	刀		to1	t	o	1
1706	叨		thau1	th	au	1
1707	倒	白读	to2	t	o	2
1708	倒	白读	to3	t	o	3
1709	倒	文读	tau2	t	au	2
1710	倒	文读	tau3	t	au	3
1711	島		tau2	t	au	2
1712	禱		tau2	t	au	2
1713	到		kau3	k	au	3
1714	到		tau3	t	au	3
1719	掏		thau1	th	au	1
1720	滔		thau1	th	au	1
1721	討		tho2	th	o	2
1722	討		thonn2	th	onn	2
1723	套	文读	thau3	th	au	3
1724	套	套货，白读	tho3	th	o	3
1725	桃		tho5	th	o	5
1726	桃		to5	t	o	5
1727	逃		to5	t	o	5
1728	陶		thau5	th	au	5
1729	萄		to5	t	o	5
1730	濤		thiu5	th	iu	5
1731	稻	文读	tau6	t	au	6
1732	稻	替字	tiu6	t	iu	6
1733	道	文读	tau6	t	au	6
1734	道	道理，老派白读	to6	t	o	6
1735	導		tau6	t	au	6
1736	盗		tau6	t	au	6
1737	腦	文读	nau2	n	au	2
1738	腦	头脑，头头儿，白读	lo2	l	o	2
1739	腦	樟脑	lou2	l	ou	2
1740	惱	文读	nau2	n	au	2
1741	惱	讨厌，白读	lou2	l	ou	2
1742	惱	烦恼，担心，白读	lo2	l	o	2
1743	勞	文读	lau5	l	au	5
1744	勞	劳汝，麻烦您，白读	lo5	l	o	5
1745	撈	文读	liau5	l	iau	5
1746	撈	白读	lio5	l	io	5
	撈	文读	lau1	l	au	1
1747	嘮		laulau1	l	au	1
1748	牢	文读	lau5	l	au	5
1749	牢	白读	lo5	l	o	5
1750	老		lau2	l	au	2
1751	老		lau6	l	au	6
1752	遭	文读	tsau1	ts	au	1
1753	遭	遭罪，老派白读	tso1	ts	o	1
1754	糟	文读	tsau1	ts	au	1
1755	糟	糟糠，白读	tsho1	tsh	o	1
1756	糟	糟糠，白读	tshou1	tsh	ou	1
1757	糟	糟践	tsiau1	ts	iau	1
1758	糟	糟践	tso1	ts	o	1
1759	早	白读	tsa2	ts	a	2
1760	早	早起，文读	tsau2	ts	au	2
1761	棗		tso2	ts	o	2
1762	棗		tsou2	ts	ou	2
1763	蚤		tsau2	ts	au	2
1764	澡		tshau3	tsh	au	3
1765	澡		tsau3	ts	au	3
1766	躁		tshau3	tsh	au	3
1767	灶		tsau3	ts	au	3
1768	操		tshau1	tsh	au	1
	操	曹操	tshau3	tsh	au	3
1769	造	文读	tsau6	ts	au	6
1770	造	造作，白读	tso6	ts	o	6
1771	草		tshau2	tsh	au	2
1772	草	草稿	tsho2	tsh	o	2
1773	曹	文读	tshau5	tsh	au	5
1774	曹	姓，老派白读，现多改为tshau5音	tso5	ts	o	5
1775	皂		tsau6	ts	au	6
1778	騷		sau1	s	au	1
1779	臊	白读	tsho1	tsh	o	1
1780	臊	文读	sau1	s	au	1
1781	掃		sau3	s	au	3
1782	嫂		so2	s	o	2
1784	高	文读	kau1	k	au	1
1785	高	白读	ko1	k	o	1
1786	膏	白读	ko1	k	o	1
1787	膏	病入膏肓，老派文读	kau1	k	au	1
1788	羔	羔羊，白读	ko1	k	o	1
1789	羔	羊羔绒，文读	kau1	k	au	1
1790	糕	白读	ko1	k	o	1
1791	糕	糟糕，文读	kau1	k	au	1
1792	稿	白读	ko2	k	o	2
1793	稿	老派文读	kau2	k	au	2
1794	告	告状，白读	ko3	k	o	3
1795	告	告诉，文读	kau3	k	au	3
1796	考		khau2	kh	au	2
1797	烤		khau2	kh	au	2
1798	烤		khauh4	kh	auh	4
1799	靠		khau3	kh	au	3
1800	靠		kha3	kh	a	3
1801	靠	本字“怙”	kou7	k	ou	7
1802	犒		khau3	kh	au	3
1803	熬	文读	ngau5	ng	au	5
1804	傲		ngau6	ng	au	6
1805	蒿	文读	hau1	h	au	1
1806	蒿	茼蒿，白读	ho1	h	o	1
1807	薅		khau1	kh	au	1
1808	好	白读	ho2	h	o	2
1809	好	文读	hau2	h	au	2
1810	好	爱好	haunn3	h	aunn	3
1811	好	很，本字“酷”	hoh4	h	oh	4
1812	好	很，本字“酷”	hok4	h	ok	4
1818	耗		ho3	h	o	3
1819	豪	文读	hau5	h	au	5
1820	豪	豪猪，白读	ho5	h	o	5
1821	毫		hau5	h	au	5
1822	號	白读	ho7	h	o	7
1823	號	名字号，文读	hau6	h	au	6
1824	號	哭号，文读	hau5	h	au	5
1825	浩		hau2	h	au	2
1829	爊		lok8	l	ok	8
1830	襖		o2		o	2
1831	襖		ngau2	ng	au	2
1832	懊		au3		au	3
1833	奥	白读	onn3		onn	3
1834	奥	文读	au3		au	3
1836	包		pau1	p	au	1
1837	胞		pau1	p	au	1
1838	飽		pa2	p	a	2
1839	豹		pa3	p	a	3
1840	爆		pau6	p	au	6
1841	泡	气泡，文读	phau3	ph	au	3
1842	泡	水泡，白读	pha3	ph	a	3
1843	泡	泡沫，文读	phau1	ph	au	1
1844	泡	吸水后膨胀、大方，白读	pho3	ph	o	3
1845	抛		phau1	ph	au	1
1846	炮		phau3	ph	au	3
1847	跑		phau5	ph	au	5
1848	鮑		pau6	p	au	6
1849	刨		phau5	ph	au	5
1850	茅		mau5	m	au	5
1851	貓		ngiau1	ng	iau	1
1852	貓	山猫	ba5	b	a	5
1853	卯		bau2	b	au	2
1854	貌		mau6	m	au	6
1855	鐃		nau5	n	au	5
1856	撓	文读	nau5	n	au	5
1857	撓	白读	niau1	n	iau	1
1858	鬧	文读	nau6	n	au	6
1859	鬧	白读	lau7	l	au	7
1860	罩	文读	tsau3	ts	au	3
1861	罩	白读	ta3	t	a	3
1862	抓		tsua1	ts	ua	1
1863	爪		dziau2	dz	iau	2
1864	找		tau2	t	au	2
1865	笊		tsau2	ts	au	2
1866	抄		tshau1	tsh	au	1
1867	鈔		tshau1	tsh	au	1
1868	炒		tsha2	tsh	a	2
1869	吵		tshau1	tsh	au	1
1870	巢		tshau5	tsh	au	5
1871	梢		sau1	s	au	1
1872	捎		sau1	s	au	1
1873	稍	文读	tshiau2	tsh	iau	2
1874	稍	白读	tshio2	tsh	io	2
1875	潲		sau3	s	au	3
1876	潲		siau5	s	iau	5
1877	交		kau1	k	au	1
1878	郊		kau1	k	au	1
1879	膠		ka1	k	a	1
1880	教	白读	ka3	k	a	3
1881	教	文读	kau3	k	au	3
1882	絞		ka2	k	a	2
1883	狡		kau2	k	au	2
1884	鉸		ka1	k	a	1
1885	搞		kau2	k	au	2
1886	攪	白读	ka2	k	a	2
1887	攪	文读	kiau2	k	iau	2
1890	較		ka3	k	a	3
1891	較	太	khah4	kh	ah	4
1892	較	太	kah4	k	ah	4
1893	酵		kann3	k	ann	3
1894	窖		ka3	k	a	3
1895	校	学校	hau6	h	au	6
1896	校	校对	ka3	k	a	3
1897	覺		kak4	k	ak	4
1898	敲		khiau1	kh	iau	1
1899	敲		kha3	kh	a	3
1900	敲		kho3	kh	o	3
1901	巧	白读	kha2	kh	a	2
1902	巧	文读	khiau2	kh	iau	2
1903	咬		ka6	k	a	6
1904	孝	文读	hau3	h	au	3
1905	孝	走孝，白读	ha3	h	a	3
1906	肴		ngau5	ng	au	5
1907	淆		ngau5	ng	au	5
1908	淆	陈店音	ngiau5	ng	iau	5
1909	效		hau7	h	au	7
1912	坳		au1		au	1
1913	拗		au2		au	2
1914	拗		a2		a	2
1915	拗	扭	o2		o	2
1916	飈	文读	phiau1	ph	iau	1
1917	飈	白读	pio1	p	io	1
1918	標	文读	phiau1	ph	iau	1
1919	標	白读	pio1	p	io	1
1920	表	文读	piau2	p	iau	2
1921	表	白读	pio2	p	io	2
1922	錶		pio1	p	io	1
1925	飄	文读	phiau1	ph	iau	1
1926	飄	白读	phio1	ph	io	1
1927	飄	白读	pio1	p	io	1
1928	漂	文读	phiau1	ph	iau	1
1929	漂	白读	phio1	ph	io	1
1930	漂	白读	pio1	p	io	1
1931	漂	白读	pio3	p	io	3
1932	漂	落空，替字	phiu3	ph	iu	3
1933	票		phio3	ph	io	3
1939	嫖		phiau5	ph	iau	5
1940	瓢		phiau5	ph	iau	5
1941	鰾		phio6	ph	io	6
1942	描	文读	miau5	m	iau	5
1943	描	白读	bio5	b	io	5
1944	苗	文读	miau5	m	iau	5
1945	苗	白读	bio5	b	io	5
1948	藐		miau2	m	iau	2
1949	渺		miau2	m	iau	2
1950	秒		miau2	m	iau	2
1951	廟		bio7	b	io	7
1952	妙		miau6	m	iau	6
1953	燎		liau5	l	iau	5
1955	焦	文读	tsiau1	ts	iau	1
1956	焦	干，白读	ta1	t	a	1
1957	椒	白读	tsio1	ts	io	1
1958	椒	文读	tsiau1	ts	iau	1
1959	剿		tshau1	tsh	au	1
1960	鍬		tshiu1	tsh	iu	1
1961	繰		tshiau1	tsh	iau	1
1962	悄	悄悄话	tshiau1	tsh	iau	1
	悄	悄然	tshiau2	tsh	iau	2
1963	俏		tshiau2	tsh	iau	2
1964	樵	文读	tshiau5	tsh	iau	5
1965	樵	柴本字，白读	tsha5	tsh	a	5
1966	瞧		tshiau5	tsh	iau	5
1967	消		siau1	s	iau	1
1968	宵		siau1	s	iau	1
1969	霄	文读	siau1	s	iau	1
	霄	福建省漳州市云霄县，白读	sio1	s	io	1
1970	硝		siau1	s	iau	1
1971	銷		siau1	s	iau	1
1972	小	文读	siau2	s	iau	2
1973	小	白读	sio2	s	io	2
1974	笑	白读	tshio3	tsh	io	3
1975	笑	见笑，文读	siau3	s	iau	3
1976	鞘		siau1	s	iau	1
1977	朝	朝代	tshiau5	tsh	iau	5
1978	朝	朝暮	tsiau1	ts	iau	1
1979	超		thiau3	th	iau	3
1980	超	超度	thiau1	th	iau	1
1983	潮		tio5	t	io	5
1984	潮		tionn5	t	ionn	5
1985	趙		tionn6	t	ionn	6
1986	趙		tio6	t	io	6
1987	兆		tiau6	t	iau	6
1988	肇		siau6	s	iau	6
1989	召		tiau6	t	iau	6
1990	昭		tsiau1	ts	iau	1
1991	招	文读	tsiau1	ts	iau	1
1992	招	白读	tsio1	ts	io	1
1993	沼		dziau2	dz	iau	2
1994	照	白读	tsio3	ts	io	3
1995	照	文读	tsiau3	ts	iau	3
1996	照	替字	tshio7	tsh	io	7
1997	詔		dziau3	dz	iau	3
1998	燒		sio1	s	io	1
1999	少	白读	tsio2	ts	io	2
2000	少	文读	siau2	s	iau	2
2001	少	文读	siau3	s	iau	3
2005	韶		siau6	s	iau	6
2006	紹		siau6	s	iau	6
2007	邵		siau6	s	iau	6
2008	饒		dziau5	dz	iau	5
2009	擾		dziau2	dz	iau	2
2010	繞		dziau3	dz	iau	3
2012	驕		kiau1	k	iau	1
2013	嬌		kiau1	k	iau	1
2014	矯		kiau2	k	iau	2
2015	喬		khiau5	kh	iau	5
2016	橋	白读	kio5	k	io	5
2017	橋	文读	khiau5	kh	iau	5
2018	轎		kio7	k	io	7
2019	囂		hiau1	h	iau	1
2020	囂		hau1	h	au	1
2021	枵		iau1		iau	1
2022	妖		iau1		iau	1
2023	邀		iau1		iau	1
2024	邀	带	kiau1	k	iau	1
2025	腰		io1		io	1
2026	要		iau3		iau	3
2027	要		iau1		iau	1
2028	夭		iau1		iau	1
2031	搖	白读	io5		io	5
2032	搖	文读	iau5		iau	5
2033	謠		iau5		iau	5
2034	窯		io5		io	5
2035	姚	白读	io5		io	5
2036	姚	文读	iau5		iau	5
2037	舀		io2		io	2
2038	舀		ionn2		ionn	2
2039	耀	文读	iau6		iau	6
2040	耀	照亮，白读	tshio7	tsh	io	7
2041	刁		tiau1	t	iau	1
2042	貂		tiau1	t	iau	1
2043	雕		tiau1	t	iau	1
2044	鳥	白读	tsiau2	ts	iau	2
2045	破	白读	pfhua3	pfh	ua	3
2046	吊		tiau3	t	iau	3
2047	釣		tionn3	t	ionn	3
2048	挑	文读	thiau1	th	iau	1
2049	挑	白读	thio1	th	io	1
2050	挑	文读	thiau2	th	iau	2
2051	跳	文读	thiau3	th	iau	3
2052	跳	白读	tio5	t	io	5
2053	跳	白读	tio7	t	io	7
2054	糶		thio3	th	io	3
2058	條		tiau5	t	iau	5
2059	調		thiau5	th	iau	5
2060	調		tiau7	t	iau	7
2061	掉		tiau7	t	iau	7
2064	尿		dzio7	dz	io	7
2065	聊		liau5	l	iau	5
2066	遼		liau5	l	iau	5
2067	撩	文读	liau5	l	iau	5
2068	撩	白读	lio5	l	io	5
2069	寥		liau5	l	iau	5
2070	廖		liau7	l	iau	7
2071	了		liau2	l	iau	2
2072	了		lau2	l	au	2
2073	了		au2		au	2
2074	了		o2		o	2
2075	了		ou2		ou	2
2076	了		liah8	l	iah	8
2077	瞭		liau5	l	iau	5
2078	料		liau7	l	iau	7
2079	簫		siau1	s	iau	1
2080	蕭		siau1	s	iau	1
2081	嘯		sau3	s	au	3
2082	澆		kiau1	k	iau	1
2083	繳		kiau2	k	iau	2
2084	叫	白读	kio3	k	io	3
2085	叫	文读	kiau3	k	iau	3
2086	竅		khiau3	kh	iau	3
2087	堯		ngiau5	ng	iau	5
2088	曉		hiau2	h	iau	2
2089	么		mo7	m	o	7
2090	么		moh4	m	oh	4
2091	杳		miau2	m	iau	2
2092	剖		pho1	ph	o	1
2093	剖		phou2	ph	ou	2
2094	某		mou2	m	ou	2
2095	畝		bou2	b	ou	2
2096	牡		bou2	b	ou	2
2097	拇		bo2	b	o	2
2098	母	母亲	bo2	b	o	2
2099	母	妻子	bou2	b	ou	2
2100	茂		mou6	m	ou	6
2101	戊		bou7	b	ou	7
2102	貿		mou6	m	ou	6
2103	兜		tau1	t	au	1
2104	斗	文读	tou3	t	ou	3
2105	斗	白读	tau3	t	au	3
2106	斗	白读	tau2	t	au	2
2107	抖	文读	tou2	t	ou	2
2108	抖	白读	tau2	t	au	2
2109	陡		tau2	t	au	2
2110	鬥	文读	tou3	t	ou	3
2111	鬥	白读	tau3	t	au	3
2112	鬥	白读	tau2	t	au	2
2113	偷		thau1	th	au	1
2114	透		thau3	th	au	3
2115	頭		thau5	th	au	5
2116	投		tau5	t	au	5
2117	投	走投无路	thau5	th	au	5
2118	豆		tau7	t	au	7
2119	逗		tau7	t	au	7
2120	耨		dziok8	dz	iok	8
2121	樓		lau5	l	au	5
2122	摟		lou2	l	ou	2
2123	簍		lau2	l	au	2
2124	漏		lau7	l	au	7
2125	漏		lau2	l	au	2
2126	陋		lou6	l	ou	6
2127	走		tsau2	ts	au	2
2128	奏		tsau3	ts	au	3
2129	凑		tshou3	tsh	ou	3
2130	叟		sou2	s	ou	2
2131	嗽		sau3	s	au	3
2132	勾		kau1	k	au	1
2133	勾	勾机，挖掘机	ngau1	ng	au	1
2134	鉤		kau1	k	au	1
2135	溝		kau1	k	au	1
2136	狗		kau2	k	au	2
2137	苟		kou2	k	ou	2
2138	垢	文读	kou3	k	ou	3
2139	垢	白读	kau2	k	au	2
2140	彀		kou3	k	ou	3
2141	夠	文读	kou3	k	ou	3
2142	夠	白读	kau3	k	au	3
2143	構		kou3	k	ou	3
2144	購		kou3	k	ou	3
2145	媾		kou3	k	ou	3
2146	摳		khau1	kh	au	1
2147	口	白读	khau2	kh	au	2
2148	口	老派文读	khou2	kh	ou	2
2149	叩	白读	khau3	kh	au	3
2150	叩	文读	khou3	kh	ou	3
2151	扣	文读	khau3	kh	au	3
2152	扣	白读	kha3	kh	a	3
2153	寇	文读	khou3	kh	ou	3
2154	寇	白读	khau3	kh	au	3
2155	藕	文读	ngou2	ng	ou	2
2156	藕	白读	nau6	n	au	6
2157	藕	老派白读	ngau6	ng	au	6
2158	偶		ngou2	ng	ou	2
2160	吼		hau2	h	au	2
2161	蔻		khou3	kh	ou	3
2162	侯	文读	hou5	h	ou	5
2163	侯	姓，白读	kau5	k	au	5
2164	喉		au5		au	5
2165	喉	喉咙	au1		au	1
2166	猴		kau5	k	au	5
2167	後		au6		au	6
2168	厚	白读	kau6	k	au	6
2169	厚	文读	hou6	h	ou	6
2170	后		hou6	h	ou	6
2171	候		hau7	h	au	7
2172	謳		au1		au	1
2173	歐		au1		au	1
2176	嘔		au2		au	2
2177	毆		au2		au	2
2178	毆		aunn2		aunn	2
2179	毆		aunn1		aunn	1
2180	漚		au1		au	1
2181	慪		au3		au	3
2182	否	否定	hounn2	h	ounn	2
2183	否	否极泰来	phi2	ph	i	2
2184	否	本字“痞”	phai2	ph	ai	2
2185	富		pfu3	pf	u	3
2186	副		hu3	h	u	3
2187	浮		pfhu5	pfh	u	5
2188	阜		hu6	h	u	6
2189	負		hu6	h	u	6
2190	婦	文读	hu6	h	u	6
2191	婦	白读	pfu3	pf	u	3
2192	復		hok8	h	ok	8
2193	復		hok4	h	ok	4
2194	謀		mou5	m	ou	5
2195	矛		mau5	m	au	5
2196	眸		mou5	m	ou	5
2197	紐	文读	niu2	n	iu	2
	紐	秤纽，白读	nau6	n	au	6
2198	扭	文读	niu2	n	iu	2
2199	扭	白读	nau6	n	au	6
2200	留	文读	liu5	l	iu	5
2201	留	白读	lau5	l	au	5
2202	榴		liu5	l	iu	5
2203	劉	姓，白读	lau5	l	au	5
2204	劉	文读	liu5	l	iu	5
2205	流	文读	liu5	l	iu	5
2206	流	白读	lau5	l	au	5
2207	硫		liu5	l	iu	5
2208	琉		liu5	l	iu	5
2209	柳		liu2	l	iu	2
2210	溜		liu1	l	iu	1
2211	溜		liuh4	l	iuh	4
2212	溜		liu3	l	iu	3
2213	揪		tshiu1	tsh	iu	1
2214	酒		tsiu2	ts	iu	2
2215	秋		tshiu1	tsh	iu	1
2216	就		tsiu6	ts	iu	6
2217	修		siu1	s	iu	1
2218	羞		siu1	s	iu	1
2219	秀		siu3	s	iu	3
2220	鏽		siu3	s	iu	3
2221	繡		siu3	s	iu	3
2222	宿	白读	suah4	s	uah	4
2223	宿	文读	sok4	s	ok	4
2224	宿	文读	siok4	s	iok	4
2225	宿	星宿	siu3	s	iu	3
2226	囚		tshiu5	tsh	iu	5
2227	袖		siu3	s	iu	3
2228	肘		tsiu2	ts	iu	2
2229	肘	陈店音	tiu2	t	iu	2
2230	晝	白昼	tiu6	t	iu	2
2231	抽		thiu1	th	iu	1
2232	丑		thiu2	th	iu	2
2233	綢		tiu5	t	iu	5
2234	稠		tiu5	t	iu	5
2235	籌	筹码	tiu5	t	iu	5
2236	籌	筹备	thiu5	th	iu	5
2237	紂		tiu6	t	iu	6
2238	宙		tiu6	t	iu	6
2239	宙		tiu2	t	iu	2
2240	鄒		tsou1	ts	ou	1
2241	皺		niau3	n	iau	3
2242	皺		dziau3	dz	iau	3
2243	縐		niau3	n	iau	3
2244	愁		tshou5	tsh	ou	5
2245	驟		tsou6	ts	ou	6
2246	驟		tso6	ts	o	6
2247	餿		siau1	s	iau	1
2248	餿		sou1	s	ou	1
2249	搜		siau1	s	iau	1
2250	颼		sou1	s	ou	1
2251	蒐		siau1	s	iau	1
2252	瘦		sou3	s	ou	3
2253	漱		sou3	s	ou	3
2254	周		tsiu1	ts	iu	1
2255	舟		tsiu1	ts	iu	1
2256	洲		tsiu1	ts	iu	1
2257	州		tsiu1	ts	iu	1
2258	帚		tsiu2	ts	iu	2
2259	帚		tshiu2	tsh	iu	2
2260	咒		tsiu3	ts	iu	3
2261	醜		thiu2	th	iu	2
2262	臭		tshau3	tsh	au	3
2263	收		siu1	s	iu	1
2264	手		tshiu2	tsh	iu	2
2265	首		siu2	s	iu	2
2266	守		siu2	s	iu	2
2267	獸		siu3	s	iu	3
2268	讎		tshiu5	tsh	iu	5
2269	酬		tshiu5	tsh	iu	5
2270	受		siu6	s	iu	6
2271	壽		siu7	s	iu	7
2272	授		siu6	s	iu	6
2273	售		tshiu5	tsh	iu	5
2274	柔		dziu5	dz	iu	5
2275	揉		dziu5	dz	iu	5
2276	鳩		khiu1	kh	iu	1
2277	鬮		khau1	kh	au	1
2278	鬮		kha1	kh	a	1
2279	九	白读	kau2	k	au	2
2280	九	文读	kiu2	k	iu	2
2281	久	白读	ku2	k	u	2
2282	久	文读	kiu2	k	iu	2
2283	韭		ku2	k	u	2
2284	灸		ku3	k	u	3
2285	究		kiu3	k	iu	3
2286	救		kiu3	k	iu	3
2287	丘	白读	khu1	kh	u	1
2288	丘	文读	khiu1	kh	iu	1
2289	求		khiu5	kh	iu	5
2290	球		kiu5	k	iu	5
2291	仇		tshiu5	tsh	iu	5
2292	舅		ku6	k	u	6
2293	臼		khu6	kh	u	6
2294	咎		kiu6	k	iu	6
2295	舊		ku7	k	u	7
2296	舊	守旧	khiu7	kh	iu	7
2297	柩		kiu6	k	iu	6
2298	牛		gu5	g	u	5
2299	休		hiunn1	h	iunn	1
2300	朽		hiunn2	h	iunn	2
2301	嗅		hiunn3	h	iunn	3
2302	憂		iu1		iu	1
2303	優		iu1		iu	1
2304	尤		iu5		iu	5
2305	郵		iu5		iu	5
2306	有	白读	u6		u	6
2307	有	文读	iu2		iu	2
2308	友		iu2		iu	2
2309	又		iu5		iu	5
2310	又		iu6		iu	6
2311	右		iu6		iu	6
2312	宥		iu6		iu	6
2313	祐		iu6		iu	6
2314	祐	疑似阳上变调错乱	iu3		iu	3
2315	油		iu5		iu	5
2316	游		iu5		iu	5
2317	游	替字，本字“泅”	siu5	s	iu	5
2318	悠		iu1		iu	1
2319	悠		hiunn1	h	iunn	1
2320	猶		iu5		iu	5
2321	由		iu5		iu	5
2322	酉		iu2		iu	2
2323	莠		iu2		iu	2
2324	誘		iu2		iu	2
2325	釉		iu5		iu	5
2326	柚		iu7		iu	7
2327	彪		piu1	p	iu	1
2328	謬		miu3	m	iu	3
2329	丢		tiu1	t	iu	1
2330	糾		kiu2	k	iu	2
2331	幽		iu1		iu	1
2332	幼		iunn3		iunn	3
2333	耽	文读	tam1	t	am	1
2334	耽	白读	tann1	t	ann	1
2335	貪		tham1	th	am	1
2336	探		tham3	th	am	3
2337	潭		tham5	th	am	5
2338	譚		tham5	th	am	5
2339	南	文读	nam5	n	am	5
2340	南	白读，南门，潮阳地名	na5	n	a	5
2341	男		nam5	n	am	5
2342	婪		nam5	n	am	5
2343	簪		tsam1	ts	am	1
2344	參	参加	tsham1	tsh	am	1
2345	參	人参	sim1	s	im	1
2346	慘		tsham2	tsh	am	2
2347	蠶		tshai5	tsh	ai	5
2348	感		kam2	k	am	2
2349	堪		kham1	kh	am	1
2350	龕		kham1	kh	am	1
2351	坎		kham2	kh	am	2
2352	砍		kham2	kh	am	2
2353	勘		kham3	kh	am	3
2354	勘		ngam1	ng	am	1
2355	含	文读	ham5	h	am	5
2356	含	白读	kam5	k	am	5
2357	函		ham5	h	am	5
2358	撼		ham6	h	am	6
2359	憾		ham6	h	am	6
2360	庵		am1		am	1
2361	諳		am1		am	1
2362	暗		am3		am	3
2363	擔	担心，白读	tann1	t	ann	1
2364	擔	担子，白读	tann3	t	ann	3
2365	擔	文读	tam1	t	am	1
2366	膽	白读	tann2	t	ann	2
2367	膽	文读	tam2	t	am	2
2371	坍		tham1	th	am	1
2372	毯		thang2	th	ang	2
2373	痰		tham2	th	am	2
2374	談		tham5	th	am	5
2375	淡	白读	tann6	t	ann	6
2376	淡	文读	tam6	t	am	6
2379	藍		nam5	n	am	5
2380	藍		lam5	l	am	5
2381	藍	花蓝	lam1	l	am	1
2382	藍	花蓝	lom1	l	om	1
2383	藍	姓，白读	na5	n	a	5
2384	籃	白读	na5	n	a	5
2385	籃	文读	lam1	l	am	1
2386	欖	白读	na2	n	a	2
2387	欖	文读	nam2	n	am	2
2388	攬		lam2	l	am	2
2389	攬		nam2	n	am	2
2390	覽		nam2	n	am	2
2391	覽		lam2	l	am	2
2392	纜		nam2	n	am	2
2393	濫		nam6	n	am	6
2394	濫	疑似阳上变调错乱	nam3	n	am	3
2395	慚		tsham5	tsh	am	5
2396	暫		tsiam6	ts	iam	6
2397	三	白读	sann1	s	ann	1
2398	三	文读	sam1	s	am	1
2399	柑	白读	kann1	k	ann	1
2400	柑	油柑，文读	kam1	k	am	1
2401	泔		kam1	k	am	1
2402	甘		kam1	k	am	1
2403	敢	白读	kann2	k	ann	2
2404	敢	石敢当，文读	kam2	k	am	2
2405	橄		kann1	k	ann	1
2406	瞰		kham2	kh	am	2
2407	蚶	蚶虫	kam1	k	am	1
2408	喊		ham3	h	am	3
2409	喊	包括，有待考证	ham2	h	am	2
2410	邯		ham5	h	am	5
2411	酣		ham1	h	am	1
2412	站		tsam6	ts	am	6
2413	賺	训读，本字“趁”	thang3	th	ang	3
2414	賺	错误	tann7	t	ann	7
2415	斬		tsam2	ts	am	2
2416	蘸		tsam3	ts	am	3
2417	讒		tsham5	tsh	am	5
2418	饞		tsham5	tsh	am	5
2419	杉		sam1	s	am	1
2420	尷		kam1	k	am	1
2421	減		kiam2	k	iam	2
2422	鹻		kiam2	k	iam	2
2423	鹹		kiam5	k	iam	5
2424	咸		kiam5	k	iam	5
2425	咸	全部	ham5	h	am	5
2426	咸	包括	ham2	h	am	2
2427	陷		ham7	h	am	7
2428	攙		tsham1	tsh	am	1
2429	懺		tsham3	tsh	am	3
2430	監	监狱	kam1	k	am	1
2431	監	监视	kam3	k	am	3
2434	鑒		kam3	k	am	3
2435	嵌		khiam5	kh	iam	5
2436	嵌		kam2	k	am	2
2437	巖		ngam5	ng	am	5
2438	銜	文读	ham5	h	am	5
2439	銜	叼，白读	kann5	k	ann	5
2440	艦		nam2	n	am	2
2441	艦		lam2	l	am	2
2442	貶		phiang2	ph	iang	2
2443	黏		niam5	n	iam	5
2444	黏		niam1	n	iam	1
2445	廉		niam5	n	iam	5
2446	鐮		niam5	n	iam	5
2447	簾		niam5	n	iam	5
