例字	中古音	電白龍山	羅定	雷州	吳川蘭石	說明：蘭石東話 陰平 33 家多初開 陽平 22 牙河圖魚 陰上 31 左把假女 陽上 42 午謝異硬 陰去 44 化廢放布 陰入 5 發括得績 陽入 2 活越賊局 升降調 453 之爸血百				
吸	深開三入緝曉	kʰip5	kʰip5	kʰip5	kʰɐp5					
陰	深開三平侵影	im33	im45	im24	jim33					
單	山開一平寒端	taŋ33	tua45	taŋ24	ɗu33/ɗaŋ33					
攤	山開一平寒透	tʰaŋ33	tʰan45	tʰaŋ453	tʰaŋ453					
炭	山開一去翰透	tʰua44	tʰua31	tʰua21	tʰu33					
彈～琴	山開一平寒定	taŋ22	tʰan24	tʰaŋ22/tua22（白）	tʰaŋ22					
蛋	山開一去翰定	nui42（訓“卵”）	nui443（訓“卵”）	taŋ453/nui33（訓“卵”）	ɗaŋ33					
卵		nui42	nui443	nui33						
達	山開一入曷定	tak2	tat2	tak5	ɗak2					
難～易	山開一平寒泥	naŋ22	nan24	naŋ22	naŋ22					
蘭	山開一平寒來	laŋ22	lan31	laŋ22	na22/laŋ22					
懶	山開一上旱來	laŋ31	lan451	laŋ22/tua33（訓“惰”）	laŋ31					
爛	山開一去翰來	nua33	nua443	nua24	nu33					
辣	山開一入曷來	lua42	lua443	lua33	lu42/lak2					
贊	山開一去翰精	tsaŋ44	tʰan31	tsaŋ21	taŋ44					
餐	山開一平寒清	tsʰaŋ44	tui31	tsʰaŋ453/tui21	saŋ453					
擦	山開一入曷清	tsʰit5	tsʰat5	tsʰua453	su453					
殘	山開一平寒從	tsʰaŋ22	tsʰan24	tsʰaŋ22	saŋ22					
傘	山開一上旱心	ɬua44	sua31	saŋ41	ɬu44					
散分～	山開一去翰心	ɬua44	sua451	sua41	ɬu44					
肝	山開一平寒見	kua33	kua45	ko24	ku33					
杆	山開一上旱見	pia44	——	kaŋ41	kɔ33					
幹～杯	山開一去翰見	kaŋ33	kan31	kaŋ24	kɔŋ453					
割	山開一入曷見	kua53	kua451	kua453/kak5	ku453					
看～見	山開一去翰溪	kʰam22	kʰua31	kʰaŋ453/kʰua453	oŋ44					
岸	山開一去翰疑	ŋaŋ42	ŋuon443	ŋaŋ33	ɔŋ42					
漢	山開一去翰匣	haŋ44	han31	haŋ21	hɔŋ44					
寒	山開一平寒匣	kua22	kua24	kua22	ku22/hɔŋ22					
旱	山開一上旱匣	ua42	ua443	haŋ33/ua33	u42					
汗	山開一去翰匣	kua33	kua443	haŋ33	ku33					
安	山開一平寒影	ŋaŋ33	an45	aŋ24	u33/ɔŋ33					
案	山開一去襇影	ua44	an31	ua21	u44/ɔŋ44					
扮	山開二去襇幫	paŋ42	pan443	paŋ453	ɓaŋ42					
八	山開二入黠幫	pɔi53	pye451	poi453/pak5	ɓɛi453					
辦	山開二去襇並	paŋ42	pan443	paŋ33	ɓaŋ42					
拔	山開二入黠並	pɔi42	ɓaŋ451	puak5	ɗən33					
抹	山開二入黠明	mak5	ɓua451	muak5	mak5					
盞	山開二上產莊	tsaŋ31	tsan451	tsaŋ41	taŋ31					
鏟	山開二上產初	tsʰaŋ31	tsʰan451	tsʰaŋ41	saŋ31					
察	山開二入黠初	tsʰak5	tsʰat2	tsʰak5	sak5					
山	山開二平山生	ɬua33	sua45	sua24	ɬu33					
產	山開二上產生	ɬaŋ33	tsʰan451	saŋ41	saŋ31					
殺	山開二入黠生	ɬak5	tʰai45（訓“治”）	sua453	ɬu453					
間中～	山開二平山見	kaŋ33/kai33	kan45	kɛŋ24	kai33/kaŋ33					
揀	山開二上產見	kai31	kan451	kai41	kai31					
眼	山開二上產疑	ŋaŋ31/ŋai31	ɓak2	ŋai41	ŋai31					
閑	山開二平山匣	ai22	eiŋ24	ai22	ai22					
限	山開二上產匣	haŋ42	han443	haŋ453	haŋ42					
莧	山開二去襇匣	haŋ42	i443	hiɛŋ453	——					
班	山開二平刪幫	paŋ33	pan45	paŋ24	ɓaŋ33					
板	山開二上潸幫	pai31/paŋ31（文）	pan451	pai41	ɓai31/ɓaŋ31					
蠻野～	山開二平刪明	maŋ22	ɓan24	maŋ22	maŋ22					
慢	山開二去諫明	maŋ33	——	maŋ24	maŋ33					
奸	山開二平刪見	kaŋ33	kan45	kaŋ24	kaŋ33					
顏	山開二平刪疑	aŋ22	ŋan443	ŋaŋ22	ŋaŋ22					
瞎	山開二入鎋曉	——	——	——	——					
晏	山開二去諫影	am44	ua31	ua41	ku44					
鞭	山開三平仙幫	pi33	pi45	piɛŋ24	——					
變	山開三去線幫	piŋ44	pi31	piɛŋ21	ɓin44					
偏	山開三平仙滂	pʰiŋ33	pʰien45	pʰiɛŋ24	——					
騙	山開三去線滂	pʰiŋ44	pʰien31	pʰiɛŋ21	pʰin44					
辯	山開三上狝並	piŋ42	pan443	piɛŋ453	ɓin42					
別	山開三入薛並	pit2	piet2	piɛk2	ɓit2					
棉	山開三平仙明	mi22	ɓien22	mi33	min22					
免	山開三上狝明	miŋ31	ɓien451	miɛŋ41	min31					
面～上	山開三去線明	miŋ33	ɓin443	miɛŋ24	min33					
滅	山開三入薛明	mit2	ɓiet2	miɛk2	mit2					
連	山開三平仙來	liŋ22	lien22	liɛŋ22	lyn22					
裂	山開三入薛來	lik2	li443	liɛk2	li453					
煎	山開三平仙精	tsi44	tsien31	tsi24	tsi33					
剪	山開三上狝精	ka33（訓“鉸”）	tsien451	ka24（訓“鉸”）	ka33（訓“鉸”）					
鉸	效開二平肴見	ka33		ka24	ka33					
箭	山開三去線精	tsi44	tsien31	tsi21	tsi44					
遷	山開三平仙清	tsʰiŋ33	tsʰien45	tsʰiɛŋ24	sin33					
淺	山開三上狝清	tsʰiŋ31	tsʰien451	tsʰiɛŋ21	kʰin31					
錢	山開三平仙從	tsi22	tsi24	tsi22	tsi22					
賤	山開三去線從	tsiŋ42	tsien443	tsiɛŋ33	tsyn42					
仙	山開三平仙心	ɬiŋ33	sien45	siɛŋ24	ɬyn33					
癬	山開三上狝心	tsʰua31	sien451	siɛŋ41	ɬyn31					
線	山開三去線心	ɬua44	sua31	sua21	ɬu44					
薛	山開三入薛心	ɬia33	siet5	soi453	——					
展	山開三上狝知	tsiŋ31	tsien451	tsiɛŋ41	tsin31					
纏	山開三平仙澄	——	tsien443	tsʰiɛŋ22	——					
戰	山開三去線章	tsiŋ44	tsien31	tsiɛŋ453	tsyn44					
折～斷	山開三入薛章	tsik5	tsiet5	a453/tsiɛk5	tsi453					
舌	山開三入薛船	tsi42	li443	tsi33	tsi42					
扇～子	山開三去線書	ɬi44	sua31	si21	ɬi44					
設	山開三入薛書	ɬik5	tsʰiet5	siɛk5	syt5					
善	山開三上狝禪	ɬiŋ42	sien22	siɛŋ453	ɬyn42					
折～本	山開三入薛禪	tsik5	sit2	si453	ɬi42					
然	山開三平仙日	iŋ22	ien24	iɛŋ22	jin22					
燃			hia24							
熱	山開三入薛日	jik2	jiet2	zua22/jiɛk2	——					
件	山開三上狝群	kiŋ42	kien443	kʰiɛŋ33	kin42					
傑	山開三入薛群	kik2	kit2	kiɛk2	kit2					
孽	山開三入薛疑	——	niep2	ŋiɛk5	——					
延	山開三平仙以	iŋ22	ien22	jiɛŋ22	jin22					
演	山開三上狝以	iŋ31	ien451	jiɛŋ22	jyn31					
建	山開三去願見	kiŋ44	kien31	kiɛŋ21	kin44					
言	山開三平元疑	jiŋ22	ien24	ŋiɛŋ22	——					
掀	山開三平元曉	pʰɛŋ53	——	hiɛŋ24	——					
獻	山開三去願曉	hiŋ44	hien31	hiɛŋ21	hin44					
歇	山開三入月曉	hia53	tʰau451	hia453/hiɛk5	hɛ453					
邊	山開四平先幫	pai22（訓“爿”）/ki22（訓“墘”）	pi45	pai22（訓“爿”）/piɛŋ24	ɓai33					
扁	山開四上銑幫	——	pien451	piɛŋ41/piɛŋ453	ɓɛn31					
遍	山開四去霰幫	pʰiŋ44	pʰien31	pʰiɛŋ21	——					
片	山開四去霰滂	pʰiŋ44	pʰien31	pʰiɛŋ21	pʰɛn44					
撇	山開四入屑滂	pʰik5	pʰiet5	pʰiɛk5	pʰit5					
辮	山開四上銑並	pʰik5	pi45	pi33/piɛŋ453（文）	ɓin33					
面～條	山開四去霰明	mi33	pi45	mi24	mi33					
蔑	山開四入屑明	wi42	ɓiet2	bi24	pʰi42					
顛	山開四平先端	tiŋ33	tien45	tiɛŋ24	ɗyn33					
天	山開四平先透	tʰi33	tʰi45	tʰi24/tʰiɛŋ24（文）	tʰi33					
鐵	山開四入屑透	tʰi53	tʰi451	tʰi453	tʰi453					
田	山開四平先定	tsʰaŋ22	tsʰaŋ24	tsʰaŋ22	saŋ22					
填	山開四平先定	tsʰaŋ22	tʰien24	tʰiɛŋ22	tʰin22					
電	山開四去霰定	tiŋ42	tien443	tiɛŋ33	ɗin42					
墊	山開四去霰定	tʰiam42	tien31	tʰiam33/tʰiap5	tʰi42/kʰiam33					
年	山開四平先泥	hi22	ni24	hi22	hi22/nin22					
捏	山開四入屑泥	niam53	niu451	tɛ22	——					
蓮	山開四平先來	liŋ22	lien24	liɛŋ22	lyn22					
煉	山開四去霰來	liŋ42	lien443	liɛŋ33	lyn33					
節	山開四入屑精	tsik5	tsiet5	tsoi453/tsiɛk5（文）	tɛi453					
千	山開四平先清	tsʰai33	tsʰan45	tsʰai24	sai33					
切	山開四入屑清	tsʰik5	tsʰiet5	tsoi453（訓“截”）/tsʰiɛk5	tɛi33					
前	山開四平先從	tsai22	tsieŋ24	tsai22	tai22					
先	山開四平先心	ɬai33	sien45	siɛŋ24	ɬai33/ɬin33					
肩	山開四平先見	kai33	kien45	kiɛŋ24	kin453					
見	山開四去霰見	ki44	kien31	ki21	ki44					
結	山開四入屑見	kik5	kiet5	kiɛk5	kit5					
牽	山開四平先溪	kʰaŋ33	hien45	kʰaŋ24	kʰaŋ33					
現	山開四去霰匣	hin42	ien443	hiɛŋ453/hiŋ453	hin42					
煙	山開四平先影	jiŋ33	hun45	huŋ24	jin33					
燕	山開四去霰影	jiŋ44	ien31	i453/iɛŋ21（文）	in44					
搬	山合一平桓幫	pun53	pua45	pua24	ɓu33					
半	山合一去換幫	pua44	pua31	pua21	ɓu44					
潘	山合一平桓滂	pʰua33	pʰua45	pʰua24	pʰun453					
判	山合一去換滂	pʰun44	pʰuon31	pʰuaŋ21	pʰun44					
潑	山合一入末滂	pʰua53	pʰuot5	pʰua453/tsua453	pʰu453					
盤	山合一平桓並	pua22	pua24	pua22	ɓu22/pʰun22					
伴	山合一上緩並	pʰua31	pʰun24	puaŋ33	pʰu42					
叛	山合一去換並	pʰun44	puon31	puaŋ21	——					
滿	山合一上緩明	mua31	ɓua451	mua41/ti22（訓）	mun42					
末	山合一入未明	mut2	ɓuot2	muak5	mut2					
端	山合一平桓端	tun33	tun45	tuaŋ24	——					
短	山合一上緩端	tia31	te451	tɛ41	ɗɛ 31					
脫	山合一入末透	tʰut5	tʰut5	tʰui21	tʰut5					
團	山合一平桓定	tʰun22	tʰuon24	tʰui22（白）/tʰuaŋ22	tʰui22/tʰyn22					
斷折～	山合一上緩定	tui42	tui443	tui33	ɗui42					
緞	山合一去換定	tun42	tuon443	tuaŋ453	ɗyn42					
奪	山合一入末定	tut2	tut2	tuak5	——					
暖	山合一上緩泥	nun22	lua443	nuaŋ41	nun42					
亂	山合一去換來	nui33	luon443	luaŋ33	nui33					
捋	山合一入末來	lut2	luot2	luak5	lut2					
酸	山合一平桓心	ɬui33	sui45	sui24	ɬui33/ɬun453					
算	山合一去換心	ɬui33	sui31	sui21	ɬui44/ɬu44					
官	山合一平桓見	kua33	kua45	kua24	ku33/kun33					
管	山合一上緩見	kua31	kuon451	kua41	ku31/kun31					
灌	山合一去換見	kua44	kuon31	kuaŋ21	ku44					
括	山合一入末見	kʰut5	kʰuot5	kuak5	kʰut5					
寬	山合一平桓溪	kʰua53	kʰua45	kʰua24	ku453					
闊	山合一入末溪	kʰua53	kʰua451	kʰuak5	ku453					
歡	山合一平桓溪	hua33	hua45	huaŋ24	fu33/fun33					
完	山合一平桓匣	hun22	uon24	ŋuaŋ22	win22					
丸	山合一平桓匣	iŋ22	i24	jiɛŋ22	win22					
換	山合一去換匣	pɔ53	ua443	huaŋ33	ɓɔ453					
活	山合一入末匣	huak2	ua443	ua33	ut2					
碗	山合一上緩影	ua31	ua451	ua41	u31					
頑	山合一平山疑	——	uon24	ŋuaŋ22	——					
猾	山合二入黠匣	kut2	kʰut2	kuk2	wak2					
挖	山合二入黠影	uak5	uot5	uak453	wak5					
閂	山合二平刪山	tsʰua33	tsʰua31	tsʰua21	ɬaŋ33					
刷	山合二入鎋生	ɬak5	tsʰat5	suak5	ɬaŋ44					
關	山合二平刪見	kuai33	kue45	kuɛ24	kuɛ33/kuaŋ33					
慣	山合二去諫見	kuaŋ44/kuai44（白）	kuon31	kuaŋ21	kuai44					
刮	山合二入鎋見	kua53	kue451	kuak5	kuak5					
還歸～	山合二平刪匣	huaŋ22	uon24	huaŋ22	waŋ22					
彎	山合三平刪影	uaŋ33	on45	uaŋ24	waŋ453					
全	山合三平仙從	tsʰun22	tsuon24	tsui22	syn22					
泉	山合三平仙從	tsʰiŋ22	tsʰuon24	siap2	syn22					
絕	山合三入薛從	tsit2	tsuot2	tsiɛk2	tsyt2					
雪	山合三入薛心	ɬɔi53	se451	soi453	ɬɛi453					
旋	山合三平仙邪	——	suon24	siɛŋ22	ɬyn22					
轉～身	山合三上狝知	tsun31	tsun451	tsiɛŋ41	tsyn31					
轉	山合三上狝知	tui31	tui451	tui41	ɗui31					
傳～達	山合三平仙澄	tsʰun22	tsun451	tsʰiɛŋ22	syn22					
磚	山合三平仙章	tsui33	tsui45	tsui24	tsyn33					
穿	山合三平仙昌	tsʰiaŋ33（訓）	tsʰui45	tsʰuaŋ24	sən33					
船	山合三平仙船	tsun22	tsun24	tsuŋ22	tun22					
說小～	山合三入薛書	ɬɔi53	se451	suɛ453	ɬɛi453					
軟	山合三上狝日	kiŋ31	nui451	nui33	nui31					
卷～起	山合三上狝見	kʰɛŋ53	lun451	kɛŋ41	kyn31					
圈圓～	山合三平仙溪	kʰiŋ22	kʰuon45	kʰɛu24（訓“箍”）	kʰuɛn453					
拳	山合三平仙群	kʰiŋ22	kʰuon24	kʰiɛŋ22	kʰuɛn22					
權	山合三平仙群	kʰiŋ22	kʰun24	kʰiɛŋ22	kʰyn22					
圓	山合三平仙雲	i22	i24	i22	i22/jyn22					
緣	山合三平仙以	iŋ22	uon24	jiɛŋ22	jyn22					
反	山合三上阮非	huaŋ31	pan451	baŋ41	faŋ31					
發	山合三入月非	huak5	huot5	bak5	fak5					
翻	山合三平元敷	huaŋ33	huon45	huaŋ24	faŋ33					
煩	山合三平元奉	huaŋ22	huon22	baŋ22	faŋ22					
飯	山合三去願奉	pui33	ɓui443	pui24	ɓoi33					
罰	山合三入月奉	huak2	huot2	huak2	fak2					
萬	山合三去願微	maŋ33	ɓan443	baŋ24	maŋ33					
襪	山合三入月微	mak2	ɓat2	bak2	mak2					
勸	山合三去願溪	kʰiŋ44	hun31	kʰɛŋ21	hyn44					
元	山合三平元疑	jiŋ22	uon24	jiɛŋ22	jyn22					
原	山合三平元疑	jiŋ22	yen22	jiɛŋ22	jyn22					
月	山合三入月疑	kɔi42	hye443	wɛ33	koi42					
冤	山合三平元影	iŋ33	uon45	jiɛŋ24	jyn453					
遠	山合三上阮雲	hui42	hui443	hui33	hui42/jyn42					
決	山合四入屑見	kik5	kʰuot5	kʰiɛk5	kyt5					
缺	山合四入屑溪	kʰi53	kʰuot5	kʰi453	kʰi453/kʰyt5					
血	山合四入屑曉	hui53	hye451	huɛ453	hoi453					
縣	山合四去霰匣	hiŋ42	kuon443	kuai24	jin22					
穴	山合四入屑匣	hiap5	uot2	hik5	jyt2					
吞	臻開一平痕透	tʰun33	tʰun45	tʰuŋ24	tʰun33					
根	臻開一去痕影	kiŋ33	kin45	kiɛŋ24	kin33					
痕	臻開一平痕匣	haŋ22	hin24	huŋ22	hun22					
恨	臻開一去恨匣	haŋ42/hoŋ53	hin24	hiɛŋ453	hən42					
恩	臻開一平痕影	ŋaŋ33	in45	iɛŋ24	ən33					
賓	臻開三平真幫	piŋ33	pin45	piɛŋ24	ɓən33					
筆	臻開三入質幫	pik5	pit5	piɛk5	ɓit5					
匹	臻開三入質滂	pʰik5	pʰiet5	pʰik5	pʰət5					
貧	臻開三平真並	pʰɛŋ22	pʰin24	pʰiɛŋ22	pʰən22					
民	臻開三平真明	miŋ22	ɓun24	miɛŋ22	mun22					
敏	臻開一上軫明	miŋ31	ɓin451	miɛŋ41	mən22					
密	臻開一入質明	wak2	ɓat2	miɛk5	mət2					
蜜	臻開一入質明	wak2	ɓat2	miɛk5	mət2					
麟	臻開三平真來	——	——	laŋ22/liɛŋ21	laŋ22					
進	臻開三去震精	tsiŋ44	tsin31	tsiɛŋ21	tsin44					
親	臻開三平真清	tsʰiŋ33	tsʰin45	tsʰiɛŋ24	sən33					
七	臻開三入質清	tsʰik5	tsʰit5	tsʰiɛk5	sit5					
盡	臻開三上軫從	tsiŋ42	tsin31	tsiɛŋ33	tsyn42					
新	臻開三平真心	ɬiŋ33	sin31	siɛŋ24	ɬin33					
信	臻開三去震心	ɬiŋ44	sin31	siɛŋ21	ɬin44					
鎮	臻開三去震知	tsiŋ44	tsin31	tsiɛŋ21	tsin44					
陳	臻開三平真澄	taŋ22	tan24	taŋ22	sən22					
真	臻開三平真章	tsiŋ33	tsin45	tsʰiɛŋ24	tsin33					
質	臻開三入質章	tsik5	tsik5	tsiɛk5	tət5					
侄	臻開三入質澄	tsik5	tit2	tsiɛk5	tət2					
神	臻開三平真船	ɬiŋ22	sin24	siɛŋ22	ɬin22					
實	臻開三入質船	ɬik2	tsat2	siɛk2	ɬit2					
身	臻開三平真書	ɬiŋ33	sin45	siɛŋ24	ɬin33					
失	臻開三入質書	ɬik5	sit5	siɛk5	ɬit5					
腎	臻開三上軫禪	ɬiŋ44	ye45	siɛŋ33	——					
人	臻開三平真日	naŋ22（訓）	laŋ24（訓）	naŋ22（訓）	naŋ22（訓）					
忍	臻開三上軫日	nun31	nun451	jiɛŋ41	nun42					
認	臻開三去震日	iŋ33	in443	jiɛŋ24	jin33					
日	臻開三入質日	jik2	it2	jiɛk5	jit2					
巾	臻開三平真見	kiŋ33	kin45	kiɛŋ24	kin33					
緊	臻開三上軫見	kiŋ31	kin451	kiɛŋ41	kin31					
銀	臻開三平真疑	ŋiŋ22	ŋiŋ24	ŋiɛŋ22	ŋin22					
因	臻開三平真影	iŋ33	in45	iɛŋ24	ən33					
印	臻開三去震影	iŋ44	in31	iɛŋ33	in44					
一	臻開三入質影	ik5/iak2（訓）	it5	jiak5（訓）/iɛk5	it5/jiɐt2					
引	臻開三上軫以	iŋ31	in451	iɛŋ41	jiɐn31					
斤	臻開三平殷見	kiŋ33	kin45	kiɛŋ24	kin33					
筋	臻開三平殷見	kiŋ33	kin45	kiɛŋ24	kin33					
勤	臻開三平殷群	kʰiŋ22	kʰin24	kʰiɛŋ22	kʰin22					
近	臻開三上隱群	kiŋ42	kin443	kiɛŋ33	kin42					
本	臻合一上混幫	pui31	pun451	pui41/puŋ41（文）	ɓoi31/ɓun31（文）					
不	臻合一入沒幫	put5	put5	puk5	ɓut5					
盆	臻合一平魂並	pʰun22	pua24	pʰuŋ22	ɓun22					
笨	臻合一上混並	paŋ42	pun31	puŋ41	——					
門	臻合一平魂明	mui22	pui24	mui22	moi22					
墩	臻合一平魂端	tun33	tun45	tuŋ24	ɗən453					
頓	臻合一去慁端	tun53	tun24	tuŋ453	ɗyn453					
突	臻合一入沒定	tak2	tut2	tuk5	——					
嫩	臻合一去慁泥	iu44（訓“幼”）	tsi451	nuŋ453	iu44					
論	臻合一去慁來	lun22	lun443	luŋ33	lyn42					
尊	臻合一平魂精	tsun33	tsuon45	tsuŋ24	tsyn33					
卒	臻合一入沒精	tsut5	tsuot5	tsuk5	tut5					
村	臻合一平魂清	tsʰui33	tsʰun45	tsʰui24	sui33					
寸	臻合一平慁清	tsʰun44	tsʰun31	tsʰun21	sun44					
孫	臻合一平魂心	ɬun33	sun45	suŋ24	ɬun33					
滾	臻合一上混見	kun31	kun451	kuŋ41	kun31					
骨	臻合一入沒見	kut5	kut5	kuk5	kut5					
捆	臻合一上混溪	kʰun31	kʰun451	kʰuŋ41	kʰun31					
困	臻合一去慁溪	kʰun44	kʰun31	kʰuŋ21	kʰuən44					
昏	臻合一平魂曉	hun33	hun45	huŋ24	hui22					
忽	臻合一入沒曉	——	ut5	huk5	——					
混	臻合一上混匣	hun31	un24	huŋ21	——					
溫	臻開一平魂影	un33	un45	uŋ24	uɐn453					
律	臻開三入術來	lut2	lyt24	luk2	lət2					
遵	臻合三平諄精	tsun33	tsuon45	tsuŋ24	tsyn33					
筍	臻合三上准心	ɬun31	sun451	suŋ41	ɬun31					
榫	臻合三上准心	ɬun31	sun451	suŋ41	ɬun31					
准	臻合三上准章	tsun31	tsun451	tsuŋ41	tun31					
春	臻合三平諄昌	tsun33	tsʰun45	tsʰuŋ24	sun33					
出	臻合三入術昌	tsʰut5	tsʰut5	tsʰuk5	sut5					
秫	臻合三入術船	tsuk2	tsut2	tsuk2	tut2					
順	臻合三去稕船	ɬun42	sun31	suŋ453	ɬun31					
純	臻合三平諄禪	ɬun22	sin22	suŋ22	sən22					
閏	臻合三去稕日	nun33	zun443	nuŋ24	ɬun22					
橘	臻合三入術見	kik5	kuik5	kiɛk5/kik5	kit5					
均	臻合三平諄見	kʰiŋ33	kun45	kʰuŋ24	kʰuɐn33					
菌	臻合三上准群	kʰun31	kʰun451	kʰuŋ41	kʰən31					
允	臻合三上准以	un31	un451	iɛŋ21	un31					
分	臻合三平文非	hun33	hun45	puŋ24	ɓun33/hun33（文）					
糞	臻合三去問非	pun44	hun31	puŋ21	ɓun44					
墳	臻合三平文奉		hun22	wɛŋ22						
佛	臻合三入物奉	put2	hut2	puk2/hok2（文）	fət2					
蚊	臻合三平文微	maŋ31（訓“蠓”）	ɓun24	maŋ41（訓“蠓”）	maŋ22（訓“蠓”）					
蠓		maŋ31		maŋ41	maŋ22					
問	臻合三去問微	mui33	ɓui443	mui24	moi33					
物	臻合三入物微	mut2/mi42	ɓit2	mi33（白）/wiɛk5	mi42/mət2					
軍	臻合三平文見	kiŋ33	kun45	kiɛŋ24	kuɐn33					
君	臻合三平文見	kiŋ33	kun45	kiɛŋ24	kuɐn453					
屈	臻合三入物溪	kʰut5	ut5	kʰuak5	kʰut5					
裙	臻合三平文群	kun22	kʰun24	kuŋ22	kun22					
熏	臻合三平文曉	hun33	hun45	huŋ24	hun33					
勳	臻合三平文曉	——	hun45	——	——					
訓	臻合三去問曉	hun44	hun31	huŋ21	hun44					
雲	臻合三平文雲	hun22	hun22	huŋ22	hun22					
運	臻合三去問雲	un42	un443	jiɛŋ33	wɐn42					
幫	宕開一平唐幫	poŋ33	poŋ45	paŋ24	ɓoŋ33/ɓɔŋ33					
博	宕開一入鐸幫	pok5	pok5	pok5	ɓɔk5/ɓət5					
薄	宕開一入鐸並	po42	po443	po33	ɓɔ42					
忙	宕開一平唐明	maŋ22	ɓoŋ24	maŋ22	mɔŋ22					
莫	宕開一入鐸明	mok5	ɓuok2	mok5	——					
膜	宕開一入鐸明	mɔ42	ɓo451	mo33	mɔ42					
摸	宕開一入鐸明	mɔ53	ɓo24	ma24	mɔ453					
索	宕開一入鐸心	ɬɔ53	so451	so453	ɬɔ453					
黨	宕開一上蕩端	taŋ31	toŋ451	taŋ41	ɗɔ ŋ31					
湯	宕開一平唐透	tʰoŋ33	tʰoŋ45	tʰo24	tʰoŋ33/tʰɔŋ33					
托	宕開一入鐸透	tʰok5	tʰok5	tʰok5	tʰɔ453/tʰɔk5					
堂	宕開一平唐定	tʰaŋ22	toŋ24	to22/tʰaŋ22（文）	tʰɔŋ22					
糖	宕開一平唐定	tʰoŋ22	tʰoŋ24	tʰo22	tʰoŋ22					
蕩	宕開一上蕩定	toŋ42	toŋ443	taŋ453	——					
郎	宕開一平唐來	laŋ22	loŋ24	laŋ22	loŋ22/lɔŋ22					
狼	宕開一平唐來	laŋ22	loŋ24	laŋ22	lɔŋ22					
浪	宕開一去宕來	laŋ42	loŋ24	laŋ453	loŋ33					
落	宕開一入鐸來	lɔ42	lo443	lo33/lak5（文）	lɔ42/lak5					
葬	宕開一去宕精	tsoŋ44	tsoŋ31	tsaŋ21	tɔŋ44					
作	宕開一入鐸精	tsok5	tsok5	tsok5	tɔk5					
倉	宕開一平唐清	tsʰoŋ33	tsʰoŋ45	tsʰo24/tsʰaŋ24（文）	soŋ33					
鑿	宕開一入鐸從	tsʰak2	tsʰak2	tsʰak5	tɔk2					
桑	宕開一平唐心	tsʰam22	soŋ45	suaŋ24	——					
鋼	宕開一平唐見	koŋ44	kɐŋ451	ko41	koŋ33					
各	宕開一入鐸見	kok5	kok5	kok5	kɔk5					
糠	宕開一平唐溪	kʰoŋ33	kʰoŋ45	kʰo24	kʰoŋ33					
抗	宕開一去宕溪	kʰaŋ44	kʰoŋ31	kʰaŋ21	kʰɔŋ44					
行銀～	宕開一平唐匣	oŋ22	haŋ24	haŋ22	hɔŋ22					
航	宕開一平唐匣	haŋ22	hoŋ31	haŋ22	hɔŋ22					
惡善～	宕開一入鐸影	ok5	ok5	ok5	ɔk5					
娘	宕開三平陽泥	niɛu22	niaŋ24	nio22/niaŋ24（文）	——					
涼	宕開三平陽來	liaŋ22/nia22	liaŋ24	lio22	niɔ22					
糧	宕開三平陽來	niɛu22	lyo24	lio22	niɔ22					
兩～個	宕開三上養來	nɔ42	no443	no33	nɔ42					
兩幾～	宕開三上養來	niŋ31	liu451	lio41	ȵiɔ42					
漿	宕開三平陽精	tsiŋ33/tsiɛu33	tsyo31	tsio24	——					
蔣	宕開三上養精	tsiaŋ31	tsyo451	tsiaŋ41	tsən31					
醬	宕開三去漾精	tsiŋ44	tsiaŋ31	tsio453	tsɔ44					
雀	宕開三入藥精	tsiɛu53	tsiak5	tsʰiok5	tsou31					
掠	宕開三入藥來	lia453	ɗia443	lia33（捉），lia453（拿）	——					
槍	宕開三平陽清	tsʰiŋ33	tsʰyo45	tsʰio24	sɔ33					
搶	宕開三上養清	tsʰiaŋ31	tsʰyo451	tsʰiaŋ41	kiap5					
牆	宕開三平陽從	tsʰiŋ22	tsʰyo24	tsʰio22	sɔ33					
箱	宕開三平陽心	ɬiŋ33	syo45	sio24	ɬiɔ33					
想	宕開三上養心	ɬiŋ42	siaŋ451	sio41	ɬiɔ31					
削	宕開三入藥心	ɬiap5	sia451	siak5	ɬiak5					
象	宕開三上養邪	tsʰiŋ42	tsiaŋ442	tsʰio33	tsən42					
像不～	宕開三上養邪	ɬiŋ44	tsʰiaŋ443	sio21/siaŋ21（文）	ɬiɔ42					
張	宕開三平陽知	tiŋ33	tyo45	tio24/tsiaŋ24（文）	ɗiɔ33/tsən33					
長生～	宕開三上養知	tsiaŋ31	tsiaŋ451	tsiaŋ41	tsən31					
帳	宕開三去漾知	tiŋ44	ta31	tio21	ɗiɔ44					
著穿～	宕開三入藥知	tsiak2	tyo443	tio33	——					
著睡～	宕開三入藥澄	tiɛu42	tyo443	ɬiak2	——					
長～短	宕開三平陽澄	toŋ22	lo31	to22	ɗoŋ22					
腸	宕開三平陽澄	toŋ22	toŋ24	to22	ɗoŋ22					
丈	宕開三上養澄	tiɛu42/tsiaŋ42	tsiaŋ443	to33	ɗiɔ33					
莊	宕開三平陽莊	tsoŋ33	tsoŋ45	tsuaŋ24	tɔŋ33					
壯	宕開三去漾莊	tsuaŋ44	tsoŋ31	tsʰuaŋ21	tɔŋ44					
