繁体字	简体字	国际音标	吴语拼音	备注		调类	调值							
省	省	sã44	san3	~份；节~。		3	44	s	an	s	ã		san3	sã44
省	省	siŋ44	sin3	反~。		3	44	s	in	s	iŋ		sin3	siŋ44
更	更	kã53	kan1	【白读】打~；夜半三~。		1	53	k	an	k	ã		kan1	kã53
更	更	kᴇ̃53	ken1	【文读】~改；~正；变~。		1	53	k	en	k	ᴇ̃		ken1	kᴇ̃53
更	更	kã423	kan5	【白读】		5	423	k	an	k	ã		kan5	kã423
更	更	kᴇ̃423	ken5	【文读】~加。		5	423	k	en	k	ᴇ̃		ken5	kᴇ̃423
羹	羹	kã53	kan1	【白读】~饭。		1	53	k	an	k	ã		kan1	kã53
羹	羹	kᴇ̃53	ken1	【文读】		1	53	k	en	k	ᴇ̃		ken1	kᴇ̃53
庚	庚	kã53	kan1			1	53	k	an	k	ã		kan1	kã53
粳	粳	kã53	kan1			1	53	k	an	k	ã		kan1	kã53
哽	哽	kã44	kan3			3	44	k	an	k	ã		kan3	kã44
梗	梗	kã44	kan3	【白读】		3	44	k	an	k	ã		kan3	kã44
梗	梗	kᴇ̃44	ken3	【文读】~概。		3	44	k	en	k	ᴇ̃		ken3	kᴇ̃44
坑	坑	kʰã53	khan1	【白读】~缸；~棚；粪~。		1	53	kh	an	kʰ	ã		khan1	kʰã53
坑	坑	kʰᴇ̃53	khen1	【文读】		1	53	kh	en	kʰ	ᴇ̃		khen1	kʰᴇ̃53
硬	硬	ŋã213	ngan6			6	213	ng	an	ŋ	ã		ngan6	ŋã213
杏	杏	ɦã31	ghan4			4	31	gh	an	ɦ	ã		ghan4	ɦã31
百	百	pɑʔ5	paq7			7	5	p	aq	p	ɑʔ		paq7	pɑʔ5
柏	柏	pɑʔ5	paq7			7	5	p	aq	p	ɑʔ		paq7	pɑʔ5
伯	伯	pɑʔ5	paq7			7	5	p	aq	p	ɑʔ		paq7	pɑʔ5
迫	迫	pʰɑʔ5	phaq7			7	5	ph	aq	pʰ	ɑʔ		phaq7	pʰɑʔ5
拍	拍	pʰɑʔ5	phaq7			7	5	ph	aq	pʰ	ɑʔ		phaq7	pʰɑʔ5
魄	魄	pʰɑʔ5	phaq7			7	5	ph	aq	pʰ	ɑʔ		phaq7	pʰɑʔ5
泊	泊	pʰɑʔ5	phaq7			7	5	ph	aq	pʰ	ɑʔ		phaq7	pʰɑʔ5
舶	舶	pʰɑʔ5	phaq7			7	5	ph	aq	pʰ	ɑʔ		phaq7	pʰɑʔ5
白	白	bɑʔ23	baq8			8	23	b	aq	b	ɑʔ		baq8	bɑʔ23
帛	帛	bɑʔ23	baq8			8	23	b	aq	b	ɑʔ		baq8	bɑʔ23
陌	陌	mɑʔ23	maq8			8	23	m	aq	m	ɑʔ		maq8	mɑʔ23
拆	拆	tsʰɑʔ5	tshaq7			7	5	tsh	aq	tsʰ	ɑʔ		tshaq7	tsʰɑʔ5
擇	择	dzᴇʔ23	dzeq8	【文读】		8	23	dz	eq	dz	ᴇʔ		dzeq8	dzᴇʔ23
澤	泽	zɑʔ23	zaq8	【白读】地名用字，本字为“宅”：崧~，金~，张~，盛~；古代湖泊通名：震~。		8	23	z	aq	z	ɑʔ		zaq8	zɑʔ23
澤	泽	dzᴇʔ23	dzeq8	【文读】沼~。		8	23	dz	eq	dz	ᴇʔ		dzeq8	dzᴇʔ23
宅	宅	zɑʔ23	zaq8			8	23	z	aq	z	ɑʔ		zaq8	zɑʔ23
格	格	kɑʔ5	kaq7			7	5	k	aq	k	ɑʔ		kaq7	kɑʔ5
客	客	kʰɑʔ5	khaq7			7	5	kh	aq	kʰ	ɑʔ		khaq7	kʰɑʔ5
額	额	ŋɑʔ23	ngaq8			8	23	ng	aq	ŋ	ɑʔ		ngaq8	ŋɑʔ23
嚇	吓	hɑʔ5	haq7			7	5	h	aq	h	ɑʔ		haq7	hɑʔ5
赫	赫	hɑʔ5	haq7	【白读】		7	5	h	aq	h	ɑʔ		haq7	hɑʔ5
赫	赫	hᴇʔ5	heq7	【文读】		7	5	h	eq	h	ᴇʔ		heq7	hᴇʔ5
棚	棚	bã24	ban2			2	24	b	an	b	ã		ban2	bã24
萌	萌	mã24	man2	【白读】		2	24	m	an	m	ã		man2	mã24
萌	萌	mᴇ̃24	men2	【文读】		2	24	m	en	m	ᴇ̃		men2	mᴇ̃24
爭	争	tsã53	tsan1	【白读】		1	53	ts	an	ts	ã		tsan1	tsã53
爭	争	tsᴇ̃53	tsen1	【文读】~夺；战~；竞~。		1	53	ts	en	ts	ᴇ̃		tsen1	tsᴇ̃53
睜	睁	tsã53	tsan1	眼睛~开。		1	53	ts	an	ts	ã		tsan1	tsã53
耕	耕	kã53	kan1	【白读】~田。		1	53	k	an	k	ã		kan1	kã53
耕	耕	kᴇ̃53	ken1	【文读】农~。		1	53	k	en	k	ᴇ̃		ken1	kᴇ̃53
耿	耿	kã44	kan3	【白读】姓。		3	44	k	an	k	ã		kan3	kã44
耿	耿	kᴇ̃44	ken3	【文读】~直。		3	44	k	en	k	ᴇ̃		ken3	kᴇ̃44
莖	茎	tɕiŋ53	cin1			1	53	c	in	tɕ	iŋ		cin1	tɕiŋ53
幸	幸	ɦiŋ31	yin4	【文读】		4	31	y	in	ɦ	iŋ		yin4	ɦiŋ31
櫻	樱	ã53	an1	【白读】~桃。		1	53		an		ã		an1	ã53
櫻	樱	iŋ53	in1	【文读】~花。		1	53		in		iŋ		in1	iŋ53
鶯	莺	iŋ53	in1	【文读】		1	53		in		iŋ		in1	iŋ53
麥	麦	mɑʔ23	maq8			8	23	m	aq	m	ɑʔ		maq8	mɑʔ23
脈	脉	mɑʔ23	maq8			8	23	m	aq	m	ɑʔ		maq8	mɑʔ23
摘	摘	tsɑʔ5	tsaq7			7	5	ts	aq	ts	ɑʔ		tsaq7	tsɑʔ5
責	责	tsᴇʔ5	tseq7	【文读】		7	5	ts	eq	ts	ᴇʔ		tseq7	tsᴇʔ5
策	策	tsʰɑʔ5	tshaq7			7	5	tsh	aq	tsʰ	ɑʔ		tshaq7	tsʰɑʔ5
冊	册	tsʰɑʔ5	tshaq7			7	5	tsh	aq	tsʰ	ɑʔ		tshaq7	tsʰɑʔ5
柵	栅	sɑʔ5	saq7			7	5	s	aq	s	ɑʔ		saq7	sɑʔ5
柵	栅	sæ53	sae1			1	53	s	ae	s	æ		sae1	sæ53
隔	隔	kɑʔ5	kaq7			7	5	k	aq	k	ɑʔ		kaq7	kɑʔ5
革	革	kɑʔ5	kaq7	【白读】~职。调节仪器，转台。		7	5	k	aq	k	ɑʔ		kaq7	kɑʔ5
革	革	kᴇʔ5	keq7	【文读】~命。		7	5	k	eq	k	ᴇʔ		keq7	kᴇʔ5
兵	兵	piŋ53	pin1			1	53	p	in	p	iŋ		pin1	piŋ53
丙	丙	piŋ44	pin3			3	44	p	in	p	iŋ		pin3	piŋ44
柄	柄	piŋ423	pin5			5	423	p	in	p	iŋ		pin5	piŋ423
平	平	biŋ24	bin2			2	24	b	in	b	iŋ		bin2	biŋ24
評	评	biŋ24	bin2			2	24	b	in	b	iŋ		bin2	biŋ24
病	病	biŋ213	bin6			6	213	b	in	b	iŋ		bin6	biŋ213
明	明	miŋ24	min2			2	24	m	in	m	iŋ		min2	miŋ24
明	明	mᴇ̃24	men2	~朝（明天）。		2	24	m	en	m	ᴇ̃		men2	mᴇ̃24
鳴	鸣	miŋ53	min1			1	53	m	in	m	iŋ		min1	miŋ53
盟	盟	mᴇ̃24	men2			2	24	m	en	m	ᴇ̃		men2	mᴇ̃24
命	命	miŋ213	min6			6	213	m	in	m	iŋ		min6	miŋ213
京	京	tɕiŋ53	cin1			1	53	c	in	tɕ	iŋ		cin1	tɕiŋ53
驚	惊	tɕiŋ53	cin1			1	53	c	in	tɕ	iŋ		cin1	tɕiŋ53
景	景	tɕiŋ44	cin3			3	44	c	in	tɕ	iŋ		cin3	tɕiŋ44
警	警	tɕiŋ44	cin3			3	44	c	in	tɕ	iŋ		cin3	tɕiŋ44
境	境	tɕiŋ423	cin5			5	423	c	in	tɕ	iŋ		cin5	tɕiŋ423
竟	竟	tɕiŋ423	cin5			5	423	c	in	tɕ	iŋ		cin5	tɕiŋ423
鏡	镜	tɕiŋ423	cin5			5	423	c	in	tɕ	iŋ		cin5	tɕiŋ423
敬	敬	tɕiŋ423	cin5			5	423	c	in	tɕ	iŋ		cin5	tɕiŋ423
卿	卿	tɕʰiŋ53	chin1			1	53	ch	in	tɕʰ	iŋ		chin1	tɕʰiŋ53
慶	庆	tɕʰiŋ423	chin5			5	423	ch	in	tɕʰ	iŋ		chin5	tɕʰiŋ423
競	竞	dʑiŋ213	jin6			6	213	j	in	dʑ	iŋ		jin6	dʑiŋ213
迎	迎	ȵiŋ24	gnin2			2	24	gn	in	ȵ	iŋ		gnin2	ȵiŋ24
英	英	iŋ53	in1			1	53		in		iŋ		in1	iŋ53
影	影	iŋ44	in3			3	44		in		iŋ		in3	iŋ44
碧	碧	piɪʔ5	piq7			7	5	p	iq	p	iɪʔ		piq7	piɪʔ5
劇	剧	dʑiɑʔ23	jiaq8			8	23	j	iaq	dʑ	iɑʔ		jiaq8	dʑiɑʔ23
屐	屐	dʑiɑʔ23	jiaq8			8	23	j	iaq	dʑ	iɑʔ		jiaq8	dʑiɑʔ23
逆	逆	ȵiɪʔ23	gniq8			8	23	gn	iq	ȵ	iɪʔ		gniq8	ȵiɪʔ23
虩	隙	ɕiɪʔ5	shiq7			7	5	sh	iq	ɕ	iɪʔ		shiq7	ɕiɪʔ5
餅	饼	piŋ44	pin3			3	44	p	in	p	iŋ		pin3	piŋ44
併	并	piŋ423	pin5	合~；~铁。		5	423	p	in	p	iŋ		pin5	piŋ423
并	并	piŋ53	pin1	~州。		1	53	p	in	p	iŋ		pin1	piŋ53
聘	聘	pʰiŋ423	phin5			5	423	ph	in	pʰ	iŋ		phin5	pʰiŋ423
名	名	miŋ24	min2			2	24	m	in	m	iŋ		min2	miŋ24
領	领	liŋ31	lin4			4	31	l	in	l	iŋ		lin4	liŋ31
嶺	岭	liŋ31	lin4			4	31	l	in	l	iŋ		lin4	liŋ31
令	令	liŋ213	lin6			6	213	l	in	l	iŋ		lin6	liŋ213
精	精	tsiŋ53	tsin1			1	53	ts	in	ts	iŋ		tsin1	tsiŋ53
晶	晶	tsiŋ53	tsin1			1	53	ts	in	ts	iŋ		tsin1	tsiŋ53
睛	睛	tsiŋ53	tsin1			1	53	ts	in	ts	iŋ		tsin1	tsiŋ53
井	井	tsiŋ44	tsin3			3	44	ts	in	ts	iŋ		tsin3	tsiŋ44
清	清	tsʰiŋ53	tshin1			1	53	tsh	in	tsʰ	iŋ		tshin1	tsʰiŋ53
請	请	tsʰiŋ44	tshin3			3	44	tsh	in	tsʰ	iŋ		tshin3	tsʰiŋ44
情	情	dziŋ24	dzin2			2	24	dz	in	dz	iŋ		dzin2	dziŋ24
晴	晴	dziŋ24	dzin2			2	24	dz	in	dz	iŋ		dzin2	dziŋ24
靜	静	dziŋ31	dzin4			4	31	dz	in	dz	iŋ		dzin4	dziŋ31
靖	靖	dziŋ31	dzin4			4	31	dz	in	dz	iŋ		dzin4	dziŋ31
淨	净	dziŋ213	dzin6			6	213	dz	in	dz	iŋ		dzin6	dziŋ213
性	性	siŋ423	sin5			5	423	s	in	s	iŋ		sin5	siŋ423
姓	姓	siŋ423	sin5			5	423	s	in	s	iŋ		sin5	siŋ423
貞	贞	tʂᴇ̃53	cen1			1	53	c	en	tʂ	ᴇ̃		cen1	tʂᴇ̃53
偵	侦	tʂᴇ̃53	cen1			1	53	c	en	tʂ	ᴇ̃		cen1	tʂᴇ̃53
逞	逞	tʂʰᴇ̃44	chen3			3	44	ch	en	tʂʰ	ᴇ̃		chen3	tʂʰᴇ̃44
騁	骋	tʂʰᴇ̃44	chen3			3	44	ch	en	tʂʰ	ᴇ̃		chen3	tʂʰᴇ̃44
呈	呈	dʐᴇ̃24	jen2			2	24	j	en	dʐ	ᴇ̃		jen2	dʐᴇ̃24
程	程	dʐᴇ̃24	jen2			2	24	j	en	dʐ	ᴇ̃		jen2	dʐᴇ̃24
鄭	郑	dʐᴇ̃24	jen2			2	24	j	en	dʐ	ᴇ̃		jen2	dʐᴇ̃24
正	正	tʂᴇ̃53	cen1	~月。		1	53	c	en	tʂ	ᴇ̃		cen1	tʂᴇ̃53
正	正	tsiŋ53	tsin1	~仪（江苏昆山地名）。		1	53	ts	in	ts	iŋ		tsin1	tsiŋ53
正	正	tʂᴇ̃423	cen5	公~。		5	423	c	en	tʂ	ᴇ̃		cen5	tʂᴇ̃423
徵	征	tʂᴇ̃53	cen1			1	53	c	en	tʂ	ᴇ̃		cen1	tʂᴇ̃53
整	整	tʂᴇ̃44	cen3			3	44	c	en	tʂ	ᴇ̃		cen3	tʂᴇ̃44
政	政	tʂᴇ̃423	cen5			5	423	c	en	tʂ	ᴇ̃		cen5	tʂᴇ̃423
聲	声	sã53	san1	【白读】响一~。		1	53	s	an	s	ã		san1	sã53
聲	声	ʂᴇ̃53	shen1	【文读】~音。		1	53	sh	en	ʂ	ᴇ̃		shen1	ʂᴇ̃53
聖	圣	ʂᴇ̃423	shen5			5	423	sh	en	ʂ	ᴇ̃		shen5	ʂᴇ̃423
成	成	ʐᴇ̃24	zhen2			2	24	zh	en	ʐ	ᴇ̃		zhen2	ʐᴇ̃24
城	城	zã24	zan2	【白读】巴~（江苏昆山地名）；摇~（江苏苏州地名）。		2	24	z	an	z	ã		zan2	zã24
城	城	ʐᴇ̃24	zhen2	【文读】~里；~市。		2	24	zh	en	ʐ	ᴇ̃		zhen2	ʐᴇ̃24
誠	诚	dʐᴇ̃24	jen2			2	24	j	en	dʐ	ᴇ̃		jen2	dʐᴇ̃24
盛	盛	zã213	zan6	【白读】姓。		6	213	z	an	z	ã		zan6	zã213
盛	盛	ʐᴇ̃213	zhen6	【文读】强~；茂~；~大。		6	213	zh	en	ʐ	ᴇ̃		zhen6	ʐᴇ̃213
盛	盛	ʐᴇ̃24	zhen2	~饭。		2	24	zh	en	ʐ	ᴇ̃		zhen2	ʐᴇ̃24
頸	颈	tɕiŋ44	cin3			3	44	c	in	tɕ	iŋ		cin3	tɕiŋ44
勁	劲	tɕiŋ423	cin5			5	423	c	in	tɕ	iŋ		cin5	tɕiŋ423
輕	轻	tɕʰiŋ53	chin1			1	53	ch	in	tɕʰ	iŋ		chin1	tɕʰiŋ53
嬰	婴	iŋ53	in1			1	53		in		iŋ		in1	iŋ53
盈	盈	ɦiŋ24	yin2			2	24	y	in	ɦ	iŋ		yin2	ɦiŋ24
贏	赢	ɦiŋ24	yin2			2	24	y	in	ɦ	iŋ		yin2	ɦiŋ24
璧	璧	piɪʔ5	piq7			7	5	p	iq	p	iɪʔ		piq7	piɪʔ5
僻	僻	pʰiɪʔ5	phiq7			7	5	ph	iq	pʰ	iɪʔ		phiq7	pʰiɪʔ5
闢	辟	pʰiɪʔ5	phiq7			7	5	ph	iq	pʰ	iɪʔ		phiq7	pʰiɪʔ5
積	积	tsiɪʔ5	tsiq7			7	5	ts	iq	ts	iɪʔ		tsiq7	tsiɪʔ5
跡	迹	tsiɪʔ5	tsiq7			7	5	ts	iq	ts	iɪʔ		tsiq7	tsiɪʔ5
脊	脊	tsiɪʔ5	tsiq7			7	5	ts	iq	ts	iɪʔ		tsiq7	tsiɪʔ5
惜	惜	siɪʔ5	siq7			7	5	s	iq	s	iɪʔ		siq7	siɪʔ5
昔	昔	siɪʔ5	siq7			7	5	s	iq	s	iɪʔ		siq7	siɪʔ5
夕	夕	dziɪʔ23	dziq8			8	23	dz	iq	dz	iɪʔ		dziq8	dziɪʔ23
席	席	dziɪʔ23	dziq8			8	23	dz	iq	dz	iɪʔ		dziq8	dziɪʔ23
尺	尺	tsʰɑʔ5	tshaq7			7	5	tsh	aq	tsʰ	ɑʔ		tshaq7	tsʰɑʔ5
赤	赤	tsʰɑʔ5	tshaq7			7	5	tsh	aq	tsʰ	ɑʔ		tshaq7	tsʰɑʔ5
適	适	ʂᴇʔ5	sheq7			7	5	sh	eq	ʂ	ᴇʔ		sheq7	ʂᴇʔ5
釋	释	ʂᴇʔ5	sheq7			7	5	sh	eq	ʂ	ᴇʔ		sheq7	ʂᴇʔ5
碩	硕	zɑʔ23	zaq8			8	23	z	aq	z	ɑʔ		zaq8	zɑʔ23
碩	硕	ʐᴇʔ23	zheq8	~望桥（江苏无锡地名，本名“十房桥”）。		8	23	zh	eq	ʐ	ᴇʔ		zheq8	ʐᴇʔ23
石	石	zɑʔ23	zaq8			8	23	z	aq	z	ɑʔ		zaq8	zɑʔ23
石	石	tæ423	tae5	容积单位。		5	423	t	ae	t	æ		tae5	tæ423
擲	掷	zɑʔ23	zaq8			8	23	z	aq	z	ɑʔ		zaq8	zɑʔ23
益	益	iɪʔ5	iq7			7	5		iq		iɪʔ		iq7	iɪʔ5
譯	译	ɦiɪʔ23	yiq8			8	23	y	iq	ɦ	iɪʔ		yiq8	ɦiɪʔ23
易	易	ɦiɪʔ23	yiq8	交~。		8	23	y	iq	ɦ	iɪʔ		yiq8	ɦiɪʔ23
液	液	ɦiɪʔ23	yiq8			8	23	y	iq	ɦ	iɪʔ		yiq8	ɦiɪʔ23
拼	拼	pʰiŋ53	phin1			1	53	ph	in	pʰ	iŋ		phin1	pʰiŋ53
姘	姘	pʰiŋ53	phin1			1	53	ph	in	pʰ	iŋ		phin1	pʰiŋ53
瓶	瓶	biŋ24	bin2			2	24	b	in	b	iŋ		bin2	biŋ24
萍	萍	biŋ24	bin2			2	24	b	in	b	iŋ		bin2	biŋ24
並	并	biŋ31	bin4	~且；~列；~排。		4	31	b	in	b	iŋ		bin4	biŋ31
銘	铭	miŋ24	min2			2	24	m	in	m	iŋ		min2	miŋ24
丁	丁	tiŋ53	tin1			1	53	t	in	t	iŋ		tin1	tiŋ53
釘	钉	tiŋ53	tin1			1	53	t	in	t	iŋ		tin1	tiŋ53
頂	顶	tiŋ44	tin3			3	44	t	in	t	iŋ		tin3	tiŋ44
訂	订	tiŋ423	tin5			5	423	t	in	t	iŋ		tin5	tiŋ423
聽	听	tʰiŋ53	thin1			1	53	th	in	tʰ	iŋ		thin1	tʰiŋ53
聽	听	tʰiŋ423	thin5			5	423	th	in	tʰ	iŋ		thin5	tʰiŋ423
廳	厅	tʰiŋ53	thin1			1	53	th	in	tʰ	iŋ		thin1	tʰiŋ53
亭	亭	diŋ24	din2			2	24	d	in	d	iŋ		din2	diŋ24
停	停	diŋ24	din2			2	24	d	in	d	iŋ		din2	diŋ24
庭	庭	diŋ24	din2			2	24	d	in	d	iŋ		din2	diŋ24
艇	艇	tʰiŋ44	thin3			3	44	th	in	tʰ	iŋ		thin3	tʰiŋ44
挺	挺	tʰiŋ44	thin3			3	44	th	in	tʰ	iŋ		thin3	tʰiŋ44
定	定	diŋ213	din6			6	213	d	in	d	iŋ		din6	diŋ213
寧	宁	ȵiŋ24	gnin2			2	24	gn	in	ȵ	iŋ		gnin2	ȵiŋ24
靈	灵	liŋ24	lin2			2	24	l	in	l	iŋ		lin2	liŋ24
鈴	铃	liŋ24	lin2			2	24	l	in	l	iŋ		lin2	liŋ24
零	零	liŋ24	lin2			2	24	l	in	l	iŋ		lin2	liŋ24
另	另	liŋ213	lin6			6	213	l	in	l	iŋ		lin6	liŋ213
拎	拎	liŋ53	lin1			1	53	l	in	l	iŋ		lin1	liŋ53
青	青	tsʰiŋ53	tshin1			1	53	tsh	in	tsʰ	iŋ		tshin1	tsʰiŋ53
星	星	siŋ53	sin1			1	53	s	in	s	iŋ		sin1	siŋ53
猩	猩	siŋ53	sin1			1	53	s	in	s	iŋ		sin1	siŋ53
腥	腥	siŋ53	sin1			1	53	s	in	s	iŋ		sin1	siŋ53
醒	醒	siŋ44	sin3			3	44	s	in	s	iŋ		sin3	siŋ44
經	经	tɕiŋ53	cin1			1	53	c	in	tɕ	iŋ		cin1	tɕiŋ53
形	形	ɦiŋ24	yin2			2	24	y	in	ɦ	iŋ		yin2	ɦiŋ24
刑	刑	ɦiŋ24	yin2			2	24	y	in	ɦ	iŋ		yin2	ɦiŋ24
型	型	ɦiŋ24	yin2			2	24	y	in	ɦ	iŋ		yin2	ɦiŋ24
壁	壁	piɪʔ5	piq7			7	5	p	iq	p	iɪʔ		piq7	piɪʔ5
劈	劈	pʰiɪʔ5	phiq7			7	5	ph	iq	pʰ	iɪʔ		phiq7	pʰiɪʔ5
覓	觅	miɪʔ23	miq8			8	23	m	iq	m	iɪʔ		miq8	miɪʔ23
滴	滴	tiɪʔ5	tiq7			7	5	t	iq	t	iɪʔ		tiq7	tiɪʔ5
的	的	tiɪʔ5	tiq7			7	5	t	iq	t	iɪʔ		tiq7	tiɪʔ5
踢	踢	tʰiɪʔ5	thiq7			7	5	th	iq	tʰ	iɪʔ		thiq7	tʰiɪʔ5
剔	剔	tʰiɪʔ5	thiq7			7	5	th	iq	tʰ	iɪʔ		thiq7	tʰiɪʔ5
敵	敌	diɪʔ23	diq8			8	23	d	iq	d	iɪʔ		diq8	diɪʔ23
笛	笛	diɪʔ23	diq8			8	23	d	iq	d	iɪʔ		diq8	diɪʔ23
糴	糴	diɪʔ23	diq8			8	23	d	iq	d	iɪʔ		diq8	diɪʔ23
歷	历	liɪʔ23	liq8			8	23	l	iq	l	iɪʔ		liq8	liɪʔ23
績	绩	tsiɪʔ5	tsiq7			7	5	ts	iq	ts	iɪʔ		tsiq7	tsiɪʔ5
戚	戚	tsʰiɪʔ5	tshiq7			7	5	tsh	iq	tsʰ	iɪʔ		tshiq7	tsʰiɪʔ5
析	析	siɪʔ5	siq7			7	5	s	iq	s	iɪʔ		siq7	siɪʔ5
錫	锡	siɪʔ5	siq7			7	5	s	iq	s	iɪʔ		siq7	siɪʔ5
蜥	蜥	siɪʔ5	siq7			7	5	s	iq	s	iɪʔ		siq7	siɪʔ5
蜴	蜴	ɦiɪʔ23	yiq8			8	23	y	iq	ɦ	iɪʔ		yiq8	ɦiɪʔ23
激	激	tɕiɪʔ5	ciq7			7	5	c	iq	tɕ	iɪʔ		ciq7	tɕiɪʔ5
擊	击	tɕiɪʔ5	ciq7			7	5	c	iq	tɕ	iɪʔ		ciq7	tɕiɪʔ5
喫	吃	tɕʰiɪʔ5	chiq7	~饭。		7	5	ch	iq	tɕʰ	iɪʔ		chiq7	tɕʰiɪʔ5
吃	吃	tɕʰiɪʔ5	chiq7	口~。		7	5	ch	iq	tɕʰ	iɪʔ		chiq7	tɕʰiɪʔ5
礦	矿	kʰuɒ̃423	khuaon5			5	423	kh	uaon	kʰ	uɒ̃		khuaon5	kʰuɒ̃423
橫	横	ɦuã24	wan2			2	24	w	an	ɦ	uã		wan2	ɦuã24
橫	横	ɦuɒ̃24	waon2	~山（江苏苏州地名，太湖岛屿）。		2	24	w	aon	ɦ	uɒ̃		waon2	ɦuɒ̃24
轟	轰	hoŋ53	hon1	【文读】		1	53	h	on	h	oŋ		hon1	hoŋ53
轟	轰	huã53	huan1	【白读】		1	53	h	uan	h	uã		huan1	huã53
宏	宏	ɦoŋ24	ghon2			2	24	gh	on	ɦ	oŋ		ghon2	ɦoŋ24
觥	觥	koŋ53	kon1			1	53	k	on	k	oŋ		kon1	koŋ53
奣	奣	kuɒ̃44	kuaon3	~子（江苏昆山地名）。		3	44	k	uaon	k	uɒ̃		kuaon3	kuɒ̃44
獲	获	ɦuoʔ23	woq8			8	23	w	oq	ɦ	uoʔ		woq8	ɦuoʔ23
劃	划	ɦuɑʔ23	waq8	计~；~一刀。		8	23	w	aq	ɦ	uɑʔ		waq8	ɦuɑʔ23
摑	掴	kuɑʔ5	kuaq7			7	5	k	uaq	k	uɑʔ		kuaq7	kuɑʔ5
兄	兄	ɕioŋ53	shion1			1	53	sh	ion	ɕ	ioŋ		shion1	ɕioŋ53
榮	荣	ɦioŋ24	yon2			2	24	y	on	ɦ	ioŋ		yon2	ɦioŋ24
永	永	ioŋ44	ion3			3	44		ion		ioŋ		ion3	ioŋ44
泳	泳	ioŋ44	ion3			3	44		ion		ioŋ		ion3	ioŋ44
詠	咏	ioŋ44	ion3			3	44		ion		ioŋ		ion3	ioŋ44
傾	倾	tɕʰiŋ53	chin1			1	53	ch	in	tɕʰ	iŋ		chin1	tɕʰiŋ53
頃	顷	tɕʰiŋ44	chin3			3	44	ch	in	tɕʰ	iŋ		chin3	tɕʰiŋ44
瓊	琼	dʑioŋ24	jion2			2	24	j	ion	dʑ	ioŋ		jion2	dʑioŋ24
營	营	ɦioŋ24	yon2			2	24	y	on	ɦ	ioŋ		yon2	ɦioŋ24
疫	疫	ɦioʔ23	yoq8			8	23	y	oq	ɦ	ioʔ		yoq8	ɦioʔ23
役	役	ɦioʔ23	yoq8			8	23	y	oq	ɦ	ioʔ		yoq8	ɦioʔ23
螢	萤	ɦioŋ24	yon2			2	24	y	on	ɦ	ioŋ		yon2	ɦioŋ24
瑩	莹	ɦioŋ24	yon2			2	24	y	on	ɦ	ioŋ		yon2	ɦioŋ24
熒	荧	ɦioŋ24	yon2			2	24	y	on	ɦ	ioŋ		yon2	ɦioŋ24
憬	憬	tɕioŋ44	cion3			3	44	c	ion	tɕ	ioŋ		cion3	tɕioŋ44
篷	篷	boŋ24	bon2			2	24	b	on	b	oŋ		bon2	boŋ24
蓬	蓬	boŋ24	bon2			2	24	b	on	b	oŋ		bon2	boŋ24
蒙	蒙	moŋ24	mon2			2	24	m	on	m	oŋ		mon2	moŋ24
東	东	toŋ53	ton1			1	53	t	on	t	oŋ		ton1	toŋ53
董	董	toŋ44	ton3			3	44	t	on	t	oŋ		ton3	toŋ44
懂	懂	toŋ44	ton3			3	44	t	on	t	oŋ		ton3	toŋ44
凍	冻	toŋ423	ton5			5	423	t	on	t	oŋ		ton5	toŋ423
棟	栋	toŋ423	ton5			5	423	t	on	t	oŋ		ton5	toŋ423
通	通	tʰoŋ53	thon1			1	53	th	on	tʰ	oŋ		thon1	tʰoŋ53
桶	桶	doŋ31	don4			4	31	d	on	d	oŋ		don4	doŋ31
痛	痛	tʰoŋ423	thon5			5	423	th	on	tʰ	oŋ		thon5	tʰoŋ423
同	同	doŋ24	don2			2	24	d	on	d	oŋ		don2	doŋ24
銅	铜	doŋ24	don2			2	24	d	on	d	oŋ		don2	doŋ24
童	童	doŋ24	don2			2	24	d	on	d	oŋ		don2	doŋ24
動	动	doŋ31	don4			4	31	d	on	d	oŋ		don4	doŋ31
洞	洞	doŋ213	don6			6	213	d	on	d	oŋ		don6	doŋ213
籠	笼	loŋ24	lon2			2	24	l	on	l	oŋ		lon2	loŋ24
聾	聋	loŋ24	lon2			2	24	l	on	l	oŋ		lon2	loŋ24
攏	拢	loŋ31	lon4			4	31	l	on	l	oŋ		lon4	loŋ31
弄	弄	loŋ213	lon6			6	213	l	on	l	oŋ		lon6	loŋ213
總	总	tsoŋ44	tson3			3	44	ts	on	ts	oŋ		tson3	tsoŋ44
粽	粽	tsoŋ423	tson5			5	423	ts	on	ts	oŋ		tson5	tsoŋ423
聰	聪	tsʰoŋ53	tshon1			1	53	tsh	on	tsʰ	oŋ		tshon1	tsʰoŋ53
蔥	葱	tsʰoŋ53	tshon1			1	53	tsh	on	tsʰ	oŋ		tshon1	tsʰoŋ53
囪	囱	tsʰoŋ53	tshon1			1	53	tsh	on	tsʰ	oŋ		tshon1	tsʰoŋ53
叢	丛	dzoŋ24	dzon2			2	24	dz	on	dz	oŋ		dzon2	dzoŋ24
送	送	soŋ423	son5			5	423	s	on	s	oŋ		son5	soŋ423
公	公	koŋ53	kon1			1	53	k	on	k	oŋ		kon1	koŋ53
工	工	koŋ53	kon1			1	53	k	on	k	oŋ		kon1	koŋ53
功	功	koŋ53	kon1			1	53	k	on	k	oŋ		kon1	koŋ53
