k	①剛鋼崗缸肛岡罡杠豇項｛頸~丨又｝③港𥨐｛北鄉丨剜土也｝㽘梗｛田~丨有疑｝⑤杠｛又音｝虹｛白讀｝行｛~路丨有疑｝項｛頸~｝巷｛~䆡｝橫｛~衝丨魯莽貌｝						
kʰ	①康糠粇｛同「糠」｝穅㝩②昂｛~頭｝扛③慷⑤炕囥｛藏也｝阬亢抗粇						
x	①夯｛䂫俗字｝□｛呼氣貌｝哼｛俗字丨~聲｝②杭行｛排~｝航⑤沆巷｛白讀｝衖｛通「巷」｝						
ŋ	①骯｛北鄉｝②昂｛北鄉｝③□｛緩燃｝						
ʔ	①骯②昂｛文丨~貴｝⑤盎						
ts	①髒臧奘贓⑤葬臟藏｛西~｝						
tsʰ	①倉蒼滄傖②藏⑤錯｛摩之急也丨字有疑｝						
s	①桑喪｛~葬｝③嗓⑤喪｛~失｝						
z	①裳｛衣也丨衣裳合音丨東、南、北鄉｝						
tʃ	①張章漳樟璋彰暲蟑③長｛成~｝掌漲丈｛老~｝⑤丈｛~人｝仗杖脹障瘴帳賬尚｛和~｝						
tʃʰ	①猖昌墒｛西鄉城關丨訓丨菜地也｝倀②長｛~江｝嫦常腸徜嘗裳場③廠場｛新音丨廣~｝敞昶氅⑤倡唱悵暢						
ʃ	①傷商殤墒｛訓丨菜地也｝熵②償｛白讀｝嘗｛白讀｝③賞償｛又音丨白讀｝⑤上尚｛崇~｝						
ʒ	①裳｛西鄉城關丨衣也丨合音字｝②穣瓤③嚷壤釀｛又音｝⑤讓						
#uɒ̃							
k	①光胱②狂｛變調丨不明本調｝③廣獷鄺｛姓｝⑤光｛動詞｝逛						
kʰ	①框眶筐匡邼誆②狂｛~妄｝⑤曠況礦						
x	①荒肓慌②黃皇隍簧徨蝗凰癀煌遑璜惶蟥獚③晃｛又音｝幌恍謊⑤衁｛血凝也｝晃						
tʃ	①裝樁莊妝⑤撞｛~人｝壮幢状						
tʃʰ	①窗牎｛窗也｝瘡創｛~傷｝②床｛牀俗字｝牀｛俗字床｝撞｛~動｝③闖⑤創｛~造｝撞｛又音｝						
ʃ	①雙霜墒｛訓丨菜地也丨西鄉音｝孀礵③爽						
	①汪②王亡忘③枉罔網惘魍往㳹⑤忘｛又音｝望妄旺						
#iɒ̃							
ȵ	②孃娘亮梁量｛動詞｝良糧粱③兩｛斤~｝魎仰⑤亮量｛重~｝輛諒晾踉釀						
tɕ	①江姜薑將疆畺繮僵殭漿③講獎蔣槳⑤降｛~落｝犟勥虹｛西鄉｝糨酱將｛~帥｝匠像｛就~，~那樣｝						
tɕʰ	①腔槍羌嗆鏘蹌②強墻薔嬙檣詳祥翔降｛投~｝庠藏｛西鄉城關南鄉｝③搶彊⑤戧像｛又音丨老~丨存疑丨或為「相」｝						
ɕ	①香鄉湘箱鑲廂相｛~互｝②降｛~人｝③想嚮享｛「亨」俗字｝亨｛俗字「享」｝鮝｛蘿蔔~｝餉⑤向像｛~樣｝象項巷相｛~親｝橡						
j	①秧央殃泱鴦䬬｛飽食也｝②佯羊陽煬揚楊洋徉瘍③癢養痒氧鞅｛商~｝⑤樣漾恙映｛又音丨~藍紙｝烊｛打~丨本字煬｝						
#ən							
p	①奔｛~跑｝崩繃犇③本畚⑤笨迸奔｛~小康丨僅一用｝						
pʰ	①噴烹｛「亨」俗字｝抨亨｛俗字「烹」丨煑也｝②盆湓朋⑤噴｛~香｝掽｛俗字「碰」｝碰｛「掽」俗字｝						
mᵇ	①悶｛性緩而默也｝捫②明｛~年｝門萌⑤悶｛煩~｝燜孟｛姓｝懣						
f	①分紛氛芬②馮｛姓｝焚墳汾③粉⑤憤份奮忿糞						
t	①蹲｛今音｝墩敦惇礅登竳箏｛口語破讀？｝燈蹬③等囤｛~斷丨俗字「躉」｝躉｛「囤」分字｝斷｛打~｝⑤扽凳盾頓澄｛~清｝得｛西鄉城關丨曉~｝燉鄧沉｛沈俗字｝沈｛~水鹼｝						
tʰ	①吞②屯臀豚騰疼藤謄⑤褪						
l	②能棱輪倫侖③冷暖｛~和｝⑤楞論嫩						
k	①跟根更｛三~天｝耕羹賡庚莖｛白讀｝筋｛~斗｝③頸｛白讀｝痕｛印跡也｝埂耿鯁骾｛喉塞物也｝梗粳⑤更｛~加｝亙						
kʰ	①錹｛俯首也｝坑鏗③肯齦｛俗字啃｝懇墾⑤掯搇｛按捺也｝						
x	①哼｛「訇」俗字｝亨訇｛俗字「哼」｝②恆衡痕蘅③很狠｛[很]俗字｝⑤恨						
ŋ	①恩｛北鄉｝櫻｛又｝②櫻｛北鄉｝⑤硬｛北鄉｝						
ts	①爭箏睜增曾｛姓｝憎尊遵臻鐏⑤贈掙｛新字丨分化自「爭」｝						
tsʰ	①皴𩞦｛飽食也｝村參｛~差不齊｝邨｛俗字村｝撐｛橕俗字｝牚｛又音｝瞠②岑曾｛~經｝存層蹲｛白讀｝③忖碜｛食有砂｝墋⑤寸蹭橕｛桌~丨又可「牚」或「樘」｝牚						
s	①生孫猻參｛人~｝僧牲笙甥森燊③損隼省筍瘮瘆｛瘮俗字｝⑤滲遜						
tʃ	①真針甄珍貞禎偵箴征正｛~月｝徵稹診怔蒸③縝整懲枕｛~頭｝抮診｛又音｝拯⑤鎮陣朕震振正｛~式｝枕｛動詞｝賑政証䟴症證鄭圳｛深~｝						
tʃʰ	①稱｛~重｝伸郴抻琛深｛西鄉城關｝②纏｛盤~｝盛｛~飯｝臣陳塵成誠城呈承丞懲｛北鄉｝沉｛沈俗字｝諶忱乘｛~法｝③騁⑤趁稱｛~心丨俗字「秤」｝						
ʃ	①身升昇申紳聲深｛東鄉｝娠②晨辰宸神繩③審沈嬸瀋｛地名丨~陽｝⑤乘｛馬車也｝勝甚蜃腎慎晟聖剩嵊｛地名丨~泗｝盛｛~大｝						
ʒ	①恩②櫻｛白讀｝仍人壬礽③忍仍｛又音｝軟｛西鄉城關｝阮｛姓丨西鄉城關｝⑤硬任認韌閏｛白讀｝刃妊紉潤						
#uən							
k	①□｛高~｝③滾袞輥鯀磙｛「輥」俗字丨石~｝緄⑤棍						
kʰ	①坤堃昆鯤琨③捆⑤困睏						
x	①昏惛婚葷②魂渾橫｛三十埠又文讀｝餛③混⑤混｛~日子｝鯶｛魚名｝茴｛古城｝						
tʃ	③準准						
tʃʰ	①春椿②醇脣｛又音｝淳鶉③蠢						
ʃ	②唇｛「脣」俗字｝純䣩｛~酒｝脣｛白｝③吮⑤瞬舜順｛文讀｝						
ʒ	⑤潤｛文讀｝						
	①瘟溫②文蚊紋玟雯聞③抆｛拭也｝吻穩揾刎紊⑤問汶						
#iən							
p	①冰兵賓彬并｛地名：~州｝邠斌殯鬢③餅丙屏｛~住｝柄秉稟⑤病併并柄						
pʰ	①拼姘娉乒｛新字｝②貧坪平萍瓶頻屏評凭嬪憑③品併｛相~｝評｛又音丨或為變調｝⑤娉聘						
mᵇ	②萌｛白讀｝民明名鳴㟭冥茗銘瞑旻岷螟酩暝③吻｛~嘴｝䐇｛~合｝脗憫皿抿閩銘｛西鄉舊音｝盟⑤命						
t	①□｛擲物丨今俗字「掟」｝釘丁町③鼎頂酊⑤定釘｛動詞｝訂錠打｛白讀丨擊也丨有疑｝						
tʰ	①聽廳汀②停蜓廷庭亭婷霆③挺艇⑤聽｛~牌｝						
ȵ	①拎②林吟{又}琳霖磷麟鄰鱗獰臨璘粼膦嶙隣零靈齡凌陵伶翎聆綾菱苓羚囹令｛姓氏：~狐｝蛉寧｛~靜｝凝淋粦③凜嶺｛山~｝領岭｛深山也｝⑤賃另寧｛~可｝佞甯吝藺｛姓｝躪						
tɕ	①金今斤荊莖晶精兢涇驚睛腈鯨京經津筋巾靳矜襟妗③景盡｛縱也敬也｝警頸緊僅謹井旌憬阱錦瑾⑤覲盡｛~力｝徑境進近晉燼縉禁浸敬莖｛又音｝靖盡｛又音｝鏡淨竟競脛境勁靜						
tɕʰ	①親欽侵浸｛又音｝清輕卿氫𡄔｛長聲叫也｝青蜻氰衾②情晴𡄔｛又音丨長聲叫也｝黥琴擒禽芹勤秦擎尋③請寢⑤凊親｛~家｝罄慶磬沁						
ɕ	①心新鑫欣芯辛昕薪馨鋅歆莘星興｛作~｝腥惺猩②行｛~人｝刑邢型形尋｛又音｝③醒省｛反~｝⑤衅釁｛通「衅」｝信興｛~趣｝幸杏訊汛迅性姓						
j	①因音陰喑湮茵氤殷英瑛英媖鸚櫻｛文讀｝嬰應｛~該｝纓②蠅｛~子｝夤迎盈飲｛~湯丨米湯｝嬴楹螢淫吟狺銀垠瑩③影隱癮郢飲㱃｛同飲｝引潁穎｛人名｝蚓⑤映暎應｛答~｝飲｛給飲｝胤印蔭						
#yən							
tɕ	①俊軍君均鈞肫｛鳥禽臟也丨胃臟｝諄③菌窘炅炯⑤駿俊郡峻竣						
tɕʰ	①傾｛又音｝②瓊傾｛《安徽肥東古城方言同音字彙》載｝裙煢羣脣｛白丨又｝③頃傾						
ɕ	①薰熏醺勲｛勛也｝勛燻□｛灑也｝②詢峋旬殉巡循荀脣｛白讀｝⑤順｛白讀｝迅｛又音｝訓馴殉						
j	①赟緼氳蘊暈｛延誤丨有疑｝②榮｛又音｝營雲筠匀云芸紜耘③隕允狁殞尹｛姓｝永詠泳潁穎⑤暈運醞韻慍潤｛白讀｝熨｛~斗｝蘊						
#əŋ							
p	①般｛西鄉音丨一~大｝搬｛西鄉｝⑤蹦半｛西鄉｝伴｛西鄉｝秚｛西鄉丨俗字「拌」丨物相和也｝絆｛西鄉｝埲｛又音｝						
pʰ	①抨｛又音｝潘｛西鄉｝番｛西鄉｝②鵬朋｛俗訛｝彭盤｛西鄉｝蟠｛西鄉｝磐｛西鄉｝蹣｛西鄉｝棚蓬芃③捧埲⑤掽｛又音｝畔｛西鄉｝叛｛西鄉｝判｛西鄉｝						
mᵇ	①漫｛西鄉音丨~水｝②謀｛白讀｝眸｛白讀｝蒙懵𤾬｛浮醭也丨起~｝瞞｛西鄉｝鞔｛西鄉｝饅｛西鄉｝鳗｛西鄉｝③姥牡螨｛西鄉｝滿｛西鄉｝猛母｛白讀｝畞｛白讀｝畝｛白讀丨畞俗字｝⑤夢茂｛白讀｝貿｛白讀｝鰻｛西鄉｝幔｛西鄉｝蔓｛西鄉｝謾｛西鄉｝漫｛西鄉丨~水｝曼｛西鄉｝鳗｛西鄉｝𤾬｛又平聲｝孟｛又音｝						
f	①風封瘋峰峯豐丰楓鋒蜂諷烽酆②馮｛又音｝逢縫⑤俸鳳奉縫｛~隙｝						
t	①東冬③懂｛~住丨惘也｝董⑤動凍洞胴棟						
tʰ	①通②曈同童彤桐佟酮③捅桶筒動{平移}統⑤痛恸						
l	①齈｛鼻塞｝②龍聾農□｛聚力也；怒聲也｝儂膿濃隆窿礱｛磨穀為~｝朧瀧癃穠躘｛~現不便｝籠③隴壟攏儱⑤弄						
k	①工弓公攻功龔恭蚣躬宮肱供③汞鞏𥨐｛剜土也｝𠞖｛通𥨐｝巩拱⑤共貢供｛上~｝						
kʰ	①空｛~氣｝崆箜穹③孔恐⑤控空｛~位｝						
x	①烘薨轟②紅洪鴻宏虹｛文丨彩~｝弘蕻谼③叿｛俗字丨本字不定｝⑤訌巷｛西鄉｝衖｛通「巷」丨地名在合淝｝						
ŋ	①翁｛北鄉｝蕹｛北鄉丨~菜｝⑤甕｛北鄉｝						
ʔ	①翁嗡齆｛鼻塞也｝蕹｛又音｝⑤甕						
ts	①綜宗蹤鬃樅棕③總⑤縱粽樅｛訛｝						
tsʰ	①蔥葱聰匆驄②叢琮從崇重｛~複｝						
s	①鬆松嵩②□｛怯弱也無力也丨俗字「㞞」丨本字疑為「雄」｝③㩳｛~人｝慫聳悚⑤送頌誦宋訟						
tʃ	①中｛~間｝忠終鍾衷盅③腫踵冢種｛~子｝喠｛急喫也｝踵⑤種｛動詞｝中｛~獎｝重｛~量｝眾仲						
tʃʰ	①衝｛~鋒｝充憧忡②蟲沖重｛又音｝③寵⑤衝｛嚇人也｝銃						
ʒ	②戎｛又｝絨｛又｝茸③冗宂｛~餘｝						
#iəŋ							
tɕʰ	②窮						
ɕ	①兇兄胷胸洶②詾｛怒喝｝雄｛文丨英~｝熊						
j	①雍邕臃鳙傭②容榮蓉絨戎庸雄｛白丨雞~｝③庸勇擁湧甬蛹俑⑤用						
#ɐ							
tʰ	①他｛肥東大部｝						
s	⑤三｛~爺丨前字陰平變調去聲｝						
l	⑤爛｛拆~污｝						
k	⑤乾｛~爺丨前字陰平變調去聲｝						
ʔ	⑤下｛弱讀｝						
#ə							
ʔ	⑤下｛弱讀丨又｝						
#ɐʔ							
p	⑦八｛北鄉西鄉南鄉｝拔雹蔔白拜擘薄撥髪｛頭~｝搏博剝缽帛柏播駁伯膊箔渤｛新｝鉑亳跋縛						
pʰ	⑦舶箔迫潑魄帕泊珀叵朴｛姓｝						
mᵇ	⑦眽摸末沫抹沒｛又｝陌莫墨幕歿模嫫默寞茉脈麥□｛「諸問也丨同通語「甚麼」丨又音mᵇəʔ｝拇｛促化｝漠膜						
f	⑦髮發法罰伐乏閥筏砝						
t	⑦得德達答搭靼妲瘩奪鐸掇沰度咄踏嗒｛舐也｝撘耷忒｛忑本字｝忑｛本字忒｝						
tʰ	⑦塔塌蹋㿹沓撻㯓特拓托脫						
l	⑦辣落蠟臘邋納捺衲鈉訥勒肋樂洛絡駱搦雒酪拉｛~颯丨穢也｝□｛在也，至也｝若｛遠指｝						
k	⑦合佮｛源自「合」｝擱｛「閤」分化字｝葛角匣割戛夾｛白丨~縫｝格甲｛白丨馬~｝隔革膈硌鉻鎘蛤嗝骼蓋｛姓｝						
kʰ	⑦克客刻渴殼磕搕氪瞌欬｛~瘶｝嗑						
x	⑦瞎｛白讀｝嚇盒喝赫劾合郃閡霍｛地名丨~山｝核壑涸褐欱｛飲也｝						
ŋ	⑦額｛北鄉｝遏｛北鄉｝惡｛北鄉｝扼｛北鄉｝鱷｛北鄉｝顎｛北鄉｝鄂｛北鄉｝						
ʔ	⑦惡｛又音｝扼鱷顎鄂						
ts	⑦砸｛㩵俗字｝雜匝昨｛舊｝翟｛又音丨姓｝窄宅摘側｛又音｝賊｛舊｝責仄澤擇昃作嘬酢撮｛一~毛｝						
tsʰ	⑦擦測冊側廁｛訛音｝策惻㩍柵撮逪拆｛「𡍩」俗字｝𡍩｛俗字「拆」｝澤｛又｝擇｛又｝賊｛舊丨又｝						
s	⑦色塞嗇澀瑟穡薩撒靸颯索箾｛以竿擊人｝嗍虱剎｛~車丨有疑｝						
tʃ	⑦蜇｛驚~｝煠閘｛「牐」俗字｝牐眨側｛西鄉城關丨~棱｝扎蚱喋哲折喆浙轍						
tʃʰ	⑦插察撤澈徹掣刹｛羅~｝						
ʃ	⑦殺煞霎歃設舌折攝涉						
ʒ	⑦額遏惡顎鄂熱						
#uɐʔ							
t	⑦奪｛西鄉城關｝鐸｛西鄉城關｝掇｛西鄉城關｝沰｛西鄉城關｝度｛西鄉城關｝咄｛西鄉城關｝						
tʰ	⑦拓｛西鄉城關｝托｛西鄉城關｝脫｛西鄉城關｝						
l	⑦落｛西鄉城關｝樂｛西鄉城關｝洛｛西鄉城關｝絡｛西鄉城關｝駱｛西鄉城關｝搦｛西鄉城關｝雒｛西鄉城關｝酪｛西鄉城關｝						
k	⑦國聒郭摑蟈刮剮括鴰幗虢撅｛白讀｝钁｛白讀｝						
kʰ	⑦擴闊廓						
x	⑦霍｛姓｝惑或活和｛暖~｝豁						
ts	⑦作｛西鄉城關｝嘬｛西鄉城關｝酢｛西鄉城關｝撮｛西鄉城關丨一~毛｝昨｛舊丨西鄉城關｝						
tsʰ	⑦撮｛西鄉城關｝						
s	⑦箾｛又音｝索｛西鄉城關｝嗍｛又音｝						
tʃ	⑦桌濁著｛~火｝鐲啄｛文讀｝捉桌擢拙酌輟｛~學｝						
tʃʰ	⑦戳齪綽啜						
ʃ	⑦刷朔勺碩爍說槊摔｛有疑｝						
ʒ	⑦噦惡｛南鄉西鄉｝熱｛長臨六家畈音｝弱箬篛若						
	⑦挖｛「穵」俗字｝沃｛又音｝斡穵｛俗字挖｝襪握渥齷凹惡｛撮鎮到西山驛，其餘地區有零散｝						
#iɐʔ							
p	⑦憋鱉別蹩						
pʰ	⑦撇瞥						
mᵇ	⑦滅篾蔑蠛搣						
t	⑦跌疊迭碟						
tʰ	⑦蝶牒喋諜蹀貼鐵帖餮怗碟						
ȵ	⑦捏聶鎳孽嚙臬列烈裂獵鬣捩趔冽略掠虐瘧箬｛又｝業｛作~｝						
tɕ	⑦節腳｛又音｝吉｛訛音｝杰傑甲蜇匣啑截夾莢結潔頰狎戛拮劫藉｛~口｝揭偈竭捷婕孑桔羯睫碣頡詰胛鉀						
tɕʰ	⑦洽掐恰切竊怯愜						
ɕ	⑦瞎屑協匣｛文讀｝楔挾脅蝎歇轄峽揳燮泄狹						
j	⑦葉噎液掖腋謁壓軋鴨押揠鑰藥｛又音｝業憶						
#yɐʔ							
ȵ	⑦劣虐｛又音｝						
tɕ	⑦覺｛~得｝絕決嚼倔訣撅噘珏蕨爵崛獗蹶譎腳						
tɕʰ	⑦確缺闕卻雀｛或與鵲混｝鵲榷傕						
ɕ	⑦學血雪削噱謔薛穴						
j	⑦月樂約曰粵岳嶽躍閱悅鑰｛又音｝抈｛又音｝藥越業｛西鄉城關｝						
#əʔ							
p	⑦不卜弗｛同不｝						
pʰ	⑦僕樸扑撲卜｛又音｝瀑脖勃荸渤悖						
mᵇ	⑦木目睦沐穆沒						
f	⑦復複伏弗服福佛幅蝠匐馥拂						
t	⑦讀篤牘獨督瀆黷毒的｛又音｝□｛事了也｝著｛助詞：代書拿~｝蜀｛地名：大~山｝叕綴{又}						
tʰ	⑦突秃凸						
l	⑦陸六戮鹿漉禄勠箓碌氯綠錄菉						
k	⑦曷汲｛白丨~嬭｝箇｛又音丨促化｝						
x	⑦黑						
ts	⑦足卒𡎺｛塞也｝						
tsʰ	⑦族簇猝蹴促七｛元疃音｝卒｛急~｝						
s	⑦縮宿｛~舍｝速粟肅夙蓿簌窣續殐俗率｛~領丨又｝帥｛~領丨又｝						
tʃ	⑦直值膣殖執蟄汁鷙｛番鴨也｝蛭職窒侄植織隻擲						
tʃʰ	⑦濕｛又音｝尺赤敕叱炙秩						
ʃ	⑦十食實失室石拾拭釋蝕識濕什麝式｛一~｝飾適适						
ʒ	⑦日入						
#uəʔ							
t	⑦讀｛西鄉城關｝篤｛西鄉城關｝牘｛西鄉城關｝獨｛西鄉城關｝督｛西鄉城關｝瀆｛西鄉城關｝黷｛西鄉城關｝毒｛西鄉城關｝蜀｛西鄉城關丨地名：大~山｝叕｛西鄉城關｝綴{西鄉城關丨又}						
tʰ	⑦突｛西鄉城關｝秃｛西鄉城關｝						
l	⑦陸｛西鄉城關｝六｛西鄉城關｝禄｛西鄉城關｝勠｛西鄉城關｝碌｛西鄉城關｝氯｛西鄉城關｝綠｛西鄉城關｝錄｛西鄉城關｝						
k	⑦骨榖谷鶻啒嗗｛大飲也｝						
kʰ	⑦哭酷窟堀						
x	⑦忽笏惚斛𣝗｛果核｝						
ts	⑦足｛西鄉城關｝卒｛西鄉城關｝𡎺｛西鄉城關丨塞也｝						
tsʰ	⑦族｛西鄉城關｝簇｛西鄉城關｝猝｛西鄉城關｝促｛西鄉城關｝						
s	⑦嗍｛又音｝縮｛西鄉城關｝宿｛~舍丨西鄉｝速｛西鄉城關｝粟｛西鄉城關｝肅｛西鄉城關｝夙｛西鄉城關｝簌｛西鄉城關｝窣｛西鄉城關｝續｛西鄉城關｝殐｛西鄉城關｝縮｛西鄉城關｝宿｛西鄉城關｝速｛西鄉城關｝俗｛西鄉城關｝率｛~領｝帥｛~領｝						
tʃ	⑦竹竺妯祝喌逐軸筑燭粥茁觸蜀｛又音｝						
tʃʰ	⑦出齣俶㤕怵黜畜｛~牲｝搐矗慉						
ʃ	⑦熟塾孰叔倏菽蜀属束术沭｛地名丨~陽｝贖						
ʒ	⑦入｛又音｝褥辱肉						
	⑦沃兀物勿屋握{又}						
#iəʔ							
p	⑦逼筆必畢弼潷愎碧壁煏璧佖妼滭馝苾律率｛圓周~｝						
pʰ	⑦匹劈僻霹辟弼						
mᵇ	⑦䤉覓密蜜冪汨宓						
t	⑦敵扚笛狄翟的滴嫡適｛都歷切丨此也｝						
tʰ	⑦踢倜剔惕						
ȵ	⑦立栗力曆歷粒瀝笠荔礫罹溺逆匿昵暱溧戾						
tɕ	⑦吃｛~子丨言有礙者｝集即寂劇｛白丨影~院｝嫉稷給｛白讀｝戟瘠及吉極卽擊暨跡籍｛國~｝積績激疾脊汲棘亟鯽𣳃｛水濺也｝						
tɕʰ	⑦七喫｛今訛為「吃」｝漆乞戚泣契｛~丹｝隙沏葺輯膝｛又音｝緝楫						
ɕ	⑦吸習席息熄錫䦧惜昔晳夕媳膝悉蟋蜥析晰隰歙翕隙｛又音｝皙｛白也,明也丨俗通[晰]｝						
j	⑦液｛又音｝掖｛又音｝腋｛又音｝一壹益乙逸軼佚溢亦繹弈奕譯驛易｛相易也｝翊翌翼弋｛青弋江，在蕪湖｝邑揖熠岌煜						
#yəʔ							
ȵ	⑦律率｛圓周~｝						
tɕ	⑦掬鞠局菊橘掘						
tɕʰ	⑦曲蛐屈鞠｛姓｝麯						
ɕ	⑦旭蓄畜｛~牧｝						
j	⑦抈疫玉｛舊音｝育毓昱郁鬱彧獄欲浴役域峪						
#oʔ							
l	⑦絡｛文讀丨活~｝洛｛文讀丨~陽｝落｛文讀丨~花生｝						
t	⑦剟｛詈言房事為~丨城關音tɐʔ丨又今俗為ta，俗語云[噠唧唧]｝						
#ioʔ							
j	⑦躍｛活~｝育｛教~｝						
