1890會城			IPA		註釋			translit.	San-wúí		Cantone Sound			
恤	S	út	s	ut			460	sut	(Sút)	恤	sut		121	Or sut in the city, as in Canton.
恤	S	ut	s	ʊt	又音，如廣州音									
雪	S	út	s	ut			460	sut	(Sút)	雪	süt			
思	S	z	s	z̩			461	sii	(Sz)	思	sz		122	四 is séí.
四	S	éí	s	ɛi										
	T													
打	T	á	t	a			462	daa	(Tá)	打	tá			
低	T	áí	t	ai			463	daai	(Táí)	低	taí			
帶	T	áí	t	ai			463	daai	(Táí)	帶	táí			
得	T	ak	t	ɐk			464	dak	(Tak)	得	tak			
得	T	ák	t	ak	又音		464	daak	(Ták)	得	tak			
淡	T	ám	t	am			465	daam	(Tám)	淡	tám			
單	T	án	t	an			466	daan	(Tán)	單	tán			
燈	T	áng	t	aŋ			467	daang	(Táng)	燈	tang			
搭	T	áp	t	ap			468	daap	(Táp)	搭	táp			
笪	T	át	t	at			469	daat	(Tát)	笪	tát			
*	T	at	t	ɐt			470							
痘	T	au	t	ɐʊ			471	dau	(Tau)	痘	taú			
地	T	éí	t	ei			472	dei	(Téí)	地	téí			
踢	T'	ék	tʰ	ek			473	teek	(T'ék)	踢	t′ek			
泵	T	em	t	ɛm			474	dem	(Tem)	泵	tam			
嗒	T	ep	t	ɛp			475	dep	(Tep)	嗒	tap			
爹	T	íá	t	ia	會城音		476	diaa	(Tíá)	爹	te		123	In the N.E. it is te.
爹	T	e	t	ɛ	會東北音									
敵	T	ik	t	ɪk			477	dik	(Tik)	敵	tik			
點	T	ím	t	im			478	dim	(Tím)	點	tím			
典	T	ín	t	in			479	din	(Tín)	典	tín			
丁	T	ing	t	ɪŋ			480	ding	(Ting)	丁	ting			
蝶	T	íp	t	ip			481	dip	(Típ)	蝶	típ			
跌	T	ít	t	it			482	dit	(Tít)	跌	tít			
丢	T	íú	t	iu			483	diu	(Tíú)	丢	tíú			
多	T	o	t	ɔ			484	do	(To)	多	to			
刀	T	ò	t	o			485	dou	(Tò)	刀	tó			
代	T	oí	t	ɔi			486	doi	(Toí)	代	toí		124	See also Hoi.
度	T	ok	t	ɔk			487	dok	(Tok)	度	tok			
㡭	T	on	t	ɔn			488	don	(Ton)	㡭	tün			
當	T	ong	t	ɔŋ			489	dong	(Tong)	當	tong			
奪	T	òt	t	ot			490	doot	(Tòt)	奪	tut			
劑	Ts	aí	ts	ɐi			491	zai	(Tsaí)	劑	tsaí			
妻	Ts'	aí	tsʰ	ɐi			492	cai	(Ts'aí)	妻	ts′aí			
則	Ts	ak	ts	ɐk			493	zak	(Tsak)	則	tsak			
賊	Ts'	ák	tsʰ	ak			494	caak	(Ts'ák)	賊	ts′ák			
簪	Ts	ám	ts	am			495	zaam	(Tsám)	簪	tsám			
參	Ts'	ám	tsʰ	am			496	caam	(Ts'ám)	參	ts′ám			
贊	Ts	án	ts	an			497	zaan	(Tsán)	贊	tsán			
餐	Ts'	án	tsʰ	an			498	caan	(Ts'án)	餐	ts′án			
增	Ts	ang	ts	ɐŋ			499	zang	(Tsang)	增	tsang			
層	Ts'	ang	tsʰ	ɐŋ			500	cang	(Ts'ang)	層	ts′ang			
習	Ts	áp	ts	ap			501	zaap	(Tsáp)	習	tsáp			
擦	Ts'	át	tsʰ	at			502	caat	(Ts'át)	擦	ts′at			
侵	Ts'	em	tsʰ	ɛm			503	cem	(Ts'em)	侵	ts′am			
親	Ts'	en	tsʰ	ɛn			504	cen	(Ts'en)	親	ts′an			
蓺	Ts	ep	ts	ɛp			505	zep	(Tsep)	蓺	tsap			
緝	Ts'	ep	tsʰ	ɛp			506	cep	(Ts'ep)	緝	ts′ap			
疾	Ts	et	ts	ɛt			507	zet	(Tset)	疾	tsat			
七	Ts'	et	tsʰ	ɛt			508	cet	(Ts'et)	七	ts′át			
酒	Ts	eu	ts	ɛu			509	zeu	(Tseu)	酒	tsaú			
秋	Ts'	eu	tsʰ	ɛu			510	ceu	(Ts'eu)	秋	ts′aú			
借	Ts	íá	ts	ia			511	ziaa	(Tsíá)	借	tse			
邪	Ts'	íá	tsʰ	ia			512	ciaa	(Ts'íá)	邪	ts′e			
瘌	Ts	íak	ts	iɐk			513	ziak	(Tsíak)	瘌	ts′ek			
卽	Ts	ik	ts	ɪk			514	zik	(Tsik)	卽	tsik			
尖	Ts	ím	ts	im			515	zim	(Tsím)	尖	tsím			
簽	Ts'	ím	tsʰ	im			516	cim	(Ts'ím)	簽	ts′ím			
前	Ts	ín	ts	in			517	zin	(Tsín)	前	tsín			
千	Ts'	ín	tsʰ	in			518	cin	(Ts'ín)	千	ts′in			
晶	Ts	ing	ts	ɪŋ			519	zing	(Tsing)	晶	tsing			
淸	Ts'	ing	tsʰ	ɪŋ			520	cing	(Ts'ing)	淸	ts′ing			
接	Ts	íp	ts	ip			521	zip	(Tsíp)	接	tsíp			
節	Ts	ít	ts	it			522	zit	(Tsít)	節	tsít		125	See Sit.
切	Ts'	ít	tsʰ	it			523	cit	(Ts'ít)	切	ts′ít			
椒	Ts	íú	ts	iu			524	ziu	(Tsíú)	椒	tsíú			
鍫	Ts'	íú	tsʰ	iu			525	ciu	(Ts'íú)	鍫	ts′íú			
左	Ts	o	ts	ɔ			526	zo	(Tso)	左	tso			
錯	Ts'	o	tsʰ	ɔ			527	co	(Ts'o)	錯	ts′o			
租	Ts	ò	ts	o			528	zou	(Tsò)	租	tsò			
粗	Ts'	ò	tsʰ	o			529	cou	(Ts'ò)	粗	ts′ò			
宰	Ts	oí	ts	ɔi			530	zoi	(Tsoí)	宰	tsoi		126	See Ts‘uí.
才	Ts'	oí	tsʰ	ɔi			531	coi	(Ts'oí)	才	ts′oi		127	See Ts‘úí.
作	Ts	ok	ts	ɔk			532	zok	(Tsok)	作	tsok			
錯	Ts'	ok	tsʰ	ɔk			533	cok	(Ts'ok)	錯	ts′ok			
雀	Ts	ök	ts	œk			534	zoek	(Tsök)	雀	tsök			
葬	Ts	ong	ts	ɔŋ			535	zong	(Tsong)	葬	tsong			
將	Ts	öng	ts	œŋ			536	zoeng	(Tsöng)	將	tsöng			
艙	Ts'	ong	tsʰ	ɔŋ			537	cong	(Ts'ong)	艙	ts′ong			
祥	Ts'	öng	tsʰ	œŋ			538	coeng	(Ts'öng)	祥	ts′öng			
序	Ts	uí	ts	ʊi			539	zeoi	(Tsuí)	序	tsuí		128	See Next.
取	Ts'	úí	tsʰ	ui			540	cui	(Ts'úí)	取	ts′uí		129	隨 is ts‘uí, or ts‘oí, 娶 is há, 嘴 is tsúí, or tsoí.
隨	Ts'	uí	tsʰ	ʊi										
隨	Ts'	oí	tsʰ	ɔi	又音									
娶	H	á	h	a										
嘴	Ts	úí	ts	ui										
嘴	Ts	oí	ts	ɔi	又音									
足	Ts	uk	ts	ʊk			541	zuk	(Tsuk)	足	tsuk			
促	Ts'	uk	tsʰ	ʊk			542	cuk	(Ts'uk)	促	ts′uk			
津	Ts	ún	ts	un			543	zun	(Tsún)	津	tsun			
尊	Ts	ún	ts	un			543	zun	(Tsún)	尊	tsün			
巡	Ts'	ún	tsʰ	un			544	cun	(Ts'ún)	巡	ts′un			
全	Ts'	ün	tsʰ	yn			545	cyun	(Ts'ün)	全	ts′ün			
宗	Ts	ung	ts	ʊŋ			546	zung	(Tsung)	宗	tsung			
從	Ts'	ung	tsʰ	ʊŋ			547	cung	(Ts'ung)	從	ts′ung			
卒	Ts	út	ts	ut			548	zut	(Tsút)	卒	tsut			
絶	Ts	út	ts	ut			548	zut	(Tsút)	絶	tsüt			
捽	Ts'	út	tsʰ	ut			549	cut	(Ts'út)	捽	ts′üt			
子	Ts	z	ts	z̩			550	zii	(Tsz)	子	tsz			
慈	Ts'	z	tsʰ	z̩			551	cii	(Ts'z)	慈	ts′z			
堆	T	uí	t	ʊi			552	deoi	(Tuí)	堆	tuí			
退	T'	úí	tʰ	ʊi			553	teoi	(T'úí)	退	t′uí			
督	T	úk	t	uk			554	duk	(Túk)	督	túk			
墩	T	un	t	ʊn			555	deon	(Tun)	墩	tun			
不	T	ún	t	un			556	dun	(Tún)	不	tan			
冬	T	ung	t	ʊŋ			557	dung	(Tung)	冬	ting			
通	T'	ung	tʰ	ʊŋ			558	tung	(T'ung)	通	t′ung			
凸	T	út	t	ut			559	dut	(Tút)	凸	tat			
	U													
屋		Uk	ʔ	ʊk			560	uk	(Uk)	屋	uk			
	W													
話	W	á	w	a			561	waa	(Wá)	話	wá			
圍	W	aí	w	ɐi	會城音		562	wai	(Waí)	圍	waí		130	This class of words in the S.W. is wúí. 位 is pronounced wáí in San-wúí is city as well. 衞 is also pronounced wúí  as well as waí  in the city.
圍	W	úí	w	ui	會西南音									
位	W	aí	w	ɐi										
位	W	ai	w	ɐɪ	又音									
衞	W	úí	w	ui										
衞	W	aí	w	ɐi	又音									
煨	W	aí	w	ɐi	會城音		562	wai	(Waí)	煨	wúí		131	In the S.W. this is wéí.
煨	W	éí	w	ɛi	會西南音									
壞	W	áí	w	ai			563	waai	(Wáí)	壞	wáí		132	See last.
或	W	ák	w	ak			564	waak	(Wák)	或	wák			
域	W	ák	w	ak			564	waak	(Wák)	域	wik			
雲	W	an	w	ɐn	會城音		565	wan	(Wan)	雲	wan		133	These are wún in the S.W. , but 揾 is fún in the S.W.
雲	W	ún	w	un	會西南音									
搵	W	an	w	ɐn	會城音									
搵	F	ún	f	un	會西南音									
灣	W	án	w	an			566	waan	(Wán)	灣	wán			
橫	W	áng	w	aŋ			567	waang	(Wáng)	橫	wáng			
欝	W	at	w	ɐt			568	wat	(Wat)	欝	wat		134	In S.W. is wút alone
欝	W	út	w	ut	又音		568	wut	(Wút)	欝				
欝	W	út	w	ut	會西南唯一音									
滑	W	át	w	at			569	waat	(Wát)	滑	wát			
*	W	éí	w	ei			570		Wéí	See Waí and Wúí.				
*	W	en	w	ɛn			571		Wen	See Wún.				
*	W	et	w	ɛt			572		Wet	See wút.				
𢫕	W	ing	w	ɪŋ			573	wing	(Wing)	𢫕	wing			
窩	W	o	w	ɔ			574	wo	(Wo)	窩	wo			
鑊	W	ok	w	ɔk			575	wok	(Wok)	鑊	wok			
王	W	ong	w	ɔŋ			576	wong	(Wong)	王	wong			
惡	W	ú	w	u			577	wu	(Wú)	惡	wú			
囘	W	úí	w	ui			578	wui	(Wúí)	囘	wuí		135	See Waí. In the S.W.this classof words is pronounced wi alone.
囘	W	éí	w	ei	又音		578	wei	(Wéí)	囘				
盌	W	ún	w	un			579	wun	(Wún)	盌	wún			
勻	W	ún	w	un			579	wun	(Wún)	勻	wan		136	In the S.W. this is wen.  See also Wan.
活	W	út	w	ut			580	wut	(Wút)	活	wút		137	In the S.W. this is wet.
	Y													
𠯋	Y	aí	j	ɐi			581	jai	(Yaí)	𠯋	yaí			
音	Y	am	j	ɐm			582	jam	(Yam)	音	yam		138	This is yím in the S.W. is ngem throughout the district.
因	Y	an	j	ɐn			583	jan	(Yan)	因	yan			
印	Y	an	j	ɐn			583	jan	(Yan)	印	yan		139	These are yín in the S.W. , but 人 and 仁 are ngen.
*	Y	at	j	ɐt			584		Yat	See Yít.				
穴	Y	et	j	ɛt			585	jet	(Yet)	穴	yüt			
穴	Y	íp	j	ip	又音		585	jip	(Yíp)	穴				
雨	Y	í	j	i			586	ji	(Yí)	雨	yü			
於	Y	í	j	i			586	ji	(Yí)	於	yü			
也	Y	iá	j	ɪa			587	jiaa	(Yiá)	也	yá			
耶	Y	iá	j	ɪa			587	jiaa	(Yiá)	耶	ye		140	卄 is yíp
益	Y	ik	j	ɪk			588	jik	(Yik)	益	yik			
員	Y	ín	j	in			589	jin	(Yín)	員	yín		141	This is yen in the S.W. The rest of the characters in this class have about the same difference. See also Yan.
應	Y	ing	j	ɪŋ			590	jing	(Ying)	應	ying			
邑	Y	íp	j	ip			591	jip	(Yíp)	邑	yap		142	See Yíá and Yet.
一	Y	ít	j	it			592	jit	(Yít)	一	yat		143	In the city it is also pronounced yat as well, 日 is nget in the S.W. , and ngit, or nget in the rest of the district.
有	Y	íú	j	iu			593	jiu	(Yíú)	有	yau			
約	Y	ök	j	œk			594	joek	(Yök)	約	yök			
羊	Y	öng	j	œŋ			595	joeng	(Yöng)	羊	yöng			
銳	Y	uí	j	ʊi			596	jeoi	(Yuí)	銳	yuí			
欲	Y	uk	j	ʊk			597	juk	(Yuk)	欲	yuk			
甕	Y	ung	j	ʊŋ			598	jung	(Yung)	甕	ung			
甕	H	íp	h	ip	又音		598	hip	(Híp)	甕				
用	Y	ung	j	ʊŋ			598	jung	(Yung)	用	yung			
用	H	íp	h	ip	又音		598	hip	(Híp)	用				
