正體	简体	国际音标（丰利）	声调符号	国际音标带调（丰利）	调值	调类	泰如拼音（丰利）	泰如拼音带调（丰利）	备注
嘹	嘹	liɔ	˨˦	liɔ˨˦	24	2	lio	lio2	
潦	潦	liɔ	˨˦	liɔ˨˦	24	2	lio	lio2	
了	了	liɔ	˧˨˨	liɔ˧˨˨	322	3	lio	lio3	
瞭	了	liɔ	˧˨˨	liɔ˧˨˨	322	3	lio	lio3	
料	料	liɔ	˧	liɔ˧	33	6	lio	lio6	
鐐	镣	liɔ	˧	liɔ˧	33	6	lio	lio6	
撂	撂	liɔ	˧	liɔ˧	33	6	lio	lio6	
撈	捞	lɔ	˨˩	lɔ˨˩	21	1	lo	lo1	文讀
勞	劳	lɔ	˨˦	lɔ˨˦	24	2	lo	lo2	
牢	牢	lɔ	˨˦	lɔ˨˦	24	2	lo	lo2	
撈	捞	lɔ	˨˦	lɔ˨˦	24	2	lo	lo2	白讀
嘮	唠	lɔ	˨˦	lɔ˨˦	24	2	lo	lo2	
癆	痨	lɔ	˨˦	lɔ˨˦	24	2	lo	lo2	
老	老	lɔ	˧˨˨	lɔ˧˨˨	322	3	lo	lo3	
佬	佬	lɔ	˧˨˨	lɔ˧˨˨	322	3	lo	lo3	
姥	姥	lɔ	˧˨˨	lɔ˧˨˨	322	3	lo	lo3	
澇	涝	lɔ	˧	lɔ˧	33	6	lo	lo6	
六	六	lɔʔ	˧	lɔʔ˧	33	8	loh	loh8	
綠	绿	lɔʔ	˧	lɔʔ˧	33	8	loh	loh8	
陸	陆	lɔʔ	˧	lɔʔ˧	33	8	loh	loh8	
錄	录	lɔʔ	˧	lɔʔ˧	33	8	loh	loh8	
祿	禄	lɔʔ	˧	lɔʔ˧	33	8	loh	loh8	
鹿	鹿	lɔʔ	˧	lɔʔ˧	33	8	loh	loh8	
漉	漉	lɔʔ	˧	lɔʔ˧	33	8	loh	loh8	撈取
龍	龙	lɔŋ	˨˦	lɔŋ˨˦	24	2	lon	lon2	
隆	隆	lɔŋ	˨˦	lɔŋ˨˦	24	2	lon	lon2	
籠	笼	lɔŋ	˨˦	lɔŋ˨˦	24	2	lon	lon2	
聾	聋	lɔŋ	˨˦	lɔŋ˨˦	24	2	lon	lon2	
嚨	咙	lɔŋ	˨˦	lɔŋ˨˦	24	2	lon	lon2	
窿	窿	lɔŋ	˨˦	lɔŋ˨˦	24	2	lon	lon2	
籠	笼	lɔŋ	˧˨˨	lɔŋ˧˨˨	322	3	lon	lon3	
攏	拢	lɔŋ	˧˨˨	lɔŋ˧˨˨	322	3	lon	lon3	
弄	弄	lɔŋ	˧	lɔŋ˧	33	6	lon	lon6	白讀
螺	螺	lʊ	˨˩	lʊ˨˩	21	1	lu	lu1	～兒
囉	啰	lʊ	˨˩	lʊ˨˩	21	1	lu	lu1	
羅	罗	lʊ	˨˦	lʊ˨˦	24	2	lu	lu2	
螺	螺	lʊ	˨˦	lʊ˨˦	24	2	lu	lu2	～螄
邏	逻	lʊ	˨˦	lʊ˨˦	24	2	lu	lu2	
鑼	锣	lʊ	˨˦	lʊ˨˦	24	2	lu	lu2	
騾	骡	lʊ	˨˦	lʊ˨˦	24	2	lu	lu2	
籮	箩	lʊ	˨˦	lʊ˨˦	24	2	lu	lu2	
蘿	萝	lʊ	˨˦	lʊ˨˦	24	2	lu	lu2	
裸	裸	lʊ	˧˨˨	lʊ˧˨˨	322	3	lu	lu3	
剆	剆	lʊ	˧˨˨	lʊ˧˨˨	322	3	lu	lu3	切割
那	那	lʊ	˦˥	lʊ˦˥	45	5	lu	lu5	白讀
摞	摞	lʊ	˧	lʊ˧	33	6	lu	lu6	
雷	雷	luəɪ	˨˦	luəɪ˨˦	24	2	luei	luei2	
累	累	luəɪ	˨˦	luəɪ˨˦	24	2	luei	luei2	～贅
擂	擂	luəɪ	˨˦	luəɪ˨˦	24	2	luei	luei2	
累	累	luəɪ	˧˨˨	luəɪ˧˨˨	322	3	luei	luei3	積～
壘	垒	luəɪ	˧˨˨	luəɪ˧˨˨	322	3	luei	luei3	
磊	磊	luəɪ	˧˨˨	luəɪ˧˨˨	322	3	luei	luei3	
類	类	luəɪ	˧	luəɪ˧	33	6	luei	luei6	
累	累	luəɪ	˧	luəɪ˧	33	6	luei	luei6	勞～
淚	泪	luəɪ	˧	luəɪ˧	33	6	luei	luei6	
擂	擂	luəɪ	˧	luəɪ˧	33	6	luei	luei6	
捋	捋	lʊᵘʔ	˧	lʊᵘʔ˧	33	8	luh	luh8	
孿	孪	lʊ̃ᵘ̃	˨˦	lʊ̃ᵘ̃˨˦	24	2	lun	lun2	
卵	卵	lʊ̃ᵘ̃	˧˨˨	lʊ̃ᵘ̃˧˨˨	322	3	lun	lun3	
亂	乱	lʊ̃ᵘ̃	˧	lʊ̃ᵘ̃˧	33	6	lun	lun6	
嚕	噜	lʋ	˨˩	lʋ˨˩	21	1	lv	lv1	
爐	炉	lʋ	˨˦	lʋ˨˦	24	2	lv	lv2	
盧	卢	lʋ	˨˦	lʋ˨˦	24	2	lv	lv2	
蘆	芦	lʋ	˨˦	lʋ˨˦	24	2	lv	lv2	
廬	庐	lʋ	˨˦	lʋ˨˦	24	2	lv	lv2	
顱	颅	lʋ	˨˦	lʋ˨˦	24	2	lv	lv2	
鱸	鲈	lʋ	˨˦	lʋ˨˦	24	2	lv	lv2	
魯	鲁	lʋ	˧˨˨	lʋ˧˨˨	322	3	lv	lv3	
鹵	卤	lʋ	˧˨˨	lʋ˧˨˨	322	3	lv	lv3	
虜	虏	lʋ	˧˨˨	lʋ˧˨˨	322	3	lv	lv3	
路	路	lʋ	˧	lʋ˧	33	6	lv	lv6	
露	露	lʋ	˧	lʋ˧	33	6	lv	lv6	
賂	赂	lʋ	˧	lʋ˧	33	6	lv	lv6	
驢	驴	lyᶨ	˨˦	lyᶨ˨˦	24	2	ly	ly2	
旅	旅	lyᶨ	˧˨˨	lyᶨ˧˨˨	322	3	ly	ly3	
鋁	铝	lyᶨ	˧˨˨	lyᶨ˧˨˨	322	3	ly	ly3	
呂	吕	lyᶨ	˧˨˨	lyᶨ˧˨˨	322	3	ly	ly3	
慮	虑	lyᶨ	˧	lyᶨ˧	33	6	ly	ly6	
濾	滤	lyᶨ	˧	lyᶨ˧	33	6	ly	ly6	
媽	妈	mɑ	˨˩	mɑ˨˩	21	1	ma	ma1	
麻	麻	mɑ	˨˦	mɑ˨˦	24	2	ma	ma2	
嘛	嘛	mɑ	˨˦	mɑ˨˦	24	2	ma	ma2	
蟆	蟆	mɑ	˨˦	mɑ˨˦	24	2	ma	ma2	
馬	马	mɑ	˧˨˨	mɑ˧˨˨	322	3	ma	ma3	
嗎	吗	mɑ	˧˨˨	mɑ˧˨˨	322	3	ma	ma3	
碼	码	mɑ	˧˨˨	mɑ˧˨˨	322	3	ma	ma3	
瑪	玛	mɑ	˧˨˨	mɑ˧˨˨	322	3	ma	ma3	
螞	蚂	mɑ	˧˨˨	mɑ˧˨˨	322	3	ma	ma3	
罵	骂	mɑ	˧	mɑ˧	33	6	ma	ma6	
駡	骂	mɑ	˧	mɑ˧	33	6	ma	ma6	
埋	埋	mɛ	˨˦	mɛ˨˦	24	2	mae	mae2	
霾	霾	mɛ	˨˦	mɛ˨˦	24	2	mae	mae2	
買	买	mɛ	˧˨˨	mɛ˧˨˨	322	3	mae	mae3	
賣	卖	mɛ	˧	mɛ˧	33	6	mae	mae6	
邁	迈	mɛ	˧	mɛ˧	33	6	mae	mae6	
抹	抹	mʲɛʔ	˧	mʲɛʔ˧	33	8	maeh	maeh8	
曼	曼	mʲɛ̃	˨˦	mʲɛ̃˨˦	24	2	maen	maen2	
蠻	蛮	mʲɛ̃	˨˦	mʲɛ̃˨˦	24	2	maen	maen2	
慢	慢	mʲɛ̃	˧	mʲɛ̃˧	33	6	maen	maen6	
曼	曼	mʲɛ̃	˧	mʲɛ̃˧	33	6	maen	maen6	
漫	漫	mʲɛ̃	˧	mʲɛ̃˧	33	6	maen	maen6	文讀
謾	谩	mʲɛ̃	˧	mʲɛ̃˧	33	6	maen	maen6	
嫚	嫚	mʲɛ̃	˧	mʲɛ̃˧	33	6	maen	maen6	
莫	莫	maʔ	˧	maʔ˧	33	8	mah	mah8	
膜	膜	maʔ	˧	maʔ˧	33	8	mah	mah8	
幕	幕	maʔ	˧	maʔ˧	33	8	mah	mah8	
摸	摸	maʔ	˧	maʔ˧	33	8	mah	mah8	
漠	漠	maʔ	˧	maʔ˧	33	8	mah	mah8	
寞	寞	maʔ	˧	maʔ˧	33	8	mah	mah8	
陌	陌	maʔ	˧	maʔ˧	33	8	mah	mah8	～生
忙	忙	mã	˨˦	mã˨˦	24	2	man	man2	
茫	茫	mã	˨˦	mã˨˦	24	2	man	man2	
盲	盲	mã	˨˦	mã˨˦	24	2	man	man2	
芒	芒	mã	˨˦	mã˨˦	24	2	man	man2	
氓	氓	mã	˨˦	mã˨˦	24	2	man	man2	
莽	莽	mã	˧˨˨	mã˧˨˨	322	3	man	man3	
蟒	蟒	mã	˧˨˨	mã˧˨˨	322	3	man	man3	
沒	没	məʔ	˧	məʔ˧	33	8	meh	meh8	
麽	么	məʔ	˧	məʔ˧	33	8	meh	meh8	
煤	煤	məɪ	˨˦	məɪ˨˦	24	2	mei	mei2	
梅	梅	məɪ	˨˦	məɪ˨˦	24	2	mei	mei2	
霉	霉	məɪ	˨˦	məɪ˨˦	24	2	mei	mei2	
媒	媒	məɪ	˨˦	məɪ˨˦	24	2	mei	mei2	
枚	枚	məɪ	˨˦	məɪ˨˦	24	2	mei	mei2	
玫	玫	məɪ	˨˦	məɪ˨˦	24	2	mei	mei2	
莓	莓	məɪ	˨˦	məɪ˨˦	24	2	mei	mei2	
謀	谋	məɪ	˨˦	məɪ˨˦	24	2	mei	mei2	
美	美	məɪ	˧˨˨	məɪ˧˨˨	322	3	mei	mei3	文讀
每	每	məɪ	˧˨˨	məɪ˧˨˨	322	3	mei	mei3	
某	某	məɪ	˧˨˨	məɪ˧˨˨	322	3	mei	mei3	
畝	亩	məɪ	˧˨˨	məɪ˧˨˨	322	3	mei	mei3	
媚	媚	məɪ	˦˥	məɪ˦˥	45	5	mei	mei5	
妹	妹	məɪ	˧	məɪ˧	33	6	mei	mei6	文讀
昧	昧	məɪ	˧	məɪ˧	33	6	mei	mei6	文讀
悶	闷	məŋ	˨˩	məŋ˨˩	21	1	men	men1	
燜	焖	məŋ	˨˩	məŋ˨˩	21	1	men	men1	
門	门	məŋ	˨˦	məŋ˨˦	24	2	men	men2	
明	明	məŋ	˨˦	məŋ˨˦	24	2	men	men2	白讀
們	们	məŋ	˨˦	məŋ˨˦	24	2	men	men2	
悶	闷	məŋ	˧	məŋ˧	33	6	men	men6	
燜	焖	məŋ	˧	məŋ˧	33	6	men	men6	
問	问	məŋ	˧	məŋ˧	33	6	men	men6	
璺	璺	məŋ	˧	məŋ˧	33	6	men	men6	
眯	眯	mɨᶨ	˨˩	mɨᶨ˨˩	21	1	mi	mi1	
煤	煤	mɨᶨ	˨˦	mɨᶨ˨˦	24	2	mi	mi2	
棉	棉	mɨᶨ	˨˦	mɨᶨ˨˦	24	2	mi	mi2	
迷	迷	mɨᶨ	˨˦	mɨᶨ˨˦	24	2	mi	mi2	
眉	眉	mɨᶨ	˨˦	mɨᶨ˨˦	24	2	mi	mi2	
霉	霉	mɨᶨ	˨˦	mɨᶨ˨˦	24	2	mi	mi2	白讀
彌	弥	mɨᶨ	˨˦	mɨᶨ˨˦	24	2	mi	mi2	
媒	媒	mɨᶨ	˨˦	mɨᶨ˨˦	24	2	mi	mi2	白讀
謎	谜	mɨᶨ	˨˦	mɨᶨ˨˦	24	2	mi	mi2	
糜	糜	mɨᶨ	˨˦	mɨᶨ˨˦	24	2	mi	mi2	
咪	咪	mɨᶨ	˨˦	mɨᶨ˨˦	24	2	mi	mi2	
獼	猕	mɨᶨ	˨˦	mɨᶨ˨˦	24	2	mi	mi2	
瀰	弥	mɨᶨ	˨˦	mɨᶨ˨˦	24	2	mi	mi2	
黴	霉	mɨᶨ	˨˦	mɨᶨ˨˦	24	2	mi	mi2	
美	美	mɨᶨ	˧˨˨	mɨᶨ˧˨˨	322	3	mi	mi3	白讀
米	米	mɨᶨ	˧˨˨	mɨᶨ˧˨˨	322	3	mi	mi3	
眯	眯	mɨᶨ	˧˨˨	mɨᶨ˧˨˨	322	3	mi	mi3	
咪	咪	mɨᶨ	˧˨˨	mɨᶨ˧˨˨	322	3	mi	mi3	
妹	妹	mɨᶨ	˧	mɨᶨ˧	33	6	mi	mi6	白讀，～子
媚	媚	mɨᶨ	˧	mɨᶨ˧	33	6	mi	mi6	
昧	昧	mɨᶨ	˧	mɨᶨ˧	33	6	mi	mi6	白讀
乜	乜	miɑ	˨˩	miɑ˨˩	21	1	mia	mia1	
乜	乜	miɑ	˧˨˨	miɑ˧˨˨	322	3	mia	mia3	窺視
咩	咩	miɑ	˧	miɑ˧	33	6	mia	mia6	
密	密	miəʔ	˧	miəʔ˧	33	8	mieh	mieh8	
蜜	蜜	miəʔ	˧	miəʔ˧	33	8	mieh	mieh8	
冪	幂	miəʔ	˧	miəʔ˧	33	8	mieh	mieh8	
覓	觅	miəʔ	˧	miəʔ˧	33	8	mieh	mieh8	
謐	谧	miəʔ	˧	miəʔ˧	33	8	mieh	mieh8	
民	民	miŋ	˨˦	miŋ˨˦	24	2	mien	mien2	
名	名	miŋ	˨˦	miŋ˨˦	24	2	mien	mien2	
鳴	鸣	miŋ	˨˦	miŋ˨˦	24	2	mien	mien2	
銘	铭	miŋ	˨˦	miŋ˨˦	24	2	mien	mien2	
冥	冥	miŋ	˨˦	miŋ˨˦	24	2	mien	mien2	
茗	茗	miŋ	˨˦	miŋ˨˦	24	2	mien	mien2	
瞑	瞑	miŋ	˨˦	miŋ˨˦	24	2	mien	mien2	
明	明	miŋ	˨˦	miŋ˨˦	24	2	mien	mien2	
敏	敏	miŋ	˧˨˨	miŋ˧˨˨	322	3	mien	mien3	
閩	闽	miŋ	˧˨˨	miŋ˧˨˨	322	3	mien	mien3	
皿	皿	miŋ	˧˨˨	miŋ˧˨˨	322	3	mien	mien3	
憫	悯	miŋ	˧˨˨	miŋ˧˨˨	322	3	mien	mien3	
抿	抿	miŋ	˧˨˨	miŋ˧˨˨	322	3	mien	mien3	
命	命	miŋ	˧	miŋ˧	33	6	mien	mien6	
滅	灭	miʔ	˧	miʔ˧	33	8	mih	mih8	
篾	篾	miʔ	˧	miʔ˧	33	8	mih	mih8	
棉	棉	mĩ	˨˦	mĩ˨˦	24	2	min	min2	
眠	眠	mĩ	˨˦	mĩ˨˦	24	2	min	min2	
綿	绵	mĩ	˨˦	mĩ˨˦	24	2	min	min2	
免	免	mĩ	˧˨˨	mĩ˧˨˨	322	3	min	min3	
勉	勉	mĩ	˧˨˨	mĩ˧˨˨	322	3	min	min3	
緬	缅	mĩ	˧˨˨	mĩ˧˨˨	322	3	min	min3	
愐	愐	mĩ	˧˨˨	mĩ˧˨˨	322	3	min	min3	
面	面	mĩ	˧	mĩ˧	33	6	min	min6	
麵	面	mĩ	˧	mĩ˧	33	6	min	min6	
麪	面	mĩ	˧	mĩ˧	33	6	min	min6	
喵	喵	miɔ	˨˩	miɔ˨˩	21	1	mio	mio1	
苗	苗	miɔ	˨˦	miɔ˨˦	24	2	mio	mio2	
描	描	miɔ	˨˦	miɔ˨˦	24	2	mio	mio2	
瞄	瞄	miɔ	˨˦	miɔ˨˦	24	2	mio	mio2	
秒	秒	miɔ	˧˨˨	miɔ˧˨˨	322	3	mio	mio3	
廟	庙	miɔ	˧	miɔ˧	33	6	mio	mio6	
妙	妙	miɔ	˧	miɔ˧	33	6	mio	mio6	
繆	缪	miɔ	˧	miɔ˧	33	6	mio	mio6	姓氏
謬	谬	miʊ	˦˥	miʊ˦˥	45	5	miu	miu5	
毛	毛	mɔ	˨˦	mɔ˨˦	24	2	mo	mo2	
矛	矛	mɔ	˨˦	mɔ˨˦	24	2	mo	mo2	
茅	茅	mɔ	˨˦	mɔ˨˦	24	2	mo	mo2	
貓	猫	mɔ	˨˦	mɔ˨˦	24	2	mo	mo2	
錨	锚	mɔ	˨˦	mɔ˨˦	24	2	mo	mo2	
髦	髦	mɔ	˨˦	mɔ˨˦	24	2	mo	mo2	
氂	牦	mɔ	˨˦	mɔ˨˦	24	2	mo	mo2	
卯	卯	mɔ	˧˨˨	mɔ˧˨˨	322	3	mo	mo3	
鉚	铆	mɔ	˧˨˨	mɔ˧˨˨	322	3	mo	mo3	
貌	貌	mɔ	˧	mɔ˧	33	6	mo	mo6	
冒	冒	mɔ	˧	mɔ˧	33	6	mo	mo6	
帽	帽	mɔ	˧	mɔ˧	33	6	mo	mo6	
貿	贸	mɔ	˧	mɔ˧	33	6	mo	mo6	
茂	茂	mɔ	˧	mɔ˧	33	6	mo	mo6	
目	目	mɔʔ	˧	mɔʔ˧	33	8	moh	moh8	
木	木	mɔʔ	˧	mɔʔ˧	33	8	moh	moh8	
麥	麦	mɔʔ	˧	mɔʔ˧	33	8	moh	moh8	
脈	脉	mɔʔ	˧	mɔʔ˧	33	8	moh	moh8	
牧	牧	mɔʔ	˧	mɔʔ˧	33	8	moh	moh8	
墨	墨	mɔʔ	˧	mɔʔ˧	33	8	moh	moh8	
默	默	mɔʔ	˧	mɔʔ˧	33	8	moh	moh8	
陌	陌	mɔʔ	˧	mɔʔ˧	33	8	moh	moh8	
睦	睦	mɔʔ	˧	mɔʔ˧	33	8	moh	moh8	
沐	沐	mɔʔ	˧	mɔʔ˧	33	8	moh	moh8	
苜	苜	mɔʔ	˧	mɔʔ˧	33	8	moh	moh8	
盟	盟	mɔŋ	˨˦	mɔŋ˨˦	24	2	mon	mon2	
蒙	蒙	mɔŋ	˨˦	mɔŋ˨˦	24	2	mon	mon2	
萌	萌	mɔŋ	˨˦	mɔŋ˨˦	24	2	mon	mon2	
檬	檬	mɔŋ	˨˦	mɔŋ˨˦	24	2	mon	mon2	
朦	朦	mɔŋ	˨˦	mɔŋ˨˦	24	2	mon	mon2	
濛	蒙	mɔŋ	˨˦	mɔŋ˨˦	24	2	mon	mon2	
矇	蒙	mɔŋ	˨˦	mɔŋ˨˦	24	2	mon	mon2	
猛	猛	mɔŋ	˧˨˨	mɔŋ˧˨˨	322	3	mon	mon3	
懵	懵	mɔŋ	˧˨˨	mɔŋ˧˨˨	322	3	mon	mon3	
蜢	蜢	mɔŋ	˧˨˨	mɔŋ˧˨˨	322	3	mon	mon3	
幪	幪	mɔŋ	˧˨˨	mɔŋ˧˨˨	322	3	mon	mon3	茂盛，密集
蠓	蠓	mɔŋ	˧˨˨	mɔŋ˧˨˨	322	3	mon	mon3	小飛蟲
夢	梦	mɔŋ	˧	mɔŋ˧	33	6	mon	mon6	
孟	孟	mɔŋ	˧	mɔŋ˧	33	6	mon	mon6	
麼	么	mʊ	˨˩	mʊ˨˩	21	1	mu	mu1	
無	无	mʊ	˨˦	mʊ˨˦	24	2	mu	mu2	
模	模	mʊ	˨˦	mʊ˨˦	24	2	mu	mu2	
磨	磨	mʊ	˨˦	mʊ˨˦	24	2	mu	mu2	
摩	摩	mʊ	˨˦	mʊ˨˦	24	2	mu	mu2	
膜	膜	mʊ	˨˦	mʊ˨˦	24	2	mu	mu2	
魔	魔	mʊ	˨˦	mʊ˨˦	24	2	mu	mu2	
摹	摹	mʊ	˨˦	mʊ˨˦	24	2	mu	mu2	
蘑	蘑	mʊ	˨˦	mʊ˨˦	24	2	mu	mu2	
某	某	mʊ	˧˨˨	mʊ˧˨˨	322	3	mu	mu3	又音
母	母	mʊ	˧˨˨	mʊ˧˨˨	322	3	mu	mu3	
畝	亩	mʊ	˧˨˨	mʊ˧˨˨	322	3	mu	mu3	又音
姆	姆	mʋ	˧˨˨	mʋ˧˨˨	322	3	mu	mu3	
拇	拇	mʊ	˧˨˨	mʊ˧˨˨	322	3	mu	mu3	
牡	牡	mʊ	˧˨˨	mʊ˧˨˨	322	3	mu	mu3	
磨	磨	mʊ	˧	mʊ˧	33	6	mu	mu6	
墓	墓	mʊ	˧	mʊ˧	33	6	mu	mu6	
慕	慕	mʊ	˧	mʊ˧	33	6	mu	mu6	
暮	暮	mʊ	˧	mʊ˧	33	6	mu	mu6	
募	募	mʊ	˧	mʊ˧	33	6	mu	mu6	
末	末	mʊᵘʔ	˧	mʊᵘʔ˧	33	8	muh	muh8	
沫	沫	mʊᵘʔ	˧	mʊᵘʔ˧	33	8	muh	muh8	
茉	茉	mʊᵘʔ	˧	mʊᵘʔ˧	33	8	muh	muh8	
抹	抹	mʊᵘʔ	˧	mʊᵘʔ˧	33	8	muh	muh8	
蔓	蔓	mʊ̃ᵘ̃	˨˦	mʊ̃ᵘ̃˨˦	24	2	mun	mun2	
瞞	瞒	mʊ̃ᵘ̃	˨˦	mʊ̃ᵘ̃˨˦	24	2	mun	mun2	
饅	馒	mʊ̃ᵘ̃	˨˦	mʊ̃ᵘ̃˨˦	24	2	mun	mun2	
鰻	鳗	mʊ̃ᵘ̃	˨˦	mʊ̃ᵘ̃˨˦	24	2	mun	mun2	
滿	满	mʊ̃ᵘ̃	˧˨˨	mʊ̃ᵘ̃˧˨˨	322	3	mun	mun3	
曼	曼	mʊ̃ᵘ̃	˧	mʊ̃ᵘ̃˧	33	6	mun	mun6	
漫	漫	mʊ̃ᵘ̃	˧	mʊ̃ᵘ̃˧	33	6	mun	mun6	
蔓	蔓	mʊ̃ᵘ̃	˧	mʊ̃ᵘ̃˧	33	6	mun	mun6	
幔	幔	mʊ̃ᵘ̃	˧	mʊ̃ᵘ̃˧	33	6	mun	mun6	
南	南	nɑ	˨˩	nɑ˨˩	21	1	na	na1	
那	那	nɑ	˨˩	nɑ˨˩	21	1	na	na1	
拿	拿	nɑ	˨˦	nɑ˨˦	24	2	na	na2	
哪	哪	nɑ	˧˨˨	nɑ˧˨˨	322	3	na	na3	文讀
那	那	nɑ	˦˥	nɑ˦˥	45	5	na	na5	文讀
娜	娜	nɑ	˧	nɑ˧	33	6	na	na6	
吶	呐	nɛ	˨˩	nɛ˨˩	21	1	nae	nae1	
奶	奶	nɛ	˧˨˨	nɛ˧˨˨	322	3	nae	nae3	
乃	乃	nɛ	˧˨˨	nɛ˧˨˨	322	3	nae	nae3	
耐	耐	nɛ	˧	nɛ˧	33	6	nae	nae6	
奈	奈	nɛ	˧	nɛ˧	33	6	nae	nae6	
納	纳	nʲɛʔ	˧	nʲɛʔ˧	33	8	naeh	naeh8	
吶	呐	nʲɛʔ	˧	nʲɛʔ˧	33	8	naeh	naeh8	
捺	捺	nʲɛʔ	˧	nʲɛʔ˧	33	8	naeh	naeh8	
衲	衲	nʲɛʔ	˧	nʲɛʔ˧	33	8	naeh	naeh8	縫補
難	难	nʲɛ̃	˨˦	nʲɛ̃˨˦	24	2	naen	naen2	
喃	喃	nʲɛ̃	˨˦	nʲɛ̃˨˦	24	2	naen	naen2	
赧	赧	nʲɛ̃	˧˨˨	nʲɛ̃˧˨˨	322	3	naen	naen3	
難	难	nʲɛ̃	˧	nʲɛ̃˧	33	6	naen	naen6	
諾	诺	naʔ	˧	naʔ˧	33	8	nah	nah8	
喏	喏	naʔ	˧	naʔ˧	33	8	nah	nah8	語氣詞，提醒別人注意
掿	掿	naʔ	˧	naʔ˧	33	8	nah	nah8	握持，揉捏
囊	囊	nã	˨˦	nã˨˦	24	2	nan	nan2	
瓤	瓤	nã	˨˦	nã˨˦	24	2	nan	nan2	
攮	攮	nã	˧˨˨	nã˧˨˨	322	3	nan	nan3	
儾	儾	nã	˦˥	nã˦˥	45	5	nan	nan5	下垂
齉	齉	nã	˧	nã˧	33	6	nan	nan6	
抐	抐	nəʔ	˧	nəʔ˧	33	8	neh	neh8	捏
内	内	nəɪ	˧	nəɪ˧	33	6	nei	nei6	文讀
能	能	nəŋ	˨˦	nəŋ˨˦	24	2	nen	nen2	
寧	宁	nəŋ	˨˦	nəŋ˨˦	24	2	nen	nen2	白讀
寧	宁	nəŋ	˧	nəŋ˧	33	6	nen	nen6	
嫩	嫩	nəŋ	˧	nəŋ˧	33	6	nen	nen6	
鴉	鸦	ŋɑ	˨˩	ŋɑ˨˩	21	1	nga	nga1	
丫	丫	ŋɑ	˨˩	ŋɑ˨˩	21	1	nga	nga1	
椏	桠	ŋɑ	˨˩	ŋɑ˨˩	21	1	nga	nga1	
吖	吖	ŋɑ	˨˩	ŋɑ˨˩	21	1	nga	nga1	
牙	牙	ŋɑ	˨˦	ŋɑ˨˦	24	2	nga	nga2	
芽	芽	ŋɑ	˨˦	ŋɑ˨˦	24	2	nga	nga2	
蚜	蚜	ŋɑ	˨˦	ŋɑ˨˦	24	2	nga	nga2	
伢	伢	ŋɑ	˨˦	ŋɑ˨˦	24	2	nga	nga2	
啞	哑	ŋɑ	˧˨˨	ŋɑ˧˨˨	322	3	nga	nga3	
啞	哑	ŋɑ	˦˥	ŋɑ˦˥	45	5	nga	nga5	
堊	垩	ŋɑ	˦˥	ŋɑ˦˥	45	5	nga	nga5	施肥
掗	挜	ŋɑ	˦˥	ŋɑ˦˥	45	5	nga	nga5	硬塞
砑	砑	ŋɑ	˧	ŋɑ˧	33	6	nga	nga6	凃壓
枒	枒	ŋɑ	˧	ŋɑ˧	33	6	nga	nga6	量詞，瓣
掗	挜	ŋɑ	˧	ŋɑ˧	33	6	nga	nga6	硬塞
哎	哎	ŋɛ		ŋɛ	0	0	ngae	ngae0	
埃	埃	ŋɛ	˨˩	ŋɛ˨˩	21	1	ngae	ngae1	
哀	哀	ŋɛ	˨˩	ŋɛ˨˩	21	1	ngae	ngae1	
挨	挨	ŋɛ	˨˩	ŋɛ˨˩	21	1	ngae	ngae1	
呆	呆	ŋɛ	˨˦	ŋɛ˨˦	24	2	ngae	ngae2	
捱	挨	ŋɛ	˨˦	ŋɛ˨˦	24	2	ngae	ngae2	
崖	崖	ŋɛ	˨˦	ŋɛ˨˦	24	2	ngae	ngae2	
涯	涯	ŋɛ	˨˦	ŋɛ˨˦	24	2	ngae	ngae2	
矮	矮	ŋɛ	˧˨˨	ŋɛ˧˨˨	322	3	ngae	ngae3	
藹	蔼	ŋɛ	˧˨˨	ŋɛ˧˨˨	322	3	ngae	ngae3	
欸	欸	ŋɛ	˧˨˨	ŋɛ˧˨˨	322	3	ngae	ngae3	
愛	爱	ŋɛ	˦˥	ŋɛ˦˥	45	5	ngae	ngae5	
喝	喝	ŋɛ	˦˥	ŋɛ˦˥	45	5	ngae	ngae5	聲音嘶啞
隘	隘	ŋɛ	˦˥	ŋɛ˦˥	45	5	ngae	ngae5	
噫	噫	ŋɛ	˦˥	ŋɛ˦˥	45	5	ngae	ngae5	打飽嗝
嗌	嗌	ŋɛ	˦˥	ŋɛ˦˥	45	5	ngae	ngae5	咽喉窒塞
礙	碍	ŋɛ	˧	ŋɛ˧	33	6	ngae	ngae6	
艾	艾	ŋɛ	˧	ŋɛ˧	33	6	ngae	ngae6	
壓	压	ŋʲɛʔ	˦˥	ŋʲɛʔ˦˥	45	7	ngaeh	ngaeh7	
鴨	鸭	ŋʲɛʔ	˦˥	ŋʲɛʔ˦˥	45	7	ngaeh	ngaeh7	
押	押	ŋʲɛʔ	˦˥	ŋʲɛʔ˦˥	45	7	ngaeh	ngaeh7	
軋	轧	ŋʲɛʔ	˧	ŋʲɛʔ˧	33	8	ngaeh	ngaeh8	
齾	齾	ŋʲɛʔ	˧	ŋʲɛʔ˧	33	8	ngaeh	ngaeh8	器物豁口
淹	淹	ŋʲɛ̃	˨˩	ŋʲɛ̃˨˩	21	1	ngaen	ngaen1	
岩	岩	ŋʲɛ̃	˨˦	ŋʲɛ̃˨˦	24	2	ngaen	ngaen2	
