聲	呼	等	韻	調	組	攝	單字	原註	新註	聲母	韻母	聲調	次 聲母	次 韻母	次 聲調	IPA 聲母	IPɐ 韻母	IPA 聲調
來	開	四	青	平	來	梗	拎			l	ing	1				l	ɪŋ	55
來	開	四	青	平	來	梗	令	令狐		l	ing	4				l	ɪŋ	21
來	開	四	先	平	來	山	零			l	ing	4				l	ɪŋ	21
來	開	四	青	平	來	梗	聆			l	ing	4				l	ɪŋ	21
來	開	四	青	平	來	梗	齡			l	ing	4				l	ɪŋ	21
來	開	四	青	平	來	梗	羚			l	ing	4				l	ɪŋ	21
來	開	四	青	平	來	梗	蛉			l	ing	4				l	ɪŋ	21
來	開	四	青	平	來	梗	鈴			l	ing	4				l	ɪŋ	21
來	開	四	青	平	來	梗	伶			l	ing	4				l	ɪŋ	21
來	開	四	青	平	來	梗	玲			l	ing	4				l	ɪŋ	21
來	開	四	青	平	來	梗	靈			l	ing	4				l	ɪŋ	21
來	開	一	登	平	來	曾	楞	楞角		l	ing	4				l	ɪŋ	21
來	開	一	登	平	來	曾	稜			l	ing	4				l	ɪŋ	21
來	開	三	蒸	平	來	曾	凌			l	ing	4				l	ɪŋ	21
來	開	三	蒸	平	來	曾	陵			l	ing	4				l	ɪŋ	21
來	開	三	蒸	平	來	曾	菱			l	ing	4				l	ɪŋ	21
來	開	三	清A	上	來	梗	嶺			l	ing	5				l	ɪŋ	23
來	開	三	清A	上	來	梗	領			l	ing	5				l	ɪŋ	23
							令	命令		l	ing	6				l	ɪŋ	32
							楞	發楞		l	ing	6				l	ɪŋ	32
-	-	-	-	-	-	-	愣			l	ing	6				l	ɪŋ	32
-	-	-	-	-	-	-	另			l	ing	6				l	ɪŋ	32
來	開	三	鹽A	入	來	咸	獵			l	ip	6				l	ip	2
知	合	三	虞	平	知	遇	列			l	it	6				l	it	2
來	開	四	先	入	來	山	捩	捩手		l	it	6				l	it	2
來	開	三	仙A	入	來	山	冽			l	it	6				l	it	2
來	開	三	仙A	入	來	山	烈			l	it	6				l	it	2
來	開	三	仙A	入	來	山	裂			l	it	6				l	it	2
來	合	三	仙A	入	來	山	劣		又音，此音承自江門話	l	it	6				l	it	2
							潦	潦倒		l	iu	4				l	iu	21
來	開	三	宵A	平	來	效	燎			l	iu	4				l	iu	21
來	開	三	宵A	去	來	效	療			l	iu	4				l	iu	21
來	開	四	蕭	平	來	效	聊			l	iu	4				l	iu	21
來	開	四	蕭	平	來	效	撩			l	iu	4				l	iu	21
來	開	四	蕭	平	來	效	嘹			l	iu	4				l	iu	21
來	開	四	蕭	平	來	效	瞭	瞭望		l	iu	4				l	iu	21
來	開	四	蕭	平	來	效	遼			l	iu	4				l	iu	21
來	開	四	蕭	平	來	效	繚			l	iu	4				l	iu	21
來	開	四	蕭	平	來	效	寥			l	iu	4				l	iu	21
來	開	四	蕭	平	來	效	僚			l	iu	4				l	iu	21
來	開	四	蕭	平	來	效	寮			l	iu	4				l	iu	21
來	開	四	蕭	上	來	效	瞭	明瞭		l	iu	5				l	iu	23
來	開	四	蕭	上	來	效	了			l	iu	5				l	iu	23
來	開	四	蕭	平	來	效	料			l	iu	6				l	iu	32
來	開	四	蕭	平	來	效	廖			l	iu	6				l	iu	32
來	開	一	歌	平	來	果	囉	囉嗦		l	o	1				l	ɔ	55
-	-	-	-	-	-	-	咯	助詞		l	o	1				l	ɔ	55
來	合	一	歌	上	來	果	裸			l	o	2				l	ɔ	35
							囉	嘍囉		l	o	4				l	ɔ	21
來	開	一	歌	平	來	果	蘿			l	o	4				l	ɔ	21
來	開	一	歌	平	來	果	羅			l	o	4				l	ɔ	21
來	開	一	歌	平	來	果	儸			l	o	4				l	ɔ	21
來	合	一	歌	平	來	果	騾			l	o	4				l	ɔ	21
來	開	一	歌	平	來	果	籮			l	o	4				l	ɔ	21
來	開	一	歌	平	來	果	鑼			l	o	4				l	ɔ	21
來	合	一	歌	平	來	果	螺			l	o	4				l	ɔ	21
來	開	一	歌	去	來	果	邏			l	o	4				l	ɔ	21
來	開	三	陽	去	來	宕	掠			l	oek	6				l	œk	2
來	開	三	陽	入	來	宕	略			l	oek	6				l	œk	2
來	開	三	陽	上	來	宕	兩	十兩		l	oeng	2				l	œŋ	35
來	開	三	陽	平	來	宕	糧			l	oeng	4				l	œŋ	21
來	開	三	陽	平	來	宕	量	測量		l	oeng	4				l	œŋ	21
來	開	三	陽	平	來	宕	粱			l	oeng	4				l	œŋ	21
來	開	三	陽	平	來	宕	良			l	oeng	4				l	œŋ	21
來	開	三	陽	平	來	宕	涼			l	oeng	4				l	œŋ	21
來	開	三	陽	平	來	宕	梁			l	oeng	4				l	œŋ	21
來	開	三	陽	上	來	宕	兩	兩個		l	oeng	5				l	œŋ	23
-	-	-	-	-	-	-	倆			l	oeng	5				l	œŋ	23
來	開	三	陽	去	來	宕	量	重量		l	oeng	6				l	œŋ	32
來	開	三	陽	去	來	宕	亮			l	oeng	6				l	œŋ	32
來	開	三	陽	去	來	宕	諒			l	oeng	6				l	œŋ	32
-	-	-	-	-	-	-	輛			l	oeng	6				l	œŋ	32
來	開	一	咍	平	來	蟹	來			l	oi	4				l	ɔi	21
來	開	一	咍	平	來	蟹	萊			l	oi	4				l	ɔi	21
來	開	一	咍	去	來	蟹	睞			l	oi	6				l	ɔi	32
來	開	一	唐	入	來	宕	酪	乳酪		l	ok	3				l	ɔk	3
來	開	一	唐	入	來	宕	洛			l	ok	3				l	ɔk	3
來	開	一	唐	入	來	宕	烙			l	ok	3				l	ɔk	3
來	開	一	唐	入	來	宕	絡			l	ok	3				l	ɔk	3
來	開	一	唐	入	來	宕	駱			l	ok	3				l	ɔk	3
來	開	一	唐	入	來	宕	樂	快樂		l	ok	6				l	ɔk	2
來	開	一	唐	入	來	宕	落	落下		l	ok	6				l	ɔk	2
來	開	一	唐	平	來	宕	瑯			l	ong	4				l	ɔŋ	21
來	開	一	唐	平	來	宕	琅			l	ong	4				l	ɔŋ	21
來	開	一	唐	平	來	宕	榔			l	ong	4				l	ɔŋ	21
來	開	一	唐	平	來	宕	郎			l	ong	4				l	ɔŋ	21
來	開	一	唐	平	來	宕	廊			l	ong	4				l	ɔŋ	21
來	開	一	唐	平	來	宕	狼			l	ong	4				l	ɔŋ	21
來	開	三	陽	平	來	宕	蜋			l	ong	4				l	ɔŋ	21
-	-	-	-	-	-	-	螂			l	ong	4				l	ɔŋ	21
來	開	一	唐	上	來	宕	朗			l	ong	5				l	ɔŋ	23
來	開	一	唐	去	來	宕	浪	波浪		l	ong	6				l	ɔŋ	32
來	開	一	唐	平	來	宕	浪	滄浪		l	ong	6				l	ɔŋ	32
-	-	-	-	-	-	-	晾			l	ong	6				l	ɔŋ	32
-	-	-	-	-	-	-	嚕			l	ou	1				l	ou	55
來	開	三	魚	平	來	遇	驢			l	ou	4				l	ou	21
來	開	三	魚	平	來	遇	廬			l	ou	4				l	ou	21
來	開	三	魚	平	來	遇	蘆			l	ou	4				l	ou	21
來	開	一	模	平	來	遇	盧			l	ou	4				l	ou	21
來	開	一	模	平	來	遇	顱			l	ou	4				l	ou	21
來	開	一	模	平	來	遇	爐			l	ou	4				l	ou	21
來	開	一	豪	平	來	效	牢			l	ou	4				l	ou	21
來	開	一	豪	平	來	效	勞	勤勞		l	ou	4				l	ou	21
來	開	一	豪	去	來	效	勞	慰勞		l	ou	4				l	ou	21
徹	開	二	肴	平	知	效	嘮			l	ou	4				l	ou	21
來	開	一	模	上	來	遇	擄			l	ou	5				l	ou	23
來	開	一	模	上	來	遇	虜			l	ou	5				l	ou	23
來	開	一	模	上	來	遇	滷			l	ou	5				l	ou	23
來	開	一	模	上	來	遇	魯			l	ou	5				l	ou	23
來	開	一	模	上	來	遇	櫓			l	ou	5				l	ou	23
來	開	一	豪	上	來	效	潦	流潦		l	ou	5				l	ou	23
來	開	一	豪	上	來	效	老			l	ou	5				l	ou	23
-	-	-	-	-	-	-	硓			l	ou	5				l	ou	23
來	開	一	模	去	來	遇	路			l	ou	6				l	ou	32
來	開	一	模	去	來	遇	鷺			l	ou	6				l	ou	32
來	開	一	模	去	來	遇	露			l	ou	6				l	ou	32
來	開	一	模	去	來	遇	賂			l	ou	6				l	ou	32
							酪	杏仁酪		l	ou	6				l	ou	32
來	開	一	東	入	來	通	麓			l	uk	1				l	ʊk	5
來	開	一	東	入	來	通	漉			l	uk	1				l	ʊk	5
來	開	一	東	入	來	通	碌			l	uk	1				l	ʊk	5
來	開	一	東	入	來	通	鹿			l	uk	6				l	ʊk	2
來	開	一	東	入	來	通	祿			l	uk	6				l	ʊk	2
來	開	三	東	入	來	通	陸			l	uk	6				l	ʊk	2
來	開	三	東	入	來	通	六			l	uk	6				l	ʊk	2
來	開	一	東	入	來	通	谷	谷蠡王		l	uk	6				l	ʊk	2
來	開	三	鍾	入	來	通	綠			l	uk	6				l	ʊk	2
來	開	三	鍾	入	來	通	錄			l	uk	6				l	ʊk	2
-	-	-	-	-	-	-	氯			l	uk	6				l	ʊk	2
來	開	三	東	平	來	通	窿			l	ung	1				l	ʊŋ	55
來	開	一	東	平	來	通	聾			l	ung	4				l	ʊŋ	21
來	開	一	東	平	來	通	朧			l	ung	4				l	ʊŋ	21
來	開	一	東	平	來	通	嚨			l	ung	4				l	ʊŋ	21
來	開	一	東	平	來	通	瓏			l	ung	4				l	ʊŋ	21
來	開	一	東	平	來	通	籠			l	ung	4				l	ʊŋ	21
來	開	三	東	平	來	通	隆			l	ung	4				l	ʊŋ	21
來	開	三	鍾	平	來	通	龍			l	ung	4				l	ʊŋ	21
來	開	一	東	上	來	通	攏			l	ung	5				l	ʊŋ	23
來	開	三	鍾	上	來	通	隴			l	ung	5				l	ʊŋ	23
-	-	-	-	-	-	-	壟			l	ung	5				l	ʊŋ	23
來	合	三	仙A	去	來	山	戀			l	yun	2				l	yn	35
來	合	一	寒	平	來	山	巒			l	yun	4				l	yn	21
-	-	-	-	-	-	-	聯			l	yun	4				l	yn	21
來	合	一	寒	去	來	山	亂			l	yun	6				l	yn	32
來	合	一	寒	入	來	山	捋			l	yut	3				l	yt	3
來	合	三	仙A	入	來	山	劣			l	yut	6				l	yt	2
明	開	一	模	上	幫	遇	媽			m	aa	1				m	a	55
-	-	-	-	-	-	-	嗎	是嗎		m	aa	1				m	a	55
-	-	-	-	-	-	-	嬤			m	aa	1				m	a	55
明	開	一	模	上	幫	遇	媽			m	aa	4				m	a	21
明	開	二	麻	平	幫	假	麻			m	aa	4				m	a	21
明	開	二	麻	平	幫	假	蟆			m	aa	4				m	a	21
明	開	二	麻	平	幫	假	痲			m	aa	4				m	a	21
-	-	-	-	-	-	-	嘛	喇嘛		m	aa	4				m	a	21
明	開	二	麻	上	幫	假	碼			m	aa	5				m	a	23
明	開	二	麻	上	幫	假	馬			m	aa	5				m	a	23
-	-	-	-	-	-	-	瑪			m	aa	5				m	a	23
							嗎	嗎啡		m	aa	5				m	a	23
-	-	-	-	-	-	-	螞	螞蟻		m	aa	5				m	a	23
							螞	螞蚱		m	aa	5				m	a	23
							螞	螞螂		m	aa	5				m	a	23
明	開	二	麻	上	幫	假	罵			m	aa	6				m	a	32
明	開	二	皆	平	幫	蟹	霾			m	aai	4				m	ai	21
明	開	二	皆	平	幫	蟹	埋			m	aai	4				m	ai	21
明	開	二	佳	上	幫	蟹	買			m	aai	5				m	ai	23
明	開	二	夬	去	幫	蟹	邁			m	aai	6				m	ai	32
明	開	二	佳	去	幫	蟹	賣			m	aai	6				m	ai	32
明	開	一	寒	平	幫	山	蔓	蔓菁		m	aan	4				m	an	21
明	開	二	刪	平	幫	山	蠻			m	aan	4				m	an	21
明	合	三	元	上	幫	山	晚			m	aan	5				m	an	23
明	開	一	寒	平	幫	山	饅			m	aan	6				m	an	32
明	合	三	元	去	幫	山	蔓	藤蔓		m	aan	6				m	an	32
明	開	一	寒	平	幫	山	鰻			m	aan	6				m	an	32
明	開	一	寒	平	幫	山	曼			m	aan	6				m	an	32
明	開	一	寒	去	幫	山	漫			m	aan	6				m	an	32
明	開	一	寒	去	幫	山	幔			m	aan	6				m	an	32
明	合	三	元	去	幫	山	萬			m	aan	6				m	an	32
明	開	二	刪	去	幫	山	慢			m	aan	6				m	an	32
							抹	抹檯		m	aat	3				m	at	3
明	開	三	宵B	平	幫	效	貓			m	aau	1				m	au	55
明	開	二	肴	平	幫	效	茅			m	aau	4				m	au	21
明	合	三	尤	平	幫	流	矛			m	aau	4				m	au	21
-	-	-	-	-	-	-	錨			m	aau	4				m	au	21
明	開	二	肴	上	幫	效	卯			m	aau	5				m	au	23
明	開	二	肴	去	幫	效	貌			m	aau	6				m	au	32
明	開	四	齊	平	幫	蟹	迷			m	ai	4				m	ɐi	21
明	開	四	齊	去	幫	蟹	謎			m	ai	4				m	ɐi	21
明	開	四	齊	上	幫	蟹	米			m	ai	5				m	ɐi	23
明	開	一	登	入	幫	曾	冒	冒頓		m	ak	6				m	ɐk	2
明	開	二	庚	入	幫	梗	驀			m	ak	6				m	ɐk	2
明	開	二	庚	入	幫	梗	陌			m	ak	6				m	ɐk	2
明	開	二	耕	入	幫	梗	麥			m	ak	6				m	ɐk	2
明	開	二	耕	入	幫	梗	脈			m	ak	6				m	ɐk	2
明	開	一	登	入	幫	曾	墨			m	ak	6				m	ɐk	2
明	開	一	登	入	幫	曾	默			m	ak	6				m	ɐk	2
							嘿	通「默」		m	ak	6				m	ɐk	2
影	開	二	咸	平	影	咸	黯			m	am	2				m	ɐm	35
明	合	三	文	平	幫	臻	蚊			m	an	1				m	ɐn	55
明	開	三	真A	平	幫	臻	民			m	an	4				m	ɐn	21
明	開	三	真B	平	幫	臻	岷			m	an	4				m	ɐn	21
明	合	三	文	平	幫	臻	聞			m	an	4				m	ɐn	21
明	合	三	文	平	幫	臻	文	文字		m	an	4				m	ɐn	21
明	合	三	文	平	幫	臻	紋			m	an	4				m	ɐn	21
-	-	-	-	-	-	-	緡			m	an	4				m	ɐn	21
明	開	三	真B	平	幫	臻	閩			m	an	5				m	ɐn	23
明	開	三	真B	上	幫	臻	憫			m	an	5				m	ɐn	23
明	開	三	真B	上	幫	臻	敏			m	an	5				m	ɐn	23
明	合	三	文	上	幫	臻	刎			m	an	5				m	ɐn	23
明	合	三	文	上	幫	臻	吻			m	an	5				m	ɐn	23
明	開		真	上	幫	臻	泯			m	an	5				m	ɐn	23
							文	文過		m	an	6				m	ɐn	32
明	合	三	文	去	幫	臻	問			m	an	6				m	ɐn	32
							繃	繃著臉		m	ang	1				m	ɐŋ	55
明	開	二	庚	平	幫	梗	盲			m	ang	4				m	ɐŋ	21
明	開	三	庚	平	幫	梗	盟			m	ang	4				m	ɐŋ	21
明	開	二	耕	平	幫	梗	萌			m	ang	4				m	ɐŋ	21
明	開	二	庚	上	幫	梗	猛			m	ang	5				m	ɐŋ	23
明	開	二	庚	上	幫	梗	蜢			m	ang	5				m	ɐŋ	23
明	開	二	庚	上	幫	梗	艋			m	ang	5				m	ɐŋ	23
-	-	-	-	-	-	-	錳			m	ang	5				m	ɐŋ	23
明	開	二	庚	去	幫	梗	孟			m	ang	6				m	ɐŋ	32
明	合	三	元	入	幫	山	襪			m	at	6				m	ɐt	2
明	開	三	真A	入	幫	臻	謐			m	at	6				m	ɐt	2
明	開	三	真A	入	幫	臻	蜜			m	at	6				m	ɐt	2
明	開	三	真B	入	幫	臻	密			m	at	6				m	ɐt	2
明	合	三	文	入	幫	臻	物			m	at	6				m	ɐt	2
明	合	三	文	入	幫	臻	勿			m	at	6				m	ɐt	2
明	合	三	尤	平	幫	流	繆	未雨綢繆		m	au	4				m	ɐu	21
明	合	三	尤	平	幫	流	謀			m	au	4				m	ɐu	21
明	合	三	尤	平	幫	流	牟			m	au	4				m	ɐu	21
-	-	-	-	-	-	-	哞			m	au	4				m	ɐu	21
明	開	一	侯	上	幫	流	某			m	au	5				m	ɐu	23
明	開	一	侯	上	幫	流	牡			m	au	5				m	ɐu	23
明	開	一	侯	上	幫	流	畝			m	au	5				m	ɐu	23
明	開	一	侯	上	幫	流	拇			m	au	5				m	ɐu	23
明	開	一	侯	上	幫	流	母			m	au	5				m	ɐu	23
明	開	一	侯	去	幫	流	姆			m	au	5				m	ɐu	23
明	開	三	幽	去	幫	流	繆	繆論		m	au	6				m	ɐu	32
明	開	一	侯	去	幫	流	茂			m	au	6				m	ɐu	32
明	開	一	侯	去	幫	流	貿			m	au	6				m	ɐu	32
明	開	一	侯	去	幫	流	戊			m	au	6				m	ɐu	32
明	開	三	幽	去	幫	流	謬			m	au	6				m	ɐu	32
-	-	-	-	-	-	-	咩			m	e	1				m	ɛ	55
-	-	-	-	-	-	-	歪			m	e	2				m	ɛ	35
-	-	-	-	-	-	-	咪			m	ei	1				m	ei	55
-	-	-	-	-	-	-	瞇			m	ei	1				m	ei	55
明	開	三	支A	平	幫	止	瀰			m	ei	4				m	ei	21
明	開	三	支A	平	幫	止	獼			m	ei	4				m	ei	21
明	開	三	支B	平	幫	止	糜			m	ei	4				m	ei	21
							靡			m	ei	4				m	ei	21
明	開	三	脂B	平	幫	止	麋			m	ei	4				m	ei	21
明	開	三	脂B	平	幫	止	薇			m	ei	4				m	ei	21
明	開	三	脂B	平	幫	止	黴			m	ei	4				m	ei	21
明	開	三	脂B	平	幫	止	楣			m	ei	4				m	ei	21
明	開	三	脂B	平	幫	止	眉			m	ei	4				m	ei	21
明	合	三	微	平	幫	止	微			m	ei	4				m	ei	21
明	開	三	支A	平	幫	止	彌			m	ei	4				m	ei	21
明	開	三	支B	上	幫	止	靡			m	ei	5				m	ei	23
明	開	三	脂B	上	幫	止	美			m	ei	5				m	ei	23
明	合	三	微	上	幫	止	尾			m	ei	5				m	ei	23
明	合	三	微	上	幫	止	娓			m	ei	5				m	ei	23
明	開	三	脂A	去	幫	止	寐			m	ei	6				m	ei	32
明	開	三	脂B	去	幫	止	魅			m	ei	6				m	ei	32
明	開	三	脂B	去	幫	止	媚			m	ei	6				m	ei	32
明	合	三	微	去	幫	止	未			m	ei	6				m	ei	32
明	合	三	微	去	幫	止	味			m	ei	6				m	ei	32
明	開	三	清A	平	幫	梗	名		習讀應爲韻母ing對應的白讀音	m	eng	2				m	ɛŋ	35
明	開	三	庚	去	幫	梗	命		習讀應爲韻母ing對應的白讀音	m	eng	6				m	ɛŋ	32
明	開	四	青	入	幫	梗	覓			m	ik	6				m	ɪk	2
明	開	三	仙A	去	幫	山	面			m	in	2				m	in	35
明	開	三	仙A	平	幫	山	棉			m	in	4				m	in	21
明	開	三	仙A	平	幫	山	綿			m	in	4				m	in	21
明	開	四	先	平	幫	山	眠			m	in	4				m	in	21
明	開	三	仙A	上	幫	山	緬			m	in	5				m	in	23
明	開	三	仙B	上	幫	山	冕			m	in	5				m	in	23
明	開	三	仙B	上	幫	山	免			m	in	5				m	in	23
明	開	三	仙B	上	幫	山	勉			m	in	5				m	in	23
							靦	靦腆		m	in	5				m	in	23
明	開		仙	上	幫	山	娩			m	in	5				m	in	23
明	開	三	仙A	去	幫	山	面			m	in	6				m	in	32
明	開	四	先	去	幫	山	麵			m	in	6				m	in	32
明	開	三	庚	平	幫	梗	鳴			m	ing	4				m	ɪŋ	21
明	開	三	庚	平	幫	梗	明			m	ing	4				m	ɪŋ	21
明	開	三	清A	平	幫	梗	名			m	ing	4				m	ɪŋ	21
明	開	四	青	平	幫	梗	冥			m	ing	4				m	ɪŋ	21
明	開	四	青	平	幫	梗	銘			m	ing	4				m	ɪŋ	21
明	開	四	青	平	幫	梗	螟			m	ing	4				m	ɪŋ	21
明	開	三	庚	上	幫	梗	皿			m	ing	5				m	ɪŋ	23
明	開	三	庚	去	幫	梗	命			m	ing	6				m	ɪŋ	32
明	開	三	仙A	入	幫	山	滅			m	it	6				m	it	2
明	開	四	先	入	幫	山	篾			m	it	6				m	it	2
明	開	四	先	入	幫	山	蔑			m	it	6				m	it	2
-	-	-	-	-	-	-	喵			m	iu	1				m	iu	55
明	開	三	宵B	平	幫	效	描			m	iu	4				m	iu	21
明	開	三	宵B	平	幫	效	苗			m	iu	4				m	iu	21
-	-	-	-	-	-	-	瞄			m	iu	4				m	iu	21
明	開	三	宵A	上	幫	效	眇			m	iu	5				m	iu	23
明	開	三	宵A	上	幫	效	渺			m	iu	5				m	iu	23
明	開	三	宵A	上	幫	效	秒			m	iu	5				m	iu	23
影	開	四	蕭	上	影	效	杳			m	iu	5				m	iu	23
明	開		宵	上	幫	效	藐			m	iu	5				m	iu	23
明	開	三	宵A	去	幫	效	妙			m	iu	6				m	iu	32
明	開	三	宵B	去	幫	效	廟			m	iu	6				m	iu	32
明	開	一	歌	平	幫	果	摩			m	o	1				m	ɔ	55
明	開	一	歌	平	幫	果	魔			m	o	1				m	ɔ	55
明	開	一	歌	上	幫	果	麼			m	o	1				m	ɔ	55
明	開	一	模	平	幫	遇	摸			m	o	2				m	ɔ	35
明	開	一	歌	平	幫	果	磨			m	o	4				m	ɔ	21
明	開	一	歌	去	幫	果	磨			m	o	6				m	ɔ	32
幫	開	二	江	入	幫	江	剝			m	ok	1				m	ɔk	5
明	開	一	唐	入	幫	宕	膜	薄膜		m	ok	2				m	ɔk	35
明	開	一	唐	入	幫	宕	莫			m	ok	6				m	ɔk	2
明	開	一	唐	入	幫	宕	寞			m	ok	6				m	ɔk	2
明	開	一	唐	入	幫	宕	漠			m	ok	6				m	ɔk	2
明	開	一	唐	入	幫	宕	幕			m	ok	6				m	ɔk	2
							饃			m	ok	2				m	ɔk	35
							芒	芒果		m	ong	1				m	ɔŋ	55
明	開	一	唐	平	幫	宕	忙			m	ong	4				m	ɔŋ	21
明	開	一	唐	平	幫	宕	茫			m	ong	4				m	ɔŋ	21
明	合	三	陽	平	幫	宕	亡			m	ong	4				m	ɔŋ	21
明	合	三	陽	平	幫	宕	芒	光芒		m	ong	4				m	ɔŋ	21
明	合	三	陽	去	幫	宕	忘			m	ong	4				m	ɔŋ	21
明	開	一	模	上	幫	遇	莽			m	ong	5				m	ɔŋ	23
明	開	一	唐	上	幫	宕	蟒			m	ong	5				m	ɔŋ	23
明	合	三	陽	上	幫	宕	惘			m	ong	5				m	ɔŋ	23
明	合	三	陽	上	幫	宕	網			m	ong	5				m	ɔŋ	23
明	合	三	陽	去	幫	宕	妄			m	ong	5				m	ɔŋ	23
明	合	三	陽	平	幫	宕	望			m	ong	6				m	ɔŋ	32
明	開	一	模	平	幫	遇	模			m	ou	4				m	ou	21
明	開	一	模	平	幫	遇	膜	膜拜		m	ou	4				m	ou	21
明	合	三	虞	平	幫	遇	蕪			m	ou	4				m	ou	21
明	合	三	虞	平	幫	遇	無			m	ou	4				m	ou	21
明	合	三	虞	平	幫	遇	巫			m	ou	4				m	ou	21
明	合	三	虞	平	幫	遇	誣			m	ou	4				m	ou	21
明	合	三	虞	平	幫	遇	毋			m	ou	4				m	ou	21
明	開	一	豪	平	幫	效	毛			m	ou	4				m	ou	21
明	開	一	豪	平	幫	效	髦			m	ou	4				m	ou	21
-	-	-	-	-	-	-	摹			m	ou	4				m	ou	21
明	合	三	虞	上	幫	遇	武			m	ou	5				m	ou	23
明	合	三	虞	上	幫	遇	侮			m	ou	5				m	ou	23
明	合	三	虞	上	幫	遇	鵡			m	ou	5				m	ou	23
明	合	三	虞	上	幫	遇	舞			m	ou	5				m	ou	23
明	開	一	模	去	幫	遇	慕			m	ou	6				m	ou	32
明	開	一	模	去	幫	遇	墓			m	ou	6				m	ou	32
明	開	一	模	去	幫	遇	暮			m	ou	6				m	ou	32
明	開	一	模	去	幫	遇	募			m	ou	6				m	ou	32
明	合	三	虞	去	幫	遇	務			m	ou	6				m	ou	32
明	合	三	虞	去	幫	遇	霧			m	ou	6				m	ou	32
明	合	三	虞	去	幫	遇	婺			m	ou	6				m	ou	32
明	開	一	豪	去	幫	效	帽			m	ou	6				m	ou	32
明	開	一	豪	去	幫	效	冒	冒犯		m	ou	6				m	ou	32
明	合	一	灰	平	幫	蟹	媒			m	ui	4				m	ui	21
明	合	一	灰	平	幫	蟹	莓			m	ui	4				m	ui	21
明	合	一	灰	平	幫	蟹	梅			m	ui	4				m	ui	21
明	合	一	灰	平	幫	蟹	枚			m	ui	4				m	ui	21
明	合	一	灰	平	幫	蟹	煤			m	ui	4				m	ui	21
-	-	-	-	-	-	-	霉			m	ui	4				m	ui	21
-	-	-	-	-	-	-	玫			m	ui	4				m	ui	21
明	合	一	灰	上	幫	蟹	每			m	ui	5				m	ui	23
明	合	一	灰	去	幫	蟹	妹			m	ui	6				m	ui	32
明	合	一	灰	去	幫	蟹	昧			m	ui	6				m	ui	32
明	開	一	東	入	幫	通	木			m	uk	6				m	ʊk	2
明	開	一	東	入	幫	通	沐			m	uk	6				m	ʊk	2
明	合	三	東	入	幫	通	睦			m	uk	6				m	ʊk	2
明	合	三	東	入	幫	通	穆			m	uk	6				m	ʊk	2
明	合	三	東	入	幫	通	目			m	uk	6				m	ʊk	2
明	合	三	東	入	幫	通	牧			m	uk	6				m	ʊk	2
明	合	一	魂	平	幫	臻	門			m	un	4				m	un	21
並	開	一	寒	平	幫	山	蹣			m	un	4				m	un	21
明	開	一	寒	平	幫	山	瞞			m	un	4				m	un	21
-	-	-	-	-	-	-	們			m	un	4				m	un	21
明	開	一	寒	上	幫	山	滿			m	un	5				m	un	23
明	合	一	魂	去	幫	臻	悶			m	un	6				m	un	32
-	-	-	-	-	-	-	燜			m	un	6				m	un	32
明	開	一	東	平	幫	通	檬			m	ung	1				m	ʊŋ	55
明	開	一	東	上	幫	通	懵			m	ung	2				m	ʊŋ	35
明	開	一	東	平	幫	通	矇			m	ung	4				m	ʊŋ	21
明	開	一	東	平	幫	通	濛			m	ung	4				m	ʊŋ	21
明	開	一	東	平	幫	通	朦			m	ung	4				m	ʊŋ	21
明	開	一	東	平	幫	通	蒙			m	ung	4				m	ʊŋ	21
明	合	三	東	平	幫	通	夢			m	ung	6				m	ʊŋ	32
明	開	一	寒	入	幫	山	抹	塗抹		m	ut	3				m	ut	3
明	開	一	泰	去	幫	蟹	沫			m	ut	6				m	ut	2
明	合	一	魂	入	幫	臻	沒			m	ut	6				m	ut	2
明	開	一	寒	入	幫	山	末			m	ut	6				m	ut	2
-	-	-	-	-	-	-	茉			m	ut	6				m	ut	2
-	-	-	-	-	-	-	嗯			m		2				m		35
-	-	-	-	-	-	-	唔			m		4				m		21
疑	開	一	模	平	見	遇	蜈			m		4				m		21
疑	開	一	模	平	見	遇	梧			m		4				m		21
疑	開	一	模	平	見	遇	吾			m		4				m		21
疑	開	一	模	平	見	遇	吳			m		4				m		21
疑	開	一	模	上	見	遇	午			m		5				m		23
疑	開	一	模	上	見	遇	五			m		5				m		23
疑	開	一	模	上	見	遇	伍			m		5				m		23
疑	開	一	模	去	見	遇	悟			m		6				m		32
疑	開	一	模	去	見	遇	寤			m		6				m		32
疑	開	一	模	去	見	遇	誤			m		6				m		32
疑	開	一	模	去	見	遇	晤			m		6				m		32
泥	開	一	歌	平	端	果	那	那姓		n	aa	1				n	a	55
							哪	天哪		n	aa	3				n	a	33
							哪	哪吒		n	aa	4				n	a	21
-	-	-	-	-	-	-	拿			n	aa	4				n	a	21
							娜	安娜		n	aa	4				n	a	21
泥	開	一	歌	上	端	果	那	那個		n	aa	5				n	a	23
-	-	-	-	-	-	-	哪	哪裡		n	aa	5				n	a	23
泥	開	一	咍	上	端	蟹	迺			n	aai	5				n	ai	23
泥	開	一	咍	上	端	蟹	乃			n	aai	5				n	ai	23
-	-	-	-	-	-	-	奶			n	aai	5				n	ai	23
娘	開	二	咸	平	知	咸	喃			n	aam	4				n	am	21
泥	開	一	覃	平	端	咸	南			n	aam	4				n	am	21
泥	開	一	覃	平	端	咸	楠			n	aam	4				n	am	21
